"expName","date","participant","trial","verb","target","distrOne","distrTwo","w1","w2","w3","corr_answer","answer","correct","type"
"verb_norming","2018_Jun_08_1140",900,1,"dunk","dunka","dumpa","dunsa","dumpa","dunka","dunsa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,2,"grasp","gripa","klämma","omfamna","omfamna","gripa","klämma",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,3,"peel","skala","rensa","plocka","plocka","skala","rensa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,4,"prance","kråma sig","promenera","traska","promenera","kråma sig","traska",2,3,0,"leg"
"verb_norming","2018_Jun_08_1140",900,5,"jog","jogga","spurta","rusa","spurta","rusa","jogga",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,6,"chop","hacka","tälja","riva","hacka","riva","tälja",1,2,0,"arm"
"verb_norming","2018_Jun_08_1140",900,7,"squeeze","klämma","knuffa","knäppa","klämma","knäppa","knuffa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,8,"wander","vandra","marschera","spatsera","vandra","marschera","spatsera",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,9,"rub","gnugga","riva","klappa","riva","klappa","gnugga",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,10,"inch","röra sig långsamt framåt","dra sig snabbt tillbaka","hasa sig bakåt","dra sig snabbt tillbaka","hasa sig bakåt","röra sig långsamt framåt",3,1,0,"leg"
"verb_norming","2018_Jun_08_1140",900,11,"leap","hoppa","stega","kliva","stega","hoppa","kliva",2,3,0,"leg"
"verb_norming","2018_Jun_08_1140",900,12,"wrap","slå in","slå ihop","slå till","slå ihop","slå in","slå till",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,13,"scuff","hasa sig fram","dra sig fram","kasta sig fram","dra sig fram","kasta sig fram","hasa sig fram",3,2,0,"leg"
"verb_norming","2018_Jun_08_1140",900,14,"grip","gripa om","hålla om","kasta om","kasta om","gripa om","hålla om",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,15,"braid","fläta","knyta","binda","knyta","fläta","binda",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,16,"pluck","plocka","rensa","picka","rensa","plocka","picka",2,3,0,"arm"
"verb_norming","2018_Jun_08_1140",900,17,"scrub","skrubba","sopa","skrapa","sopa","skrubba","skrapa",2,3,0,"arm"
"verb_norming","2018_Jun_08_1140",900,18,"throw","kasta","greppa","träffa","träffa","kasta","greppa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,19,"stride","kliva","tassa","lunka","tassa","lunka","kliva",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,20,"seize","fånga","klämma","fästa","fånga","klämma","fästa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,21,"cut","skära","sticka","spetsa","skära","spetsa","sticka",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,22,"mount","gå uppför","ströva runt","kliva över","kliva över","gå uppför","ströva runt",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,23,"bind","binda","linda","vinda","vinda","binda","linda",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,24,"march","marschera","trava","traska","traska","trava","marschera",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,25,"run","springa","rusa","jogga","rusa","jogga","springa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,26,"wade","vada","pulsa","plöja","plöja","vada","pulsa",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,27,"bounce","studsa","dunka","kasta","kasta","dunka","studsa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,28,"brush","borsta","skrubba","putsa","skrubba","putsa","borsta",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,29,"stray","ströva","vandra","promenera","ströva","promenera","vandra",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,30,"slip","halka","snava","ramla","snava","halka","ramla",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,31,"strut","svassa","lunka","strosa","svassa","strosa","lunka",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,32,"stumble","snubbla","glida","svaja","snubbla","glida","svaja",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,33,"roam","ströva omkring","ta sig fram","luffa runt","ta sig fram","luffa runt","ströva omkring",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,34,"crawl","kravla","huka","klättra","huka","klättra","kravla",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,35,"slide","glida","ramla","hasa","hasa","glida","ramla",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,36,"switch","slå på/av","knäppa","nypa","slå på/av","knäppa","nypa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,37,"dig","gräva","dränera","dika","gräva","dränera","dika",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,38,"push","knuffa","kasta","klämma","knuffa","kasta","klämma",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,39,"climb","klättra","kliva","krypa","krypa","kliva","klättra",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,40,"polish","polera","sopa","tvätta","polera","tvätta","sopa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,41,"wipe","torka","putsa","gnugga","torka","gnugga","putsa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,42,"shake","skaka","röra","vispa","röra","vispa","skaka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,43,"punch","slå","knuffa","kasta","slå","knuffa","kasta",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,44,"clutch","gripa tag i","sätta ihop","dra ut","sätta ihop","gripa tag i","dra ut",2,2,1,"arm"
"verb_norming","2018_Jun_08_1140",900,45,"pat","klappa","slå","borsta","klappa","borsta","slå",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,46,"click","klicka","klappa","klämma","klämma","klappa","klicka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,47,"skim","skumma","vispa","sleva","skumma","sleva","vispa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1140",900,48,"delve","gräva","plöja","rensa","plöja","rensa","gräva",3,1,0,"arm"
"verb_norming","2018_Jun_08_1140",900,49,"tug","rycka","pressa","slå","pressa","slå","rycka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,50,"stagger","ragla","lunka","halka","lunka","ragla","halka",2,2,1,"leg"
"verb_norming","2018_Jun_08_1140",900,51,"limp","halta","hasa","halka","halta","hasa","halka",1,1,1,"leg"
"verb_norming","2018_Jun_08_1140",900,52,"sway","vingla","tassa","ramla","ramla","tassa","vingla",3,3,1,"leg"
"verb_norming","2018_Jun_08_1140",900,53,"scrape","skrapa","rispa","klösa","klösa","rispa","skrapa",3,3,1,"arm"
"verb_norming","2018_Jun_08_1140",900,54,"step","gå","klampa","traska","klampa","gå","traska",2,3,0,"leg"
"verb_norming","2018_Jun_08_1140",900,55,"catch","fånga","krama","omfamna","krama","omfamna","fånga",3,3,1,"arm"
