SubjID,TimeDate,Age,Sex,SwedishStatus,Comment
1,2019/05/20 1:14:41 em EET,24,Kvinna,Mitt enda modersmål,NA
2,2019/05/20 1:40:54 em EET,27,Kvinna,Mitt enda modersmål,"En del av orden kan ju ha dubbla betydelser beroende på kontext, preposition etc"
3,2019/05/20 2:08:57 em EET,27,Man,Mitt enda modersmål,"Roligt att göra detta. Jag gick på första känslan. Somliga ord ger mig goda vibbar för att jag associerar dem med personer som jag tycker om. Och verbet överraska är inte så positivt för mig som ""kontrollmänniska"""
4,2019/05/20 12:58:52 em EET,29,Man,Ett av mina modersmål,NA
5,2019/05/20 1:33:52 em EET,29,Man,Ett av mina modersmål,NA
6,2019/05/10 9:20:27 fm EET,30,Kvinna,Mitt enda modersmål,NA
7,2019/05/20 1:25:30 em EET,30,Kvinna,Mitt enda modersmål,NA
8,2019/05/20 3:06:41 em EET,30,Man,Mitt enda modersmål,NA
9,2019/05/20 4:03:47 em EET,30,Man,Mitt enda modersmål,NA
10,2019/05/08 1:23:12 em EET,33,Man,Mitt enda modersmål,NA
11,2019/05/09 5:31:57 em EET,33,Kvinna,Mitt enda modersmål,NA
12,2019/05/08 3:33:27 em EET,36,Kvinna,Mitt enda modersmål,NA
13,2019/05/20 12:53:29 em EET,36,Kvinna,Mitt enda modersmål,"Det var svårt att veta om du i sista frågan ville att jag skulle svara på mina känslor kring verben (som det stod) eller de händelser de beskriver. I nästan alla fall valde jag spontant att bedöma själva ordet, och då blev det neutralt, men i några få fall steg det ordet representerar fram mer i mitt medvetande och då fick ordet ett annat omdöme."
14,2019/05/10 10:21:37 fm EET,37,Kvinna,Mitt enda modersmål,NA
15,2019/05/08 4:57:20 em EET,38,Kvinna,Mitt enda modersmål,NA
16,2019/05/12 8:31:54 em EET,38,Kvinna,Mitt enda modersmål,NA
17,2019/05/14 2:17:01 em EET,40,Kvinna,Mitt enda modersmål,NA
18,2019/05/08 1:42:08 em EET,43,Kvinna,Mitt enda modersmål,Intressant att känna efter känslor på ord
19,2019/05/20 4:56:31 em EET,43,Man,Mitt enda modersmål,NA
20,2019/05/20 4:20:52 em EET,45,Kvinna,Ett av mina modersmål,NA
21,2019/05/07 12:52:27 em EET,46,Man,Mitt enda modersmål,Det borde stått något i början (inför första uppgiften) att jag inte skulle ta styrkan av känslan i beaktelse.
22,2019/05/20 3:23:33 em EET,46,Kvinna,Mitt enda modersmål,NA
23,2019/05/07 12:41:38 em EET,47,Kvinna,Mitt enda modersmål,NA
24,2019/05/07 1:36:22 em EET,49,Kvinna,Mitt enda modersmål,NA
25,2019/05/09 11:18:42 em EET,58,Kvinna,Mitt enda modersmål,NA
