"expName","date","participant","itemID","item","correct_resp","resp","correct","RT"
"lextale","2018_Sep_13_1613",808,0,"platery","n","n",1,6.59125926125
"lextale","2018_Sep_13_1613",808,0,"denial","y","y",1,2.34813645013
"lextale","2018_Sep_13_1613",808,0,"generic","y","y",1,2.44876482432
"lextale","2018_Sep_13_1613",808,1,"mensible","n","n",1,2.34816529276
"lextale","2018_Sep_13_1613",808,2,"scornful","y","y",1,1.69411128355
"lextale","2018_Sep_13_1613",808,3,"stoutly","y","y",1,1.79481630802
"lextale","2018_Sep_13_1613",808,4,"ablaze","y","n",0,3.99201138217
"lextale","2018_Sep_13_1613",808,5,"kermshaw","n","n",1,1.2412764878
"lextale","2018_Sep_13_1613",808,6,"moonlit","y","n",0,1.40903548671
"lextale","2018_Sep_13_1613",808,7,"lofty","y","y",1,1.42581952575
"lextale","2018_Sep_13_1613",808,8,"hurricane","y","y",1,1.35892438332
"lextale","2018_Sep_13_1613",808,9,"flaw","y","y",1,0.905981724047
"lextale","2018_Sep_13_1613",808,10,"alberation","n","y",0,1.42586417256
"lextale","2018_Sep_13_1613",808,11,"unkempt","y","n",0,2.7507558349
"lextale","2018_Sep_13_1613",808,12,"breeding","y","y",1,1.42579423906
"lextale","2018_Sep_13_1613",808,13,"festivity","y","y",1,3.72297327197
"lextale","2018_Sep_13_1613",808,14,"screech","y","y",1,0.771797124904
"lextale","2018_Sep_13_1613",808,15,"savoury","y","n",0,4.88066145234
"lextale","2018_Sep_13_1613",808,16,"plaudate","n","y",0,1.19102670274
"lextale","2018_Sep_13_1613",808,17,"shin","y","y",1,0.922732574312
"lextale","2018_Sep_13_1613",808,18,"fluid","y","y",1,1.05686699518
"lextale","2018_Sep_13_1613",808,19,"spaunch","n","n",1,1.67735095078
"lextale","2018_Sep_13_1613",808,20,"allied","y","y",1,1.00656900737
"lextale","2018_Sep_13_1613",808,21,"slain","y","y",1,1.07351827911
"lextale","2018_Sep_13_1613",808,22,"recipient","y","y",1,5.19918244977
"lextale","2018_Sep_13_1613",808,23,"exprate","n","n",1,1.05688675041
"lextale","2018_Sep_13_1613",808,24,"eloquence","y","n",0,1.27482085962
"lextale","2018_Sep_13_1613",808,25,"cleanliness","y","y",1,0.93953044201
"lextale","2018_Sep_13_1613",808,26,"dispatch","y","y",1,1.10712428723
"lextale","2018_Sep_13_1613",808,27,"rebondicate","n","n",1,1.30848415789
"lextale","2018_Sep_13_1613",808,28,"ingenious","y","n",0,4.00852833057
"lextale","2018_Sep_13_1613",808,29,"bewitch","y","n",0,1.00648880116
"lextale","2018_Sep_13_1613",808,30,"skave","n","y",0,1.50974485732
"lextale","2018_Sep_13_1613",808,31,"plaintively","y","y",1,5.88686814889
"lextale","2018_Sep_13_1613",808,32,"kilp","n","n",1,0.956284058007
"lextale","2018_Sep_13_1613",808,33,"interfate","n","y",0,1.20775384674
"lextale","2018_Sep_13_1613",808,34,"hasty","y","y",1,2.1301920682
"lextale","2018_Sep_13_1613",808,35,"lengthy","y","y",1,2.29790365456
"lextale","2018_Sep_13_1613",808,36,"fray","y","y",1,1.82854400832
"lextale","2018_Sep_13_1613",808,37,"crumper","n","y",0,1.47595828645
"lextale","2018_Sep_13_1613",808,38,"upkeep","y","n",0,1.19106147194
"lextale","2018_Sep_13_1613",808,39,"majestic","y","y",1,2.86807579369
"lextale","2018_Sep_13_1613",808,40,"magrity","n","n",1,1.07368501321
"lextale","2018_Sep_13_1613",808,41,"nourishment","y","y",1,1.34197044934
"lextale","2018_Sep_13_1613",808,42,"abergy","n","n",1,5.06511677708
"lextale","2018_Sep_13_1613",808,43,"proom","n","y",0,1.05685632736
"lextale","2018_Sep_13_1613",808,44,"turmoil","y","y",1,1.37553497149
"lextale","2018_Sep_13_1613",808,45,"carbohydrate","y","y",1,1.77805834587
"lextale","2018_Sep_13_1613",808,46,"scholar","y","y",1,0.956070701579
"lextale","2018_Sep_13_1613",808,47,"turtle","y","y",1,0.85555335175
"lextale","2018_Sep_13_1613",808,48,"fellick","n","n",1,8.13414429848
"lextale","2018_Sep_13_1613",808,49,"destription","n","y",0,0.788525059108
"lextale","2018_Sep_13_1613",808,50,"cylinder","y","y",1,0.889047545295
"lextale","2018_Sep_13_1613",808,51,"censorship","y","y",1,1.09056348223
"lextale","2018_Sep_13_1613",808,52,"celestial","y","n",0,2.96878200346
"lextale","2018_Sep_13_1613",808,53,"rascal","y","n",0,2.16367006246
"lextale","2018_Sep_13_1613",808,54,"purrage","n","y",0,0.771764726334
"lextale","2018_Sep_13_1613",808,55,"pulsh","n","y",0,0.788628576485
"lextale","2018_Sep_13_1613",808,56,"muddy","y","y",1,0.754996886577
"lextale","2018_Sep_13_1613",808,57,"quirty","n","y",0,1.19106739851
"lextale","2018_Sep_13_1613",808,58,"pudour","n","y",0,1.97929138799
"lextale","2018_Sep_13_1613",808,59,"listless","y","y",1,3.25383606956
"lextale","2018_Sep_13_1613",808,60,"wrought","y","y",1,1.47611869887
