"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,0,"SQUEEZE","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,0,"SQUEEZE","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,1,"PLOD","Arm",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,1,"PLOD","Leg",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,2,"SKATE","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,2,"SKATE","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,3,"TIPTOE","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,3,"TIPTOE","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,4,"STRUT","Arm",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,4,"STRUT","Leg",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,5,"SLIP","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,5,"SLIP","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,6,"STUMBLE","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,6,"STUMBLE","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,7,"DANCE","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,7,"DANCE","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,8,"CROUCH","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,8,"CROUCH","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,9,"TUG","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,9,"TUG","Leg",3
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1500",808,10,"SPRINT","Arm",4
