"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,0,"SKRAPA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,0,"SKRAPA","Ben",3
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,1,"JOGGA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,1,"JOGGA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,2,"RAFSA","Arm",6
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,2,"RAFSA","Ben",2
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,3,"SLÅ","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,3,"SLÅ","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,4,"FILA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,4,"FILA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,5,"TRYCKA","Arm",6
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,5,"TRYCKA","Ben",2
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,6,"BINDA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,6,"BINDA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,7,"FLANERA","Arm",6
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,7,"FLANERA","Ben",2
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,8,"KLIVA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,8,"KLIVA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,9,"SLEVA","Arm",6
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,9,"SLEVA","Ben",2
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,10,"DANSA","Arm",4
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,10,"DANSA","Ben",6
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,11,"ÅLA","Arm",5
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,11,"ÅLA","Ben",5
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,12,"TÅGA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,12,"TÅGA","Ben",6
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,13,"RAGLA","Arm",4
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,13,"RAGLA","Ben",4
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,14,"PILLA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,14,"PILLA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,15,"RUSA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,15,"RUSA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,16,"STAPPLA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,16,"STAPPLA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,17,"STUDSA","Arm",6
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,17,"STUDSA","Ben",2
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,18,"ILA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,18,"ILA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,19,"KRYPA","Arm",3
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,19,"KRYPA","Ben",5
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,20,"DRA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,20,"DRA","Ben",3
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,21,"SIGNERA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,21,"SIGNERA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,22,"KLICKA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,22,"KLICKA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,23,"KLÄTTRA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,23,"KLÄTTRA","Ben",3
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,24,"IRRA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,24,"IRRA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,25,"SKURA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,25,"SKURA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,26,"RO","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,26,"RO","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,27,"SNUBBLA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,27,"SNUBBLA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,28,"FLÄTA","Arm",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,28,"FLÄTA","Ben",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,29,"SPARKA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,29,"SPARKA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,30,"SPRINGA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,30,"SPRINGA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,31,"NAPPA","Arm",4
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,31,"NAPPA","Ben",4
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,32,"GLIDA","Arm",1
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,32,"GLIDA","Ben",7
"verb_norming_L1-swe_no_translation","2018_Sep_17_1307",810,33,"TASSA","Arm",1
