"verb","translation_simple","translation_details","comment","Score1","Score_comment1","Score2","Score_comment2","Agreed"
"bash","jag vet inte","ingen aning","",0,"",0,"",1
"bash","jag vet inte","","",0,"",0,"",1
"bash","skälla","","",0,"",0,"",1
"bash","slå","","",1,"",1,"",1
"bash","slå till","typ","",1,"",1,"",1
"bash","smälla till","jag vet inte… smälla till","",1,"",1,"",1
"bind","binda","kanske","",1,"",1,"",1
"bind","binda","","",1,"",1,"",1
"bind","binda ihop","","",1,"",1,"",1
"bind","binda, binda fast","","",1,"",1,"",1
"bind","jag vet inte","","",0,"",0,"",1
"bounce","hoppa","","",1,"",0,"",0
"bounce","jag vet inte","","",0,"",0,"",1
"bounce","studsa","","",1,"",1,"",1
"braid","fläta","","",1,"",1,"",1
"braid","jag vet inte","","",0,"",0,"",1
"brush","borsta","","",1,"",1,"",1
"brush","jag vet inte","","",0,"",0,"",1
"carve","gräva","","",0,"",0,"",1
"carve","jag vet inte","","",0,"",0,"",1
"carve","karva","","",1,"",1,"",1
"carve","karva, rista in","","",1,"",1,"",1
"carve","karva, tälja","","",1,"",1,"",1
"carve","rispa","typ","",0,"",0,"",1
"carve","rista","typ","",1,"",1,"",1
"carve","skära i något","de e nåt man gör med kniv, kanske att man skär i något på nåt vänster. Typ.","",1,"",1,"",1
"carve","tälja, använda sig av en kniv, gravera, göra märken med en kniv","","",1,"",1,"",1
"catch","fånga","","",1,"",1,"",1
"chop","hacka","typ","",1,"",1,"",1
"chop","hacka","","",1,"",1,"",1
"chop","hacka ","lök eller morötter","",1,"",1,"",1
"chop","hugga","","",1,"",1,"",1
"chop","hugga av","","",1,"",1,"",1
"chop","hugga, skära av","","",1,"",1,"",1
"chop","hugga, skära av, hugga av","","",1,"",1,"",1
"chop","jag vet inte","","",0,"",0,"",1
"chop","skära av eller isär","","",1,"",1,"",1
"clap","klappa","","",1,"",1,"",1
"clap","klappa händerna","","",1,"",1,"",1
"clap","klappa, applådera","","",1,"",1,"",1
"clap","smeka, klappa","","",1,"",1,"",1
"claw","hålla sig fast","typ","",0,"",0,"",1
"claw","jag vet inte","jag tror att det har mer med armar att göra än med ben","",0,"",0,"",1
"claw","jag vet inte","","",0,"",0,"",1
"claw","kloa","","",1,"",1,"",1
"claw","klättra","","",0,"",0,"",1
"claw","klösa","","",1,"",1,"",1
"claw","sätta klorna i","","",0,"",1,"",0
