"verb","translation_simple","translation_details","comment","score","score_comment","coder"
"bash","slå","","","","",""
"bash","slå till","typ","","","",""
"bash","jag vet inte","","","","",""
"bash","jag vet inte","ingen aning","","","",""
"bash","skälla","","","","",""
"bash","smälla till","jag vet inte… smälla till","","","",""
"bind","binda, binda fast","","","","",""
"bind","jag vet inte","","","","",""
"bind","binda","","","","",""
"bind","binda","kanske","","","",""
"bind","binda ihop","","","","",""
"bounce","hoppa","","","","",""
"bounce","studsa","","","","",""
"bounce","jag vet inte","","","","",""
"braid","fläta","","","","",""
"braid","jag vet inte","","","","",""
"brush","borsta","","","","",""
"brush","jag vet inte","","","","",""
"carve","gräva","","","","",""
"carve","karva, tälja","","","","",""
"carve","jag vet inte","","","","",""
"carve","karva","","","","",""
"carve","rista","typ","","","",""
"carve","skära i något","de e nåt man gör med kniv, kanske att man skär i något på nåt vänster. Typ.","","","",""
"carve","karva, rista in","","","","",""
"carve","tälja, använda sig av en kniv, gravera, göra märken med en kniv","","","","",""
"carve","rispa","typ","","","",""
"catch","fånga","","","","",""
"chop","hacka","","","","",""
"chop","hacka","typ","","","",""
"chop","hugga","","","","",""
"chop","jag vet inte","","","","",""
"chop","hugga, skära av, hugga av","","","","",""
"chop","hacka ","lök eller morötter","","","",""
"chop","skära av eller isär","","","","",""
"chop","hugga av","","","","",""
"chop","hugga, skära av","","","","",""
"clap","klappa, applådera","","","","",""
"clap","klappa","","","","",""
"clap","klappa händerna","","","","",""
"clap","smeka, klappa","","","","",""
"claw","klösa","","","","",""
"claw","jag vet inte","","","","",""
"claw","jag vet inte","jag tror att det har mer med armar att göra än med ben","","","",""
"claw","kloa","","","","",""
"claw","klättra","","","","",""
"claw","hålla sig fast","typ","","","",""
"claw","sätta klorna i","","","","",""
"clean","städa, rengöra","","","","",""
"clean","städa","","","","",""
"clean","rengöra","","","","",""
"clean","göra rent","","","","",""
"click","klicka","","","","",""
"click","jag vet inte","","","","",""
"click","clicka","","","","",""
"clutch","haka fast, koppla ihop","","","","",""
"clutch","jag vet inte","","","","",""
"clutch","jag vet inte","har med händerna att göra iaf","","","",""
"clutch","trampa","","","","",""
"clutch","knyta näven","typ","","","",""
"clutch","koppla","","","","",""
"creep","krypa","","","","",""
"creep","krypa","kanske","","","",""
"creep","smyga","","","","",""
"creep","jag vet inte","","","","",""
"creep","jag vet inte","ingen aning","","","",""
"crouch","krypa ihop","","","","",""
"crouch","jag vet inte","","","","",""
"crouch","jag vet inte","det låter som att det är handrelaterat","","","",""
"crouch","krossa","""krossa kanske... Näeee""","","","",""
"crouch","böja sig ner","","","","",""
"crouch","huka sig, krypa ihop","","","","",""
"crouch","kröka, böja","","","","",""
"crouch","huka","","","","",""
"crouch","böja sig","","","","",""
"cut","klippa, skära","","","","",""
"cut","klippa","","","","",""
"cut","dela, skära","""dela, skära typ dela""","","","",""
"cut","skära","","","","",""
"cut","kapa","","","","",""
"cut","skära, klippa","","","","",""
"cycle","cykla","","","","",""
"cycle","jag vet inte","","","","",""
"cycle","cirkulera","","","","",""
"dance","dansa","","","","",""
"dash","slå","","","","",""
"dash","slå","","ppt pressed wrong: should be 1 on leg-relatedness","","",""
"dash","jag vet inte","","","","",""
"dash","daska till","","","","",""
"dash","daska, slå","","","","",""
"dash","smasha","eller nåt, jag vet inte","","","",""
"dash","daska","","","","",""
"dig","gräva","","","","",""
"dig","jag vet inte","","","","",""
"dunk","dunka","","","","",""
"dunk","jag vet inte","","","","",""
"dunk","jag vet inte","osäker men jag tror det har mer med armar än med ben att göra","","","",""
"dunk","doppa","","ppt pressed wrong: correct choiche would be 1 for leg and 7 for arm","","",""
"file","ordna, arkivera","","","","",""
"file","jag vet inte","","","","",""
"file","fila","","","","",""
"file","arkivera, spara","sätter en fil på rätt plats. Man sparar ett viktigt papper till ett viktigt projekt. Fylla i kan det också va. Nej det var det andra. Inte att fylla i utan att man arkiverar typ, sparar ett papper eller en fil.  ","","","",""
"file","arkivera","","","","",""
"file","arkivera","typ kanske","","","",""
"file","sortera i mappar","jag förstår vad det betyder,  ska jag förklara det med ord då? det är som att man sorterar i mappar","","","",""
"file","arkivera, sätta in i mappar","","","","",""
"flee","fly","","","","",""
"flee","jag vet inte","","","","",""
"fold","vika","","","","",""
"fold","jag vet inte","","","","",""
"gesture","gestikulera","","","","",""
"gesture","gestikulera","kanske","","","",""
"gesture","jag vet inte","","","","",""
"gesture","gest, gester","","","","",""
"glide","glida","","","","",""
"glide","jag vet inte","","","","",""
"grab","fånga","","","","",""
"grab","gripa tag i, ta tag i","","","","",""
"grab","ta","","","","",""
"grab","grabba tag","","","","",""
"grab","greppa","","","","",""
"grab","ta tag","","","","",""
"grab","ta tag i","","","","",""
"grab","få tag på, ta tag i","","","","",""
"grab","ta tag i ","","","","",""
"grab","grabba","","","","",""
"grasp","gripa tag i, greppa","","","","",""
"grasp","jag vet inte","","","","",""
"grasp","jag vet inte","jag vet inte översättningen","","","",""
"grasp","sträcka sig, grabba tag","","","","",""
"grasp","fatta","","","","",""
"grasp","greppa","","","","",""
"grasp","ta tag i något","","","","",""
"grasp","sträcka sig efter något","","","","",""
"grasp","häpna, ta sig för andan","","","","",""
"grasp","nå","","","","",""
"grate","riva","","","","",""
"grate","jag vet inte","","","","",""
"grate","jag vet inte","jag förknippar det med armar","","","",""
"grate","hyvla","","","","",""
"grip","gripa tag i","","","","",""
"grip","jag vet inte","","","","",""
"grip","greppa","","","","",""
"grip","gripa","","","","",""
"grip","ta tag","","","","",""
"grip","att gripa tag i ngt","kanske","","","",""
"grip","gripa, gripa tag i","","","","",""
"grip","gripa tag i ","kanske jag vet inte","","","",""
"grovel","gräva","tror jag men jag är inte säker","","","",""
"grovel","ingen aning","","","","",""
"grovel","vet inte","","","","",""
"grovel","jag vet inte","","","","",""
"grovel","jag vet inte","""inte en aning""","","","",""
"grovel","jag vet inte","ingen aning","","","",""
"grovel","jag vet inte","jag tror det har med ben att göra","","","",""
"grovel","ta, grabba tag, snatta","","","","",""
"hack","hacka","","","","",""
"hack","jag vet inte","","","","",""
"hack","hacka på internet","inte med en hacka","","","",""
"hack","knäcka något","","","","",""
"hack","göra intrång, bryta sig in","","","","",""
"hike","gå på tur, vandra","","","","",""
"hike","vandra","","ppt pressed wrong: correct choice for hands is 2","","",""
"hike","vandra","","","","",""
"hike","vandra","""åka på utflykt, äventyr... Nej... Vandra!""","","","",""
"hike","jag vet inte","","","","",""
"hike","jag vet inte","benrelaterat","","","",""
"hike","hajka","","","","",""
"hike","hajka, övernatta","","","","",""
"hike","gå ut och promenera i skogen","typ","","","",""
"hobble","ingen aning","","","","",""
"hobble","jag vet inte","","","","",""
"hobble","snubbla","""jag vet inte, det låter som snubbla""","","","",""
"hop","hoppa","","","","",""
"hop","hoppa","kanske","","","",""
"hop","jag vet inte","","","","",""
"hop","skutta","","","","",""
"hop","hoppa, kliva ombord","","","","",""
"hug","kramas","","","","",""
"hug","krama","","","","",""
"inch","gå små små steg, smyga","","","","",""
"inch","jag vet inte","","","","",""
"inch","klia","","","","",""
"inch","tumma","","","","",""
"inch","en bit","inch betyder väl typ en bit, det är inget verb, jag vet inte vad de","","","",""
"jog","jogga","","","","",""
"jog","jag vet inte","","","","",""
"jog","jag vet inte","osäker men förknippar det med armar","","","",""
"jump","hoppa","","","","",""
"kick","klicka","","","","",""
"kick","sparka","","","","",""
"kick","jag vet inte","","","","",""
"kneel","gå ner på knä, knäböja","","","","",""
"kneel","böja","","","","",""
"kneel","knäböja","","","","",""
"kneel","buga","","","","",""
"kneel","gå ner på knä","","","","",""
"kneel","sy","","","","",""
"kneel","falla på knä","","","","",""
"kneel","böja, böja sig","","","","",""
"kneel","sitta på knä","knäa, eller nej! … sitta på knä","","","",""
"kneel","knäa","","","","",""
"knock","knacka","","","","",""
"knock","slå","","","","",""
"leap","hoppa","","","","",""
"leap","hoppa","""typ hoppa""","","","",""
"leap","hoppa, ta ett stort kliv","","","","",""
"leap","springa","","","","",""
"leap","jag vet inte","","","","",""
"leap","jag vet inte","jag vet inte översättningen faktiskt","","","",""
"leap","löpa","","","","",""
"leap","ta ett språng","","","","",""
"lift","lyfta","","","","",""
"lift","bära","","","","",""
"lift","höja","","","","",""
"limp","halta","","","","",""
"limp","halta","","ppt pressed wrong : correct for arms 1 and legs 7","","",""
"limp","jag vet inte","","","","",""
"lumber","gå","vet inte känns som att typ gå","","","",""
"lumber","halta","är osäker men tror det betyder halta","","","",""
"lumber","lufsa","","","","",""
"lumber","vandra","","","","",""
"lumber","jag vet inte","","","","",""
"lumber","jag vet inte","ingen aning","","","",""
"lumber","vanka, halta","betyder väl vanka.. Halta..eller är det vila? Vanka tror jag""","","","",""
"lumber","fälla ett träd","","","","",""
"lumber","skogshuggeri","","","","",""
"march","marschera","","","","",""
"mount","gå uppför, kliva upp på","","","","",""
"mount","jag vet inte","","","","",""
"mount","bestiga","","","","",""
"mount","grensla","","","","",""
"mount","kliva på cykeln","typ, men det känns som att man kan använda det i vidare bemärkelse men jag vet inte","","","",""
"mount","stiga, bestiga","","","","",""
"mount","montera","","","","",""
"nip","nypa","","","","",""
"nip","nypa, knipsa","","","","",""
"nip","jag vet inte","","","","",""
"nip","jag vet inte","aldrig hört","","","",""
"nip","nypa tag i ","jag vet inte jag gissar på nypa tag i","","","",""
"pace","vagga av och an, gå fram och tillbaka","""stega, kliva.. Nej vänta""","","","",""
"pace","jag vet inte","","","","",""
"pace","jag vet inte","kommer inte ihåg vad det betyder","","","",""
"pace","skynda","osäker, men benrelaterat","","","",""
"pace","stega","","","","",""
"pace","stega upp","","","","",""
"pace","gå långsamt","","","","",""
"pace","bestämma takten","","","","",""
"pace","takt","","","","",""
"pace","hastighet","typ men det är ju inte ett verb","","","",""
"pat","ingen aning","","","","",""
"pat","klappa, smeka","","","","",""
"pat","jag vet inte","","","","",""
"pat","klappa","","ppt pressed wrong: 7 for hand-relatedness instead of 1","","",""
"pat","klappa","","","","",""
"pat","daska till","jag vet inte gissar på typ daska till eller nåt","","","",""
"pedal","cykla","","","","",""
"pedal","cykla, få pedalerna att snurra","","","","",""
"pedal","jag vet inte","","","","",""
"pedal","trampa","","","","",""
"pedal","pedala","","","","",""
"pedal","","ingen aning låter som nåt fotrelaterat","","","",""
"pedal","trampa på en pedal","jag skulle gissa att det är när man trampar på en pedal typ på en cykel","","","",""
"pedal","gasa","","","","",""
"pedal","paddla","","","","",""
"pedal","trampa på en cykel","","","","",""
"peel","skala","","","","",""
"peel","jag vet inte","","","","",""
"pinch","nypa","","","","",""
"pinch","nypa","kanske","","","",""
"pinch","jag vet inte","","","","",""
"pinch","sticka","","","","",""
"pinch","nypa ","","","","",""
"plod","plöja, ploga","","","","",""
"plod","jag vet inte","","","","",""
"plod","jag vet inte","ingen aning","","","",""
"pluck","plocka","","","","",""
"pluck","plocka","""alltså som plocka en höna""","","","",""
"pluck","plocka","kanske","","","",""
"pluck","plocka","osäker, men har med händerna att göra","","","",""
"pluck","plocka","typ men inte riktigt","","","",""
"pluck","vet inte","","","","",""
"pluck","jag vet inte","","","","",""
"pluck","noppa","","","","",""
"poke","peta","","","","",""
"poke","jag vet inte","","","","",""
"poke","peka","","","","",""
"poke","peta på någon","peta på någon jobbigt","","","",""
"poke","peka, signalera, ge lite uppmärksamhet","","","","",""
"poke","stöta","","","","",""
"poke","peta på","","","","",""
"polish","polera, torka av","","","","",""
