verb;translation_simple;translation_details;comment;score;score_comment;coder
bash;jag vet inte;ingen aning;;0;;
bash;jag vet inte;;;0;;PJ
bash;skälla;;;0;;
bash;slå;;;1;;
bash;slå till;typ;;1;;
bash;smälla till;jag vet inte… smälla till;;1;;
bind;binda;kanske;;1;;
bind;binda;;;1;;
bind;binda ihop;;;1;;
bind;binda, binda fast;;;1;;
bind;jag vet inte;;;0;;
bounce;hoppa;;;1;;
bounce;jag vet inte;;;0;;
bounce;studsa;;;1;;
braid;fläta;;;1;;
braid;jag vet inte;;;0;;
brush;borsta;;;1;;
brush;jag vet inte;;;0;;
carve;gräva;;;0;;
carve;jag vet inte;;;0;;
carve;karva;;;1;;
carve;karva, rista in;;;1;;
carve;karva, tälja;;;1;;
carve;rispa;typ;;0;;
carve;rista;typ;;1;;
carve;skära i något;de e nåt man gör med kniv, kanske att man skär i något på nåt vänster. Typ.;;1;;
carve;tälja, använda sig av en kniv, gravera, göra märken med en kniv;;;1;;
catch;fånga;;;1;;
chop;hacka;typ;;1;;
chop;hacka;;;1;;
chop;hacka ;lök eller morötter;;1;;
chop;hugga;;;1;;
chop;hugga av;;;1;;
chop;hugga, skära av;;;1;;
chop;hugga, skära av, hugga av;;;1;;
chop;jag vet inte;;;0;;
chop;skära av eller isär;;;1;;
clap;klappa;;;1;;
clap;klappa händerna;;;1;;
clap;klappa, applådera;;;1;;
clap;smeka, klappa;;;1;;
claw;hålla sig fast;typ;;0;;
claw;jag vet inte;jag tror att det har mer med armar att göra än med ben;;0;;
claw;jag vet inte;;;0;;
claw;kloa;;;1;;
claw;klättra;;;0;;
claw;klösa;;;1;;
claw;sätta klorna i;;;0;;
clean;göra rent;;;1;;
clean;rengöra;;;1;;
clean;städa;;;1;;
clean;städa, rengöra;;;1;;
click;clicka;;;1;;
click;jag vet inte;;;0;;
click;klicka;;;1;;
clutch;haka fast, koppla ihop;;;0;;
clutch;jag vet inte;har med händerna att göra iaf;;0;;
clutch;jag vet inte;;;0;;
clutch;knyta näven;typ;;0;;
clutch;koppla;;;0;;
clutch;trampa;;;0;;
creep;jag vet inte;ingen aning;;0;;
creep;jag vet inte;;;0;;
creep;krypa;kanske;;1;;
creep;krypa;;;1;;
creep;smyga;;;1;;
crouch;böja sig;;;1;;
crouch;böja sig ner;;;1;;
crouch;huka;;;1;;
crouch;huka sig, krypa ihop;;;1;;
crouch;jag vet inte;det låter som att det är handrelaterat;;0;;
crouch;jag vet inte;;;0;;
crouch;krossa;"""krossa kanske... Näeee""";;0;;
crouch;krypa ihop;;;1;;
crouch;kröka, böja;;;0;;
cut;dela, skära;"""dela, skära typ dela""";;1;;
cut;kapa;;;1;;
cut;klippa;;;1;;
cut;klippa, skära;;;1;;
cut;skära;;;1;;
cut;skära, klippa;;;1;;
cycle;cirkulera;;;-99;cycle can mean cirkulera, but is not related to the meaning we were looking for. (cykla);
cycle;cykla;;;1;;
cycle;jag vet inte;;;0;;
dance;dansa;;;1;;
dash;daska;;;0;;
dash;daska till;;;0;;
dash;daska, slå;;;1;;
dash;jag vet inte;;;0;;
dash;slå;;;1;;
dash;slå;;ppt pressed wrong: should be 1 on leg-relatedness;1;;
dash;smasha;eller nåt, jag vet inte;;0;;
dig;gräva;;;1;;
dig;jag vet inte;;;0;;
