"expName","date","participant","trial","verb","translation","score","verb_category","cognate_bin","cognate","in_orig"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,1,"skate","åka skridskor, skejta",1,"leg",1,"skejta","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,2,"stumble","snubbla, snava",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,3,"ramble","svaja, rumla runt",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,4,"leap","hoppa, ta ett stort kliv",1,"leg",-99,"löpa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,5,"switch","slå av/på, byta, knäppa",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,6,"grip","gripa tag i",1,"arm",1,"gripa, greppa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,7,"jump","hoppa",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,8,"knock","knacka",1,"arm",1,"knacka","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,9,"twine","tvinna",1,"arm",1,"tvinna","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,10,"stand","stå, stå upp",1,"leg",1,"stå","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,11,"slither","slingra sig",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,12,"step","kliva, ta ett steg",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,13,"slip","halka",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,14,"scratch","klia, skrapa",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,15,"sneak","smyga",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,16,"tread","beträda, stå på",1,"leg",1,"träda","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,17,"skim","skumma av",1,"arm",1,"skumma","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,18,"pat","klappa, smeka",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,19,"wade","vada",1,"leg",1,"vada","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,20,"bind","binda, binda fast",1,"arm",1,"binda","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,21,"roam","stryka omkring, gå runt",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,22,"rush","rusa, rusha",1,"leg",-99,"rusa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,23,"toddle","stappla",0,"leg",0,"","no"
