"expName","date","participant","trial","verb","category","rated_category","rating","verb_normed"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,1,"skate","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,1,"skate","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,2,"stumble","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,2,"stumble","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,3,"ramble","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,3,"ramble","leg","Leg",6,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,4,"leap","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,4,"leap","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,5,"switch","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,5,"switch","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,6,"grip","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,6,"grip","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,7,"jump","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,7,"jump","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,8,"knock","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,8,"knock","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,9,"twine","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,9,"twine","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,10,"stand","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,10,"stand","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,11,"slither","leg","Arm",4,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,11,"slither","leg","Leg",4,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,12,"step","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,12,"step","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,13,"slip","leg","Arm",1,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,13,"slip","leg","Leg",7,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,14,"scratch","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,14,"scratch","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,15,"sneak","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,15,"sneak","leg","Leg",7,"june+sept"
