SubjID,Word,Rating,Task
1,be,7,imageability
2,be,7,imageability
3,be,7,imageability
4,be,4,imageability
5,be,7,imageability
6,be,6,imageability
7,be,7,imageability
8,be,7,imageability
9,be,7,imageability
10,be,7,imageability
11,be,2,imageability
12,be,6,imageability
13,be,6,imageability
14,be,6,imageability
15,be,3,imageability
16,be,7,imageability
17,be,7,imageability
18,be,6,imageability
19,be,5,imageability
20,be,7,imageability
21,be,1,imageability
22,be,7,imageability
23,be,4,imageability
24,be,7,imageability
25,be,7,imageability
1,gestikulera,7,imageability
2,gestikulera,7,imageability
3,gestikulera,6,imageability
4,gestikulera,6,imageability
5,gestikulera,6,imageability
6,gestikulera,5,imageability
7,gestikulera,7,imageability
8,gestikulera,2,imageability
9,gestikulera,7,imageability
10,gestikulera,7,imageability
11,gestikulera,3,imageability
12,gestikulera,6,imageability
13,gestikulera,7,imageability
14,gestikulera,4,imageability
15,gestikulera,7,imageability
16,gestikulera,5,imageability
17,gestikulera,7,imageability
18,gestikulera,6,imageability
19,gestikulera,4,imageability
20,gestikulera,7,imageability
21,gestikulera,4,imageability
22,gestikulera,7,imageability
23,gestikulera,4,imageability
24,gestikulera,7,imageability
25,gestikulera,7,imageability
1,klappa,7,imageability
2,klappa,5,imageability
3,klappa,7,imageability
4,klappa,6,imageability
5,klappa,7,imageability
6,klappa,5,imageability
7,klappa,7,imageability
8,klappa,4,imageability
9,klappa,7,imageability
10,klappa,7,imageability
11,klappa,5,imageability
12,klappa,6,imageability
13,klappa,7,imageability
14,klappa,7,imageability
15,klappa,3,imageability
16,klappa,7,imageability
17,klappa,7,imageability
18,klappa,5,imageability
19,klappa,6,imageability
20,klappa,6,imageability
21,klappa,3,imageability
22,klappa,7,imageability
23,klappa,7,imageability
24,klappa,7,imageability
25,klappa,7,imageability
1,rota,7,imageability
2,rota,7,imageability
3,rota,5,imageability
4,rota,6,imageability
5,rota,3,imageability
6,rota,5,imageability
7,rota,7,imageability
8,rota,4,imageability
9,rota,7,imageability
10,rota,7,imageability
11,rota,4,imageability
12,rota,5,imageability
13,rota,7,imageability
14,rota,3,imageability
15,rota,7,imageability
16,rota,6,imageability
17,rota,7,imageability
18,rota,5,imageability
19,rota,4,imageability
20,rota,6,imageability
21,rota,4,imageability
22,rota,5,imageability
23,rota,6,imageability
24,rota,7,imageability
25,rota,7,imageability
1,ragla,3,imageability
2,ragla,3,imageability
3,ragla,4,imageability
4,ragla,4,imageability
5,ragla,1,imageability
6,ragla,6,imageability
7,ragla,6,imageability
8,ragla,4,imageability
9,ragla,7,imageability
10,ragla,7,imageability
11,ragla,3,imageability
12,ragla,3,imageability
13,ragla,6,imageability
14,ragla,4,imageability
15,ragla,6,imageability
16,ragla,6,imageability
17,ragla,6,imageability
18,ragla,7,imageability
19,ragla,6,imageability
20,ragla,4,imageability
21,ragla,7,imageability
22,ragla,6,imageability
23,ragla,5,imageability
24,ragla,7,imageability
25,ragla,7,imageability
1,rycka,7,imageability
2,rycka,4,imageability
3,rycka,6,imageability
4,rycka,6,imageability
5,rycka,6,imageability
6,rycka,6,imageability
7,rycka,7,imageability
8,rycka,1,imageability
9,rycka,7,imageability
10,rycka,6,imageability
11,rycka,4,imageability
12,rycka,4,imageability
13,rycka,7,imageability
14,rycka,6,imageability
15,rycka,5,imageability
16,rycka,5,imageability
17,rycka,7,imageability
18,rycka,2,imageability
19,rycka,5,imageability
20,rycka,7,imageability
21,rycka,4,imageability
22,rycka,7,imageability
23,rycka,4,imageability
24,rycka,7,imageability
25,rycka,7,imageability
1,snubbla,5,imageability
2,snubbla,7,imageability
3,snubbla,7,imageability
4,snubbla,6,imageability
5,snubbla,6,imageability
6,snubbla,6,imageability
