TimeDate,Age,Sex,SwedishStatus,be,gestikulera,klappa,rota,ragla,rycka,snubbla,pinna,smaka,skynda,skära,skälla,knivhugga,stiga,daska,morra,putta,slipa,springa,knycka,vandra,borsta,vada,skrubba,dunka,trampa,bulta,vira,svabba,piska,hacka,skutta,lunka,banka,gråta,krama,skina,snärta,halka,svassa,ta,trippa,skrida,kliva,skrika,träda,viska,svaja,skyffla,fly,fråga,klicka,gå,promenera,jama,överraska,traska,sjunga,rafsa,störa,uppmuntra,underhålla,trumma,kräva,vingla,slunga,bråka,badda,stega,skrämma,berätta,knäa,grabba,fila,marschera,läsa,skräna,gripa,rista,linda,prata,vika,varna,stövla,ränna,skala,kvittra,vanka,smeka,se,putsa,glimma,trösta,pilla,tvätta,klippa,stå,torka,diskutera,föreslå,känna,plocka,greppa,sucka,löpa,gnugga,kasta,kila,flanera,nypa,jogga,skejta,slå,klösa,sno,hissa,hoppa,ströva,skura,knacka,karva,lukta,tvinna,glida,ila,gräva,anmäla,snava,släntra,ösa,norpa,fånga,tåga,sleva,signera,knalla,spraka,smyga,knata,höra,peta,cykla,fläta,hota,hiva,stappla,polera,donera,sammanfatta,rusa,vackla,sparka,repa,linka,tassa,halta,sälja,stampa,bjuda,strutta,,be,gestikulera,klappa,rota,ragla,rycka,snubbla,pinna,smaka,skynda,skära,skälla,knivhugga,stiga,daska,morra,putta,slipa,springa,knycka,vandra,borsta,vada,skrubba,dunka,trampa,bulta,vira,svabba,piska,hacka,skutta,lunka,banka,gråta,krama,skina,snärta,halka,svassa,ta,trippa,skrida,kliva,skrika,träda,viska,svaja,skyffla,fly,fråga,klicka,gå,promenera,jama,överraska,traska,sjunga,rafsa,störa,uppmuntra,underhålla,trumma,kräva,vingla,slunga,bråka,badda,stega,skrämma,berätta,knäa,grabba,fila,marschera,läsa,skräna,gripa,rista,linda,prata,vika,varna,stövla,ränna,skala,kvittra,vanka,smeka,se,putsa,glimma,trösta,pilla,tvätta,klippa,stå,torka,diskutera,föreslå,känna,plocka,greppa,sucka,löpa,gnugga,kasta,kila,flanera,nypa,jogga,skejta,slå,klösa,sno,hissa,hoppa,ströva,skura,knacka,karva,lukta,tvinna,glida,ila,gräva,anmäla,snava,släntra,ösa,norpa,fånga,tåga,sleva,signera,knalla,spraka,smyga,knata,höra,peta,cykla,fläta,hota,hiva,stappla,polera,donera,sammanfatta,rusa,vackla,sparka,repa,linka,tassa,halta,sälja,stampa,bjuda,strutta,,be,gestikulera,klappa,rota,ragla,rycka,snubbla,pinna,smaka,skynda,skära,skälla,knivhugga,stiga,daska,morra,putta,slipa,springa,knycka,vandra,borsta,vada,skrubba,dunka,trampa,bulta,vira,svabba,piska,hacka,skutta,lunka,banka,gråta,krama,skina,snärta,halka,svassa,ta,trippa,skrida,kliva,skrika,träda,viska,svaja,skyffla,fly,fråga,klicka,gå,promenera,jama,överraska,traska,sjunga,rafsa,störa,uppmuntra,underhålla,trumma,kräva,vingla,slunga,bråka,badda,stega,skrämma,berätta,knäa,grabba,fila,marschera,läsa,skräna,gripa,rista,linda,prata,vika,varna,stövla,ränna,skala,kvittra,vanka,smeka,se,putsa,glimma,trösta,pilla,tvätta,klippa,stå,torka,diskutera,föreslå,känna,plocka,greppa,sucka,löpa,gnugga,kasta,kila,flanera,nypa,jogga,skejta,slå,klösa,sno,hissa,hoppa,ströva,skura,knacka,karva,lukta,tvinna,glida,ila,gräva,anmäla,snava,släntra,ösa,norpa,fånga,tåga,sleva,signera,knalla,spraka,smyga,knata,höra,peta,cykla,fläta,hota,hiva,stappla,polera,donera,sammanfatta,rusa,vackla,sparka,repa,linka,tassa,halta,sälja,stampa,bjuda,strutta,Har du några kommentarer kring uppgifterna? Skriv gärna i fältet nedan.
2019/05/20 1:14:41 em EET,24,Kvinna,Mitt enda modersmål,7,7,7,7,3,7,5,7,6,7,7,7,7,7,3,7,5,7,7,6,7,7,7,7,6,7,7,6,7,5,7,7,7,7,5,7,7,4,7,5,6,7,4,7,6,5,5,7,7,5,5,7,7,7,5,7,7,5,7,7,3,5,7,7,7,7,4,7,7,4,4,7,5,7,7,7,1,7,7,7,5,7,3,7,5,6,7,6,5,7,7,7,5,7,7,6,7,7,5,2,4,7,4,7,6,6,7,7,2,7,7,7,3,4,5,5,7,7,7,5,7,7,7,7,7,4,7,7,5,6,7,5,5,7,4,4,7,7,7,7,7,7,7,4,6,7,5,4,3,4,7,7,7,7,7,7,3,7,6,7,,4,5,4,3,2,3,3,1,3,5,5,6,6,1,5,4,4,2,5,1,4,1,3,2,2,1,2,1,1,3,1,3,1,3,5,5,2,1,4,1,1,2,1,1,5,1,5,2,2,6,1,2,3,1,4,3,2,5,5,1,3,2,2,4,3,1,6,3,1,3,3,3,3,2,3,5,2,2,1,2,2,1,4,1,1,1,3,1,5,3,1,3,4,2,1,1,2,2,3,2,5,2,2,3,1,2,4,2,1,4,2,2,5,3,3,2,2,2,2,3,2,4,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2,3,1,2,2,5,2,5,2,1,2,3,4,3,2,4,3,1,1,2,2,4,2,1,,5,3,6,2,3,3,2,4,6,3,2,3,1,4,2,3,3,4,5,2,6,5,3,5,4,3,3,4,4,4,4,5,4,3,3,7,5,3,2,4,3,4,4,4,3,4,3,5,4,2,4,4,4,5,4,6,4,6,4,2,7,6,4,2,3,4,2,3,4,3,6,3,3,4,3,6,2,2,3,4,6,4,3,2,4,4,5,3,6,4,5,4,6,4,4,5,4,4,5,4,6,5,4,1,4,4,5,5,5,2,6,4,3,3,2,4,5,5,5,5,4,4,4,4,3,4,4,2,4,4,3,3,4,4,5,4,4,4,4,4,2,7,5,1,5,3,5,6,4,3,3,3,3,4,4,3,5,3,7,4,
2019/05/20 1:40:54 em EET,27,Kvinna,Mitt enda modersmål,7,7,5,7,3,4,7,1,3,5,7,2,2,1,6,2,6,2,4,3,5,5,5,4,5,3,7,5,5,7,2,5,2,6,5,7,2,5,7,7,2,2,6,7,2,1,2,3,5,6,7,2,3,2,2,6,1,1,7,2,1,2,2,1,3,3,2,5,7,5,4,5,1,3,5,5,7,2,7,5,2,5,1,2,2,6,6,5,6,1,7,2,5,7,5,1,5,7,3,1,1,3,5,6,7,6,3,1,7,2,5,6,2,3,1,6,5,1,3,5,7,5,6,7,5,7,2,3,1,5,7,6,5,6,7,6,3,5,5,2,6,5,3,5,6,3,5,7,1,7,5,2,2,1,7,3,5,6,1,7,,3,2,2,4,3,2,3,1,2,2,3,2,3,1,4,5,1,1,2,2,2,2,3,2,4,3,4,1,4,3,2,3,2,4,4,5,3,2,3,3,1,2,2,1,4,1,5,2,1,2,2,1,1,2,5,1,1,2,2,4,2,2,2,4,3,2,3,2,1,3,1,3,1,1,3,1,3,2,1,1,3,1,3,1,3,1,3,2,3,1,1,2,3,2,1,2,1,1,1,1,2,1,1,4,3,2,3,2,1,3,4,1,2,4,2,2,2,1,3,1,1,2,1,1,3,1,3,2,2,1,3,3,2,2,1,2,4,4,1,1,2,1,1,4,2,4,4,2,1,2,2,2,1,1,2,2,2,3,2,4,,3,3,5,2,3,3,3,4,4,3,4,3,2,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,3,3,2,5,5,3,3,4,4,4,4,4,3,4,5,4,4,3,4,4,4,5,5,5,4,4,2,2,6,5,3,2,4,3,1,4,4,3,5,2,4,4,4,4,2,4,3,4,4,4,3,4,3,4,6,3,5,4,4,5,5,3,4,4,4,4,4,5,4,4,4,3,4,4,3,4,5,3,4,3,2,3,3,4,4,5,4,4,4,4,4,4,2,4,3,3,3,4,3,4,4,4,4,4,5,3,4,4,3,4,4,2,3,4,4,4,4,3,3,2,3,3,4,3,4,3,6,5,"En del av orden kan ju ha dubbla betydelser beroende på kontext, preposition etc"
2019/05/20 2:08:57 em EET,27,Man,Mitt enda modersmål,7,6,7,5,4,6,7,1,7,7,7,7,7,7,6,6,6,7,7,6,7,7,7,7,7,7,3,5,5,7,7,5,3,7,7,7,4,7,7,1,5,7,1,7,7,3,7,5,7,7,7,7,7,7,5,7,7,7,3,7,7,7,7,2,7,7,7,1,4,7,5,6,1,3,7,7,3,7,4,7,7,7,6,2,2,6,4,6,7,7,7,1,7,3,7,7,7,5,7,7,7,7,7,7,7,5,7,7,1,6,6,7,7,5,6,7,7,3,4,7,1,7,3,7,5,7,6,5,1,7,6,3,3,4,5,5,1,5,5,7,7,7,3,6,5,5,7,6,7,6,6,7,7,7,1,7,7,7,7,3,,3,2,1,1,1,1,1,1,2,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,5,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,5,1,1,1,1,1,1,1,1,2,1,2,1,6,1,1,5,4,2,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,,5,4,5,3,1,3,2,4,6,3,4,1,1,4,3,3,4,4,4,4,7,3,4,4,4,3,4,4,4,2,4,7,4,3,3,7,7,4,2,4,4,5,5,4,3,4,5,4,3,1,4,4,4,7,2,3,5,7,2,2,7,4,4,3,3,4,3,4,4,2,7,1,4,4,3,6,1,4,4,4,5,4,3,3,3,3,7,3,5,4,4,4,7,3,4,4,4,4,5,6,5,4,4,4,4,4,4,5,6,2,2,4,3,1,4,4,4,5,4,4,4,3,4,4,4,7,4,1,4,4,4,4,4,3,4,4,4,5,5,4,4,7,7,1,6,3,4,4,4,3,3,3,5,1,5,3,4,4,6,2,"Roligt att göra detta. Jag gick på första känslan. Somliga ord ger mig goda vibbar för att jag associerar dem med personer som jag tycker om. Och verbet överraska är inte så positivt för mig som ""kontrollmänniska"" "
2019/05/20 12:58:52 em EET,29,Man,Ett av mina modersmål,4,6,6,6,4,6,6,4,6,6,5,6,6,6,5,6,6,5,6,4,6,6,4,6,6,6,6,6,5,5,6,5,6,6,6,6,4,4,6,1,5,6,3,5,6,6,5,6,5,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,1,5,6,6,6,3,5,6,6,4,6,6,6,6,5,5,4,6,5,6,4,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,6,6,5,6,6,4,6,4,6,4,6,5,6,6,3,4,5,5,6,3,6,5,6,6,6,5,6,6,6,6,6,3,6,6,5,6,6,6,6,4,5,6,6,6,6,5,4,,6,1,3,4,2,4,1,1,1,4,2,5,7,1,6,3,1,1,1,4,1,1,1,1,1,4,3,1,2,7,1,1,2,5,7,2,4,3,1,1,6,2,1,1,3,1,2,1,1,7,4,1,1,3,1,6,1,5,3,6,4,1,1,7,3,1,7,1,1,1,1,1,1,1,1,1,6,3,1,1,1,3,5,3,1,1,1,1,6,1,3,1,3,1,1,1,1,1,2,1,1,2,1,5,3,1,1,1,2,3,3,1,6,3,4,1,1,4,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,4,1,3,1,1,1,2,7,1,1,5,1,1,1,1,4,2,6,1,1,1,5,2,2,2,1,,4,3,6,1,2,2,2,3,7,2,2,1,1,4,2,2,2,4,6,1,4,3,3,4,3,2,3,4,2,1,4,5,5,2,1,7,7,3,1,4,2,2,5,4,1,2,4,2,2,1,4,3,4,6,4,6,4,7,2,1,7,3,4,2,2,4,1,3,4,4,4,1,3,4,4,4,1,2,3,6,4,3,2,2,2,4,7,3,6,4,5,6,7,2,4,6,4,2,5,5,5,4,4,1,5,4,2,3,6,2,6,5,1,1,1,4,3,6,2,4,3,1,3,5,3,2,2,3,3,3,1,4,4,2,4,4,5,3,5,4,3,2,4,1,3,1,5,7,4,3,2,1,1,3,4,1,3,1,6,4,
2019/05/20 1:33:52 em EET,29,Man,Ett av mina modersmål,7,6,7,3,1,6,6,3,7,7,7,7,7,7,4,7,6,7,7,3,7,7,7,7,5,7,5,5,2,7,6,6,5,7,7,7,7,7,7,2,7,1,5,5,7,2,7,5,3,7,7,7,7,7,5,7,5,7,3,7,7,7,5,7,6,6,5,3,6,7,7,6,1,7,7,7,1,7,7,7,7,7,7,3,4,7,7,1,7,7,7,4,7,6,6,1,7,7,7,7,7,7,6,7,5,7,7,5,1,7,7,6,7,7,7,5,7,6,7,7,4,7,3,7,3,7,7,2,1,7,2,7,4,6,7,3,7,7,2,7,7,7,6,7,5,3,7,7,7,7,4,7,2,2,2,7,7,7,7,2,,2,2,2,2,1,2,2,1,1,2,1,1,3,1,1,2,1,2,3,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,3,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,3,1,1,2,1,1,1,1,1,3,1,1,2,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,1,3,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,3,2,1,1,1,2,1,3,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,3,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,,5,5,5,3,3,4,3,5,4,3,4,2,1,5,3,3,4,4,5,3,5,4,4,4,3,4,3,4,3,2,4,5,4,4,3,5,5,4,3,3,4,3,5,4,3,5,3,3,3,3,4,4,4,5,4,5,4,5,3,3,6,5,4,3,4,4,2,4,4,3,4,2,3,4,4,4,3,4,3,4,4,4,4,3,3,4,5,4,6,4,4,5,5,3,4,4,4,4,4,5,4,4,4,3,5,4,4,5,5,3,5,4,4,3,2,4,4,6,4,4,3,3,4,5,3,4,3,4,3,4,3,4,5,4,4,5,6,4,4,4,3,6,4,3,3,4,5,6,4,5,4,3,3,3,5,3,4,3,4,3,
2019/05/10 9:20:27 fm EET,30,Kvinna,Mitt enda modersmål,6,5,5,5,6,6,6,2,6,4,6,6,6,4,4,6,6,4,6,3,5,6,5,6,2,4,5,5,5,4,5,5,3,6,5,6,6,3,6,6,4,4,6,5,5,2,6,6,5,3,4,6,5,3,6,5,3,6,5,3,3,3,5,3,5,5,4,5,4,4,3,5,3,6,6,6,3,6,5,4,5,6,3,5,3,3,5,5,6,5,6,5,4,5,5,4,6,4,4,3,2,4,5,6,4,5,5,2,4,6,6,4,3,6,4,3,5,3,5,6,3,5,4,4,3,5,3,4,3,5,3,3,4,5,6,3,3,6,3,4,6,6,6,3,5,5,6,3,2,6,5,5,2,4,4,6,3,6,3,5,,2,3,5,3,5,4,2,1,3,4,2,5,6,1,3,5,3,1,2,5,2,1,2,2,2,2,2,1,2,5,2,3,1,4,5,5,2,3,3,1,2,2,1,1,5,1,4,1,1,6,2,2,1,3,4,5,1,2,1,5,4,5,2,5,3,2,5,1,1,4,2,4,2,1,2,4,2,2,2,1,3,1,5,1,2,1,5,1,5,1,2,2,6,2,2,1,1,2,3,2,3,2,2,4,2,1,3,1,1,4,2,1,5,4,5,2,2,2,2,3,1,3,1,1,3,2,5,2,1,2,3,4,1,1,2,1,3,4,1,4,2,1,2,6,1,1,2,4,4,3,2,4,1,2,4,3,2,1,4,1,,4,4,6,2,2,2,2,4,5,5,4,2,1,5,2,1,4,4,5,1,6,5,5,3,4,4,5,4,4,1,4,6,4,2,2,7,6,2,1,4,3,5,5,4,3,4,3,3,3,2,5,5,6,6,6,6,6,6,3,2,7,6,5,2,3,4,2,5,4,2,6,1,4,4,4,6,2,3,3,4,6,3,4,3,3,4,6,3,6,6,4,6,4,3,6,5,6,4,5,6,4,5,4,2,4,3,4,5,5,2,5,4,2,1,2,5,5,5,2,5,4,4,3,5,3,4,4,2,3,5,2,4,4,3,5,6,6,3,4,6,3,5,5,1,4,2,5,6,6,3,3,4,5,2,5,2,4,3,7,4,
2019/05/20 1:25:30 em EET,30,Kvinna,Mitt enda modersmål,7,7,7,7,6,7,7,6,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,5,7,2,7,7,7,7,7,7,7,7,7,5,5,7,3,7,7,7,7,7,3,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,5,7,7,7,7,2,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,5,7,7,7,7,7,5,7,7,7,7,3,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,6,,1,2,1,3,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,4,5,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,5,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,,3,4,4,4,3,3,4,5,5,3,4,2,1,4,4,6,3,5,4,4,6,4,4,4,4,4,4,4,4,4,3,6,5,4,3,5,6,5,4,4,4,5,5,4,3,4,4,3,4,3,4,4,4,4,4,5,5,4,3,3,5,4,5,3,3,4,3,5,4,3,4,3,4,5,2,5,3,3,4,4,4,4,3,4,3,4,7,3,5,4,4,6,5,7,4,4,4,4,4,4,4,4,4,2,4,5,4,5,6,3,4,5,3,1,3,5,4,7,4,4,5,4,4,4,5,4,4,3,5,3,5,4,4,4,4,6,6,4,5,4,4,5,4,3,5,3,6,4,4,4,3,4,2,3,5,3,4,4,6,3,
2019/05/20 3:06:41 em EET,30,Man,Mitt enda modersmål,7,2,4,4,4,1,4,5,1,4,1,5,1,3,3,5,3,2,5,1,7,1,2,3,2,1,4,2,3,7,3,1,3,3,7,7,1,2,3,1,3,1,1,1,7,3,3,1,1,7,2,1,1,4,5,3,1,7,1,2,5,2,6,4,1,3,5,3,1,3,7,1,1,3,3,7,6,1,2,1,5,5,4,4,4,2,3,2,7,3,3,1,6,5,3,1,1,4,5,1,5,4,3,4,5,2,1,3,1,5,7,1,1,2,1,3,3,7,3,1,1,2,5,1,1,3,1,2,3,1,1,5,1,1,3,1,5,1,1,3,1,5,1,5,1,3,1,4,1,3,4,5,2,1,5,3,4,1,6,2,,5,4,5,1,1,5,4,1,4,6,4,6,3,1,3,5,1,7,4,3,1,5,1,3,1,1,7,1,3,1,4,1,1,3,7,7,1,6,4,1,1,1,1,1,5,1,1,2,1,5,4,5,1,4,3,5,1,7,1,4,5,7,3,7,1,1,7,1,1,5,3,1,4,7,7,6,1,1,5,2,4,1,5,1,1,1,1,1,6,5,1,1,4,5,3,1,1,4,6,3,6,4,2,3,1,1,2,1,1,7,3,1,5,3,1,1,3,1,1,1,6,6,1,2,1,1,7,1,2,1,1,3,1,1,2,1,5,5,1,1,4,1,4,5,1,1,5,7,4,1,3,1,1,1,7,1,5,4,7,1,,5,5,6,2,3,3,1,3,6,2,3,1,1,4,2,3,2,7,1,3,4,5,4,4,3,3,3,4,4,1,4,6,4,3,3,7,6,3,2,2,3,3,4,4,2,4,3,2,3,1,5,7,4,3,5,5,4,7,3,3,6,5,3,2,2,4,1,5,4,1,5,3,3,7,1,5,2,5,5,5,4,4,6,2,3,4,5,3,7,5,6,4,6,4,5,7,4,4,4,5,6,4,4,2,4,4,4,4,4,1,3,4,1,2,2,4,4,4,4,4,2,4,5,3,3,4,5,3,3,4,3,4,4,4,4,4,6,3,4,5,3,4,5,1,1,2,7,7,5,3,3,1,2,3,7,3,3,2,7,3,
2019/05/20 4:03:47 em EET,30,Man,Mitt enda modersmål,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,5,,1,3,1,5,4,4,3,2,1,1,4,5,7,1,5,4,5,3,1,5,1,1,1,3,3,1,4,1,4,4,1,2,1,3,3,3,3,5,4,5,3,3,2,3,4,3,1,3,4,4,1,4,1,1,3,1,1,1,4,5,1,1,3,4,2,4,4,1,1,3,1,5,3,4,5,1,5,1,3,1,1,1,3,3,4,3,3,1,3,1,1,3,1,4,1,1,1,1,1,1,1,1,2,4,1,3,4,3,1,5,1,4,5,6,5,1,3,1,1,1,3,4,3,4,3,1,1,3,3,3,5,3,3,4,1,1,3,3,2,1,5,1,1,5,3,3,2,1,1,3,3,4,4,3,3,4,1,4,1,3,,5,4,6,1,1,2,1,5,4,4,4,1,1,4,2,1,1,4,4,1,6,5,4,3,3,3,2,4,2,1,4,7,4,3,3,7,5,1,2,2,4,4,4,3,1,4,4,3,3,2,4,6,4,6,4,7,5,5,2,2,7,7,3,4,1,4,1,5,3,4,5,1,4,4,2,4,1,2,3,4,4,4,4,2,2,4,6,4,6,5,5,6,7,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,7,1,6,5,1,1,1,5,4,6,4,4,2,4,4,4,5,4,4,2,5,4,1,4,3,2,6,5,5,4,5,4,2,5,4,1,3,3,5,7,4,4,3,1,1,2,4,2,4,3,6,2,
2019/05/08 1:23:12 em EET,33,Man,Mitt enda modersmål,7,7,7,7,7,6,7,1,4,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,7,6,7,7,1,4,7,5,7,7,1,6,5,7,7,2,7,7,6,7,7,2,7,7,7,7,7,7,2,7,7,7,6,5,7,7,7,3,7,7,7,7,7,7,6,7,7,7,7,3,7,7,5,7,2,7,1,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,1,7,7,4,7,7,3,5,7,1,7,4,7,7,7,3,7,1,6,7,6,6,7,7,6,7,7,1,1,7,7,7,7,7,7,7,2,1,5,5,7,7,4,6,7,7,7,2,7,,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,,5,4,6,3,3,3,3,5,4,3,3,4,1,4,3,2,3,4,5,3,5,5,5,3,3,4,2,3,4,3,3,6,5,3,2,5,7,3,3,3,4,5,5,4,3,5,3,2,3,1,5,4,4,5,4,4,3,5,3,2,7,6,4,3,3,4,2,5,4,2,5,1,3,4,4,5,3,3,3,5,4,4,5,5,4,4,6,3,6,4,4,6,7,3,4,4,4,4,5,6,5,4,4,3,5,4,4,5,5,3,5,5,2,2,2,5,4,5,4,4,3,3,4,5,2,4,2,2,5,4,3,5,4,3,4,4,6,5,5,4,4,5,6,2,5,3,5,6,5,3,3,5,4,3,5,3,4,4,6,3,
