"verb","verb_category","SUBTL_US_fpmw","SUBTL_US_zipf","SUBTL_UK_zipf","nb_of_phonemes"
"bash","arm",3.27,3.52,3.71,3
"bind","arm",3.35,3.53,3.48,4
"bounce","leg",9.84,3.99,4.3,4
"braid","arm",0.94,2.98,2.59,4
"brush","arm",14.16,4.15,4.29,4
"carve","arm",3.1,3.49,3.57,4
"catch","arm",135.51,5.13,5.04,3
"chop","arm",13.61,4.13,4.3,3
"clap","arm",4.73,3.68,3.92,4
"claw","arm",4.37,3.64,4.22,3
"clean","arm",121.24,5.08,4.97,4
"click","arm",6.41,3.81,4.06,4
"climb","leg",19.75,4.3,4.45,4
"clutch","arm",2.49,3.4,3.54,4
"crawl","leg",12.04,4.08,3.73,4
"creep","leg",11.24,4.05,3.72,4
"crouch","leg",0.75,2.88,3.35,4
"cut","arm",229.76,5.36,5.35,3
"cycle","leg",5.88,3.77,4.21,5
"dance","leg",148.04,5.17,5.12,4
"dash","leg",6.04,3.78,3.99,3
"delve","arm",0.27,2.47,3.25,4
"dig","arm",46.22,4.66,4.44,3
"dunk","arm",2.59,3.42,3.49,4
"file","arm",44.04,4.64,4.08,3
"flee","leg",4.57,3.66,3.48,3
"flit","leg",0.49,2.71,2.58,4
"fold","arm",8.63,3.94,4.04,4
"gesture","arm",7.43,3.87,3.79,5
"glide","leg",2.35,3.37,3.35,4
"grab","arm",70.86,4.85,4.55,4
"grasp","arm",4.57,3.66,3.77,5
"grate","arm",1.02,3.02,3.43,4
"grip","arm",9.69,3.99,4.14,4
"grovel","leg",1.2,3.08,2.63,6
"hack","arm",8.55,3.93,3.5,3
"hike","leg",6.53,3.82,3.6,3
"hobble","leg",0.35,2.57,2.51,5
"hop","leg",19.16,4.28,4.31,3
"hug","arm",19.33,4.29,4.13,3
"inch","leg",12.37,4.09,4.18,3
"jog","leg",2.41,3.39,3.42,3
"jump","leg",69.82,4.84,4.84,4
"kick","leg",73.41,4.87,4.91,3
"kneel","leg",5.33,3.73,3.22,3
"knock","arm",64.69,4.81,4.72,3
"leap","leg",6.67,3.82,4.12,3
"lift","arm",34.14,4.53,4.75,4
"limp","leg",3.67,3.57,3.35,4
"lumber","leg",2.47,3.4,2.67,5
"march","leg",24.02,4.38,4.66,4
"mount","leg",11.71,4.07,4.12,4
"nip","arm",3.24,3.51,3.74,3
"pace","leg",9.57,3.98,4.6,3
"pat","arm",18.29,4.26,4.8,3
"pedal","leg",2.04,3.31,3.63,5
"peel","arm",5.35,3.73,4.03,3
"pinch","arm",6.12,3.79,4.01,4
"plod","leg",0.1,2.07,2.73,4
"pluck","arm",2.31,3.37,3.38,4
"poke","arm",5.84,3.77,3.57,3
"polish","arm",9.67,3.99,4.18,5
"prance","leg",0.76,2.89,3.02,5
"pull","arm",146.45,5.17,4.94,3
"punch","arm",29.69,4.47,4.32,4
"push","arm",70.55,4.85,4.92,3
"ramble","leg",0.61,2.8,2.74,6
"roam","leg",3.39,3.53,3.5,3
"roll","leg",63.27,4.8,4.86,3
"row","arm",26.33,4.42,4.75,2
"rub","arm",15.45,4.19,4.08,3
"run","leg",350.55,5.54,5.49,3
"rush","leg",31.41,4.5,4.44,3
"saunter","leg",0.16,2.25,2.25,5
"scoop","arm",5.67,3.75,4.02,4
"scrape","arm",4.12,3.62,3.61,5
"scratch","arm",18.84,4.28,4.39,5
"scrub","arm",6.24,3.8,3.69,5
"scuff","leg",0.45,2.67,2.47,4
"seize","arm",4.82,3.68,3.77,3
"shake","arm",39.63,4.6,4.58,3
"shamble","leg",0.04,1.77,1.81,6
"sign","arm",133.27,5.12,4.98,3
"skate","leg",5.9,3.77,3.61,4
"skim","arm",0.84,2.94,2.98,4
"skip","leg",21.1,4.32,4.1,4
"slap","arm",12.47,4.1,4,4
"slide","leg",17.82,4.25,4.17,4
"slip","leg",25.88,4.41,4.33,4
"slither","leg",0.22,2.37,2.78,5
"snatch","arm",3.9,3.59,3.46,4
"sneak","leg",16.88,4.23,3.91,4
"sprint","leg",0.71,2.86,3.9,6
"squat","leg",3.14,3.5,3.34,5
"squeeze","arm",15.08,4.18,4.36,5
"stab","arm",8.76,3.94,3.87,4
"stagger","leg",0.59,2.78,2.84,5
"stamp","leg",5.92,3.77,4.2,5
"stand","leg",226.2,5.35,5.25,5
"step","leg",118.67,5.07,5.09,4
"stir","arm",5.9,3.77,4.18,3
"stomp","leg",2.67,3.43,3.5,5
"straddle","leg",0.51,2.72,2.8,7
"stray","leg",5.33,3.73,3.54,4
"stride","leg",2.1,3.33,3.86,5
"stroll","leg",4.14,3.62,3.6,5
"strut","leg",1.57,3.2,3.19,5
"stumble","leg",1.96,3.3,3.38,7
"sway","leg",2.53,3.41,3.56,3
"switch","arm",28.12,4.45,4.37,4
"throw","arm",128.82,5.11,4.88,3
"tiptoe","leg",0.88,2.95,3.11,5
"toddle","leg",0.33,2.55,2.34,5
"toss","arm",12.39,4.09,3.88,3
"totter","leg",0.04,1.77,2.29,4
"traipse","leg",0.27,2.47,2.16,5
"tramp","leg",8.29,3.92,3.51,5
"trample","leg",0.8,2.92,2.79,7
"tread","leg",2.27,3.36,3.6,4
"trek","leg",4.49,3.65,3.72,4
"trip","leg",82.39,4.92,4.75,4
"trot","leg",1.8,3.26,3.6,4
"trudge","leg",0.24,2.41,2.48,4
"tug","arm",2.75,3.44,3.51,3
"twine","arm",0.57,2.77,2.7,4
"waddle","leg",0.45,2.67,2.98,5
"wade","leg",16.47,4.22,3.63,3
"walk","leg",215.86,5.33,5.19,3
"wander","leg",5.86,3.77,3.87,5
"wash","arm",40.73,4.61,4.54,3
"whip","arm",13.16,4.12,4.08,3
"wipe","arm",16.88,4.23,4,3
"wobble","leg",0.59,2.78,3.7,5
"wrap","arm",17.8,4.25,4.1,3
