Word,bigram_logfreq
åla,5.985943463609349
badda,6.053814095653043
banka,6.261646127331545
binda,6.215149785416372
borsta,6.254801495013514
bulta,5.830532081634043
cykla,5.35992089339745
dansa,6.3500340028628415
daska,6.307793638618395
dra,6.26067977161556
dunka,6.149812396618064
fånga,6.085450017922053
fatta,6.45973560686344
fila,6.21113294320846
flacka,6.044797319512863
flanera,6.401208355238792
fläta,5.930901312757504
fly,5.508148144935995
fösa,5.924031567305728
gå,5.763107395882594
gestikulera,6.264242265799156
glida,5.952504466018393
gnida,5.88183621880636
gnugga,5.5620195170420805
grabba,5.837339331687411
gräva,5.857005582575201
greppa,5.848249370628877
gripa,5.749671746627796
guppa,5.704968725938508
hacka,6.21325321262521
haffa,5.814840313411575
halka,6.2044886499293765
halta,6.309536757872828
håva,5.4475340465905235
hissa,5.993096918272107
hiva,5.923382162243089
höja,5.760557151522783
hoppa,5.904371444650069
ila,6.42521850198681
irra,5.916894510672888
jogga,5.742482528767633
karva,6.294731025950172
kasta,6.424958431978626
kela,6.288600802690351
kila,6.163634179903605
klå,5.696276795551855
klämma,5.873253880201349
klappa,5.959830294817857
klättra,6.146030008470776
klia,5.828724079608064
klicka,6.1278369701660145
klippa,5.826880917852502
kliva,6.0717033635738025
klösa,5.6160872573405065
knäa,4.491563196821733
knacka,6.033736885796139
knalla,6.25279824611476
knata,6.26852292623276
knipa,5.646452980547213
knivhugga,5.459967645259864
knoga,5.778814498595537
knycka,5.825906735856503
koppla,5.935912961797792
krama,6.135984966363209
kratsa,6.166082417942338
kravla,5.9653404980191524
krypa,5.450132014754495
linda,6.421163445491935
linka,6.337838163766341
löpa,5.4428913547244004
lunka,5.947454070550002
lyfta,5.532466712976333
marschera,6.266875370480387
nappa,6.010501930808818
norpa,5.708179054959983
nypa,5.342337365415993
ösa,5.676517774370175
paddla,5.904860626852032
peta,6.427189118157851
pilla,6.196558050602426
pinna,6.17950080586129
piska,6.108009231544974
plocka,6.051770553855599
polera,6.25312791882954
pressa,6.076072282288816
promenera,6.442938928023285
putsa,5.703076593738772
putta,6.052906963730867
rafsa,5.572331518190141
ragla,6.260038023327623
raka,6.352815488377245
ränna,6.210239781179837
raspa,6.067505149277089
repa,5.8188884405966785
rista,6.377369428997344
riva,6.125411608375861
ro,6.080046800435311
röra,6.216290048367592
rota,6.172790174313366
rulla,6.16869519507999
rulta,5.991152039929332
rusa,5.867301466266095
rycka,5.945222112233959
signera,6.252193432131571
skaka,6.361866139090492
skala,6.431477002449254
skära,6.347669361951468
skejta,5.854510844302654
skjuta,5.916382714795612
skopa,6.046517543601129
skrapa,6.072003884902272
skrida,6.093864148787825
skrubba,5.72989494305835
skumma,6.008024485612508
skura,6.201445742459159
skutta,6.333556993544344
skyffla,5.587470552653934
skynda,5.869086435290391
slå,5.702365007693011
släntra,6.179808130380312
sleva,6.053606430751662
slinta,6.395084240583104
slipa,5.785430190268949
slita,6.2360918815690844
slunga,5.9874532587009845
smälla,5.9778572078012155
smeka,5.978561787670313
smyga,5.5135784557997285
snärta,6.124176504693338
snava,6.093653001417218
sno,5.68837804155762
snubbla,5.6575174878519565
sparka,6.164271076257728
springa,6.172687209366748
sprinta,6.252123632124289
stå,5.955601514025405
städa,5.938788096387497
stampa,6.079644639997437
stappla,6.113597663018075
stega,6.238140610807243
stiga,6.424077933791223
stöta,5.894295164644775
stövla,5.795135069307814
ströva,6.063466853916934
strutta,6.290773434936501
studsa,5.797020929721433
svabba,5.750395250223486
svaja,5.815728763835532
svassa,6.03639643505147
svepa,5.7003246573249235
ta,6.578597153558485
tåga,5.789212965659529
tassa,6.1992575800862415
torka,6.152986398209512
träda,5.880915475087299
trampa,6.00136972707747
traska,6.353125306964936
trippa,5.868934182351703
trumma,5.912961514069932
trycka,5.980346680119894
tvätta,6.11854269827914
tvinna,6.271804863422028
vackla,6.083245025810029
vada,6.351533908448581
vandra,6.422828384903248
vanka,6.366105590650111
vika,6.264135027016203
vingla,6.280281574738356
vira,6.211803140169213
