"pptID","Age","Sex","English_status","AoA","English_prof","Swe_only_L1","lang_order"
800,36,"female","L2",10,5,"yes","English-Swedish"
801,28,"female","L2",9,3,"yes","English-Swedish"
802,27,"male","L2",9,5,"yes","Swedish-English"
803,31,"female","L2",9,4,"yes","Swedish-English"
804,31,"female","L2",7,6,"yes","English-Swedish"
805,31,"male","L2",9,5,"yes","English-Swedish"
806,57,"female","L2",10,1,"yes","Swedish-English"
807,27,"female","L2",8,5,"yes","Swedish-English"
808,56,"male","L3",9,5,"yes","English-Swedish"
809,46,"male","L2",10,4,"yes","English-Swedish"
810,34,"male","L3",7,5,"yes","Swedish-English"
811,44,"female","L2",9,5,"yes","Swedish-English"
