var,category,M,SD,SE
arm_leg_bias,arm,5.251602564102564,0.34398440101470373,0.04770205368531852
arm_leg_bias,leg,4.6618589743589745,0.8494220548210154,0.11779364512181364
arousal,arm,2.49,0.6367010564575165,0.08829455023844877
arousal,leg,2.3230769230769233,0.6416569802015151,0.0889818132067671
imageability,arm,5.537692307692308,0.44255326647213705,0.061371095938052636
imageability,leg,5.325384615384615,0.7519711653276094,0.1042796382407348
valence,arm,3.6723076923076925,0.7243891690072143,0.10045470354793311
valence,leg,3.7884615384615383,0.8174311378693443,0.11335730314418441
nletters,arm,5.134615384615385,0.9503115310429432,0.13178449818615462
nletters,leg,5.365384615384615,1.3140096718814098,0.18222035570861675
nphon,arm,4.6923076923076925,0.728642614957309,0.10104455037372084
nphon,leg,5.019230769230769,1.1629978944796515,0.16127879006934775
word_logfreq,arm,2.556409797492501,0.6572975058998547,0.09115076387525078
word_logfreq,leg,2.280545390734153,0.9553090864085895,0.13247753442164725
lemma_logfreq,arm,2.7911370872049024,0.638443412928525,0.08853617160753946
lemma_logfreq,leg,2.618480244569097,0.9045314232086079,0.12543593948642515
bigram_logfreq,arm,6.015562069512556,0.26115259712570177,0.036215349217588746
bigram_logfreq,leg,6.0343643636013375,0.3481136434253086,0.04827467657917453
trigram_logfreq,arm,4.817302615994027,0.48264179551629904,0.066930374669847
trigram_logfreq,leg,4.842090642222796,0.4772629208283086,0.0661844589586222
pos_ambig,arm,0.19683616406806992,0.17165317760536639,0.02380401282509521
pos_ambig,leg,0.1605894790054678,0.12672920733056098,0.017574179043432482
