"verb","category"
"banka","arm"
"borsta","arm"
"bulta","arm"
"daska","arm"
"dunka","arm"
"fånga","arm"
"fila","arm"
"fläta","arm"
"gestikulera","arm"
"gnugga","arm"
"grabba","arm"
"gräva","arm"
"greppa","arm"
"gripa","arm"
"hacka","arm"
"hissa","arm"
"hiva","arm"
"karva","arm"
"kasta","arm"
"klappa","arm"
"klicka","arm"
"klippa","arm"
"klösa","arm"
"knacka","arm"
"knivhugga","arm"
"knycka","arm"
"krama","arm"
"linda","arm"
"norpa","arm"
"nypa","arm"
"ösa","arm"
"peta","arm"
"pilla","arm"
"piska","arm"
"plocka","arm"
"polera","arm"
"putsa","arm"
"putta","arm"
"rafsa","arm"
"repa","arm"
"rista","arm"
"rota","arm"
"rycka","arm"
"signera","arm"
"skala","arm"
"skära","arm"
"skrubba","arm"
"skura","arm"
"skyffla","arm"
"slå","arm"
"sleva","arm"
"slipa","arm"
"slunga","arm"
"smeka","arm"
"snärta","arm"
"sno","arm"
"svabba","arm"
"ta","arm"
"torka","arm"
"trumma","arm"
"tvätta","arm"
"tvinna","arm"
"vika","arm"
"vira","arm"
"cykla","leg"
"flanera","leg"
"fly","leg"
"gå","leg"
"glida","leg"
"halka","leg"
"halta","leg"
"hoppa","leg"
"ila","leg"
"jogga","leg"
"kila","leg"
"kliva","leg"
"knäa","leg"
"knalla","leg"
"knata","leg"
"linka","leg"
"löpa","leg"
"lunka","leg"
"marschera","leg"
"pinna","leg"
"promenera","leg"
"ragla","leg"
"ränna","leg"
"rusa","leg"
"skejta","leg"
"skrida","leg"
"skutta","leg"
"skynda","leg"
"släntra","leg"
"smyga","leg"
"snava","leg"
"snubbla","leg"
"sparka","leg"
"springa","leg"
"sprinta","leg"
"stå","leg"
"stampa","leg"
"stappla","leg"
"stega","leg"
"stiga","leg"
"stövla","leg"
"ströva","leg"
"strutta","leg"
"svaja","leg"
"svassa","leg"
"tåga","leg"
"tassa","leg"
"träda","leg"
"trampa","leg"
"traska","leg"
"trippa","leg"
"vackla","leg"
"vada","leg"
"vandra","leg"
"vanka","leg"
"vingla","leg"
