verb,category,phonemic_script,nb_phonemes
badda,arm,/bạd:a/,4
banka,arm,/bạŋ:ka/,5
borsta,arm,/bọs:ta/,5
bulta,arm,/bʉ̣l:ta/,5
daska,arm,/das:ka/,5
dunka,arm,/dʉ̣ŋ:ka/,5
fånga,arm,/fọŋ:a/,4
fila,arm,/fị:la/,4
fläta,arm,/flε̣:ta/,5
gestikulera,arm,/ʃestikʉlẹ:ra/,11
gnugga,arm,/gnʉ̣g:a/,5
grabba,arm,/grạb:a/,5
gräva,arm,/grε̣:va/,5
greppa,arm,/grẹp:a/,5
gripa,arm,/grị:pa/,5
hacka,arm,/hạk:a/,4
hissa,arm,/hịs:a/,4
hiva,arm,/hị:va/,4
karva,arm,/kạr:va/,5
kasta,arm,/kạs:ta/,5
klappa,arm,/klạp:a/,5
klicka,arm,/klịk:a/,5
klippa,arm,/klịp:a/,5
klösa,arm,/klø̣:sa/,5
knacka,arm,/knạk:a/,5
knivhugga,arm,/kni:vhʉ̣g:a/,8
knycka,arm,/knỵk:a/,5
krama,arm,/krạ:ma/,5
linda,arm,/lịn:da/,5
norpa,arm,/nọr:pa/,5
nypa,arm,/nỵ:pa/,4
ösa,arm,/ø:sa/,3
peta,arm,/pẹ:ta/,4
pilla,arm,/pịl:a/,4
piska,arm,/pịs:ka/,5
plocka,arm,/plọk:a/,5
polera,arm,/polẹ:ra/,6
putsa,arm,/pʉ̣t:sa/,5
putta,arm,/pʉ̣t:a/,4
rafsa,arm,/rạf:sa/,5
repa,arm,/rẹ:pa/,4
rista,arm,/rịs:ta/,5
rota,arm,/rụ:ta/,4
rycka,arm,/rỵk:a/,4
signera,arm,/siŋnẹ:ra/,7
skala,arm,/skạ:la/,5
skära,arm,/ʃε̣:ra/,4
skrubba,arm,/skrʉ̣b:a/,6
skura,arm,/skʉ̣:ra/,5
skyffla,arm,/ʃỵf:la/,5
slå,arm,/slo:/,3
sleva,arm,/sle:va/,5
slipa,arm,/slị:pa/,5
slunga,arm,/slʉ̣ŋ:a/,5
smeka,arm,/smẹ:ka/,5
snärta,arm,/snεt:a/,5
sno,arm,/snu:/,3
svabba,arm,/svạb:a/,5
ta,arm,/ta:/,2
torka,arm,/tọr:ka/,5
trumma,arm,/trʉ̣m:a/,5
tvätta,arm,/tvε̣t:a/,5
tvinna,arm,/tvịn:a/,5
vika,arm,/vị:ka/,4
vira,arm,/vị:ra/,4
cykla,leg,/sỵk:la/,5
flanera,leg,/flanẹ:ra/,7
fly,leg,/fly:/,3
gå,leg,/go:/,2
glida,leg,/glị:da/,5
halka,leg,/hạl:ka/,5
halta,leg,/hạl:ta/,5
hoppa,leg,/họp:a/,4
ila,leg,/ị:la/,3
jogga,leg,/jọg:a/,4
kila,leg,/çị:la/,4
kliva,leg,/klị:va/,5
knäa,leg,/knε̣:a/,4
knalla,leg,/knạl:a/,5
knata,leg,/knạ:ta/,5
linka,leg,/lịŋ:ka/,5
löpa,leg,/lø̣:pa/,4
lunka,leg,/lʉ̣ŋ:ka/,5
marschera,leg,/marʃẹ:ra/,7
pinna,leg,/pịn:a/,4
promenera,leg,/promenẹ:ra/,9
ragla,leg,/rạ:gla/,5
ränna,leg,/rε̣n:a/,4
rusa,leg,/rʉ̣:sa/,4
skejta,leg,/skẹj:ta/,6
skrida,leg,/skrị:da/,6
skutta,leg,/skʉ̣t:a/,5
skynda,leg,/ʃỵn:da/,5
släntra,leg,/slε̣n:tra/,7
smyga,leg,/smỵ:ga/,5
snava,leg,/snạ:va/,5
snubbla,leg,/snʉ̣b:la/,6
sparka,leg,/spạr:ka/,6
springa,leg,/sprịŋ:a/,6
stå,leg,/sto:/,3
stampa,leg,/stạm:pa/,6
stappla,leg,/stạp:la/,6
stega,leg,/stẹ:ga/,5
stiga,leg,/stị:ga/,5
stövla,leg,/stø̣v:la/,6
ströva,leg,/strø̣:va/,6
strutta,leg,/strʉ̣t:a/,6
svaja,leg,/svạj:a/,5
svassa,leg,/svas:a/,5
tåga,leg,/tọ:ga/,4
tassa,leg,/tạs:a/,4
träda,leg,/trε̣:da/,5
trampa,leg,/trạm:pa/,6
traska,leg,/trạs:ka/,6
trippa,leg,/trịp:a/,5
vackla,leg,/vạk:la/,5
vada,leg,/vạ:da/,4
vandra,leg,/vạn:dra/,6
vanka,leg,/vạŋ:ka/,5
vingla,leg,/vịŋ:la/,5
