"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,1,"SCRUB","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,1,"SCRUB","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,2,"POKE","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,2,"POKE","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,3,"TRAMPLE","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,3,"TRAMPLE","arm",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,4,"WALK","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,4,"WALK","arm",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,5,"BOUNCE","leg",4
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,5,"BOUNCE","arm",4
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,6,"PACE","leg",6
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,6,"PACE","arm",2
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,7,"WADE","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,7,"WADE","arm",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,8,"GRIP","leg",2
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,8,"GRIP","arm",6
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,9,"PULL","leg",2
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,9,"PULL","arm",6
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,10,"SPRINT","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,10,"SPRINT","arm",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,11,"PEEL","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,11,"PEEL","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,12,"SLIP","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,12,"SLIP","arm",2
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,13,"SLAP","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,13,"SLAP","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,14,"CLICK","leg",2
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,14,"CLICK","arm",6
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,15,"SQUAT","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,15,"SQUAT","arm",2
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,16,"STRUT","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,16,"STRUT","arm",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,17,"SNATCH","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,17,"SNATCH","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,18,"KNOCK","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,18,"KNOCK","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,19,"FLEE","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,19,"FLEE","arm",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,20,"WHIP","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,20,"WHIP","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,21,"CATCH","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,21,"CATCH","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,22,"STUMBLE","leg",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,22,"STUMBLE","arm",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,23,"FOLD","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,23,"FOLD","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,24,"SIGN","leg",1
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,24,"SIGN","arm",7
"verb_norming_L1-eng_no-translation","2018_Oct_25_1333",703,25,"SKIP","leg",7
