expName	date	session	participant	block	Movement	trial	WordType	trialRT	word1	word2	word3	word4	response	comment	coder
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	1	arm	5.600847038	rub	pat	poke	clean	"rub,pat,poke,clean"		OL
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	2	leg	10.7339353	trudge	glide	wander	skate	"trudge,glide,wander,skate"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	3	arm	15.04355304	wipe	pull	snatch	scoop	"wipe,pull,snatch,scoop"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	4	arm	8.58595611	slap	grip	hug	punch	"slap,grip,punch,hug"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	5	leg	23.59759133	sneak	stroll	hop	step	"sneak,stroll,hop,r=punch"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	6	arm	7.916575166	grab	scrub	dig	click	"grab,scrub,dig,click"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	7	leg	8.654282584	walk	slip	roam	hike	"walk,slip,roam,hike"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	8	arm	15.86613535	stir	polish	chop	peel	"stir,polish,chop,r=clean"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	9	leg	12.22673974	pace	trot	stride	jog	"pace,trot,r=slide,jog"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	10	leg	5.652968841	trip	limp	wobble	march	"trip,limp,wobble,march"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	11	leg	14.004509	squat	wade	skip	strut	"r=trot,skip,wade,r=jump"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	12	arm	5.032051371	fold	hack	sign	knock	"fold,hack,sign,knock"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	13	arm	7.849450618	pluck	grasp	push	whip	"pluck,grasp,push,whip"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	14	arm	6.407278411	scratch	throw	carve	pinch	"scratch,throw,carve,pinch"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	15	leg	9.878833807	tiptoe	stumble	flee	kick	"tiptoe,stumble,flee,kick"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	16	leg	6.020115475	leap	stray	rush	jump	"leap,stray,rush,jump"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	17	leg	10.56659135	kneel	trample	sprint	stomp	"kneel,trample,sprint,r=jump"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	18	arm	8.369176317	gesture	nip	cut	stab	"gesture,nip,cut,stab"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	19	leg	9.342162211	bounce	run	stand	pedal	"bounce,run,stand,pedal"		
sheb_replication_1810	2018_Sep_28_1240	1	990	1	hands	20	arm	12.49492895	wash	clap	brush	catch	"wash,brush,r=clean,clap"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	1	leg	18.78401596	trot	skip	wobble	strut	"trot,skip,wobble,strut"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	2	leg	8.066484073	sprint	kick	slip	hike	"sprint,slip,kick,hike"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	3	leg	15.48034661	stomp	kneel	glide	stand	"stomp,kneel,o,glide"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	4	arm	8.319175072	slap	sign	grab	knock	"slap,sign,grab,knock"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	5	arm	8.85554678	brush	punch	wash	carve	"brush,punch,wash,carve"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	6	leg	19.72336016	trip	tiptoe	trudge	pedal	"trip,tiptoe,o,trudge"	long_gap	
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	7	leg	12.64590822	pace	jog	jump	wade	"pace,jump,jog,wade"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	8	arm	5.434601098	throw	cut	peel	hug	"throw,cut,peel,hug"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	9	arm	7.883036994	dig	poke	grasp	rub	"dig,poke,grasp,rub"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	10	leg	16.57040495	bounce	walk	run	stroll	"bounce,walk,o,stroll"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	11	arm	18.66662386	scratch	stab	push	clap	"o,stab,r=cut,push"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	12	arm	6.642140836	whip	grip	pinch	polish	"whip,grip,pinch,polish"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	13	leg	10.53299272	sneak	roam	stride	stray	"sneak,roam,stride,stray"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	14	leg	6.809755043	flee	hop	step	squat	"flee,hop,step,squat"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	15	arm	14.87656745	catch	gesture	scrub	chop	"catch,gesture,scrub,o"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	16	arm	12.26010288	wipe	snatch	hack	fold	"wipe,snatch,r=stack,fold"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	17	leg	12.88082675	march	leap	skate	wander	"march,r=sneak,skate,wander"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	18	arm	7.111664968	pluck	clean	scoop	click	"pluck,clean,scoop,r=kick"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	19	leg	11.15151503	limp	rush	trample	stumble	"limp,rush,trample,stumble"		
sheb_replication_1810	2018_Sep_28_1240	1	990	2	feet	20	arm	6.691867478	nip	pat	pull	stir	"nip,pat,pull,stir"		
