expName;date;session;participant;block;Movement;trial;WordType;trialRT;word1;word2;word3;word4;response;comment;coder
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;1;arm;5.60084703807;rub;pat;poke;clean;rub,pat,poke,clean;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;2;leg;10.7339352975;trudge;glide;wander;skate;trudge,glide,wander,skate;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;3;arm;15.0435530398;wipe;pull;snatch;scoop;wipe,pull,snatch,scoop;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;4;arm;8.58595611033;slap;grip;hug;punch;slap,grip,punch,hug;"""or hug punch""";
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;5;leg;23.5975913268;sneak;stroll;hop;step;sneak,stroll,hop,y=punsch;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;6;arm;7.91657516564;grab;scrub;dig;click;grab,scrub,dig,click;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;7;leg;8.65428258388;walk;slip;roam;hike;walk,slip,roam,hike;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;8;arm;15.8661353483;stir;polish;chop;peel;stir,polish,chop,y=clean;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;9;leg;12.2267397411;pace;trot;stride;jog;pace,trot,slide,jog;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;10;leg;5.65296884118;trip;limp;wobble;march;trip,limp,wobble,march;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;11;leg;14.004509002;squat;wade;skip;strut;trot,skip,wade,y=jump;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;12;arm;5.0320513707;fold;hack;sign;knock;fold,hack,sign,knock;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;13;arm;7.84945061849;pluck;grasp;push;whip;pluck,grasp,push,whip;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;14;arm;6.40727841112;scratch;throw;carve;pinch;scratch,throw,carve,pinch;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;15;leg;9.8788338074;tiptoe;stumble;flee;kick;tiptoe,stumble,flee,kick;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;16;leg;6.02011547502;leap;stray;rush;jump;leap,stray,rush,jump;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;17;leg;10.5665913454;kneel;trample;sprint;stomp;kneel,trample,sprint,y=jump;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;18;arm;8.36917631691;gesture;nip;cut;stab;gesture,nip,cut,stab;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;19;leg;9.34216221107;bounce;run;stand;pedal;bounce,run,stand,pedal;;
sheb_replication_1810;2018_Sep_28_1240;1;990;1;hands;20;arm;12.4949289532;wash;clap;brush;catch;wash,brush,y=clean,clap;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;1;leg;18.7840159593;trot;skip;wobble;strut;trot,skip,wobble,strut;"""or was it jump?""";
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;2;leg;8.0664840729;sprint;kick;slip;hike;sprint,slip,kick,hike;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;3;leg;15.4803466068;stomp;kneel;glide;stand;stomp,kneel,x,glide;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;4;arm;8.31917507231;slap;sign;grab;knock;slap,sign,grab,knock;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;5;arm;8.85554677971;brush;punch;wash;carve;brush,punch,wash,carve;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;6;leg;19.7233601627;trip;tiptoe;trudge;pedal;trip,tiptoe,x,trudge;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;7;leg;12.645908215;pace;jog;jump;wade;pace,jump,jog,wade;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;8;arm;5.43460109833;throw;cut;peel;hug;throw,cut,peel,hug;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;9;arm;7.88303699381;dig;poke;grasp;rub;dig,poke,grasp,rub;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;10;leg;16.5704049528;bounce;walk;run;stroll;bounce,walk,x,stroll;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;11;arm;18.666623863;scratch;stab;push;clap;x,stab,y=clutch,push;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;12;arm;6.64214083559;whip;grip;pinch;polish;whip,grip,pinch,polish;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;13;leg;10.5329927217;sneak;roam;stride;stray;sneak,roam,stride,stray;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;14;leg;6.80975504329;flee;hop;step;squat;flee,hop,step,squat;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;15;arm;14.8765674531;catch;gesture;scrub;chop;catch,gesture,scrub,x;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;16;arm;12.2601028789;wipe;snatch;hack;fold;wipe,snatch,y=stack,fold;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;17;leg;12.8808267452;march;leap;skate;wander;march,y=sneak,skate,wander;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;18;arm;7.11166496835;pluck;clean;scoop;click;pluck,clean,scoop,y=kick;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;19;leg;11.1515150318;limp;rush;trample;stumble;limp,rush,trample,stumble;;
sheb_replication_1810;2018_Sep_28_1240;1;990;2;feet;20;arm;6.69186747833;nip;pat;pull;stir;nip,pat,pull,stir;;
