"Subject","Movement","WordType","nbErrors"
1,"arms","arm-word",23
1,"arms","leg-word",14
1,"legs","arm-word",16
1,"legs","leg-word",24
2,"arms","arm-word",46
2,"arms","leg-word",22
2,"legs","arm-word",28
2,"legs","leg-word",26
3,"arms","arm-word",14
3,"arms","leg-word",12
3,"legs","arm-word",3
3,"legs","leg-word",5
4,"arms","arm-word",30
4,"arms","leg-word",17
4,"legs","arm-word",19
4,"legs","leg-word",32
5,"arms","arm-word",6
5,"arms","leg-word",8
5,"legs","arm-word",8
5,"legs","leg-word",17
6,"arms","arm-word",11
6,"arms","leg-word",7
6,"legs","arm-word",15
6,"legs","leg-word",14
7,"arms","arm-word",10
7,"arms","leg-word",12
7,"legs","arm-word",20
7,"legs","leg-word",26
8,"arms","arm-word",19
8,"arms","leg-word",16
8,"legs","arm-word",29
8,"legs","leg-word",33
9,"arms","arm-word",8
9,"arms","leg-word",9
9,"legs","arm-word",5
9,"legs","leg-word",17
10,"arms","arm-word",26
10,"arms","leg-word",19
10,"legs","arm-word",19
10,"legs","leg-word",28
11,"arms","arm-word",46
11,"arms","leg-word",46
11,"legs","arm-word",38
11,"legs","leg-word",36
12,"arms","arm-word",13
12,"arms","leg-word",7
12,"legs","arm-word",8
12,"legs","leg-word",12
13,"arms","arm-word",21
13,"arms","leg-word",21
13,"legs","arm-word",21
13,"legs","leg-word",21
14,"arms","arm-word",14
14,"arms","leg-word",8
14,"legs","arm-word",8
14,"legs","leg-word",9
15,"arms","arm-word",18
15,"arms","leg-word",17
15,"legs","arm-word",8
15,"legs","leg-word",9
