"Sim","N","effect_size","DateTime","term","estimate","std.error","statistic","p.value","group"
1,15,"orig",2018-10-14 16:39:46,"(Intercept)",2.52605267941733,0.171928451234528,14.6924645762762,7.20449981691723e-49,"fixed"
1,15,"orig",2018-10-14 16:39:46,"Movementlegs",-0.163604439297483,0.116422724762268,-1.40526207088486,0.159943362604494,"fixed"
1,15,"orig",2018-10-14 16:39:46,"WordTypeleg-word",-0.0847818590685657,0.132670543670264,-0.639040564115577,0.522796543635117,"fixed"
1,15,"orig",2018-10-14 16:39:46,"Movementlegs:WordTypeleg-word",0.37364389383609,0.188481893190331,1.98238614601977,0.0474360389606926,"fixed"
1,15,"orig",2018-10-14 16:39:46,"sd_(Intercept).Subject",0.592462527020311,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"sd_Movementlegs.Subject",0.0461970769080562,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"sd_WordTypeleg-word.Subject",0.270125610622255,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"sd_Movementlegs:WordTypeleg-word.Subject",0.393015854491842,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"cor_(Intercept).Movementlegs.Subject",-0.163294960657178,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"cor_(Intercept).WordTypeleg-word.Subject",-0.325345997470394,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"cor_(Intercept).Movementlegs:WordTypeleg-word.Subject",-0.171437969721716,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"cor_Movementlegs.WordTypeleg-word.Subject",-0.87977523448361,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"cor_Movementlegs.Movementlegs:WordTypeleg-word.Subject",0.99996589016784,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:39:46,"cor_WordTypeleg-word.Movementlegs:WordTypeleg-word.Subject",-0.875818769927107,NA,NA,NA,"Subject"
1,15,"orig",2018-10-14 16:41:25,"(Intercept)",2.53741635410259,0.126728436216226,20.0224703299677,3.50885117123109e-89,"fixed"
