type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,stanna,sova,skratta,falla,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,2.94693939947,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
training,titta,smaka,gråta,vakna,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,3.32336270064,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
training,lukta,grubbla,viska,rodna,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,3.20827689953,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
training,ropa,anta,le,prata,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,25.3203853983,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
training,skratta,titta,stanna,rodna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,16.2631627005,b,3.34209389985,return,7.80073470064,space,1.28476399928,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
training,anta,sova,grubbla,falla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,space,3.45451109856,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
training,ropa,prata,lukta,vakna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,2.71781430021,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
training,gråta,le,viska,smaka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,space,2.45256450027,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,grabba,knacka,hissa,rota,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,2.65674719959,b,2.47471540049,,,,,space,1.60028659925,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,nypa,borsta,karva,svabba,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,3.70882569999,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,putta,daska,rycka,ösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,3.66630259901,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,trampa,löpa,rusa,gå,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,space,3.73794709891,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,vandra,flanera,stappla,vanka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,space,3.52592980117,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,pilla,bulta,plocka,klappa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,5,5,5,space,4.15521709993,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,svaja,ila,stå,vada,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,6,6,6,space,3.46939259954,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,skynda,linka,svassa,kila,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,7,7,7,space,2.92434879951,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,rista,kasta,slipa,klicka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,8,8,8,space,5.12635309994,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,springa,tåga,snubbla,glida,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,9,9,9,space,8.68463700078,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,slå,sno,repa,fånga,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,10,10,10,space,4.27729129978,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,torka,fläta,snärta,klösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,11,11,11,space,5.30752710067,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,greppa,knycka,skura,linda,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,12,12,12,space,3.43735630065,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,marschera,ränna,stövla,stega,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,13,13,13,space,2.54550909996,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,strutta,smyga,trippa,lunka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,14,14,14,space,3.81100420095,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,polera,gnugga,dunka,skrubba,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,15,15,15,space,7.63252240047,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,skutta,tassa,promenera,sparka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,16,16,16,space,5.25600210018,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
leg,traska,pinna,kliva,ströva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,17,17,17,space,6.05190419964,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,vira,fila,signera,gripa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,18,18,18,space,6.79143949971,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,skyffla,norpa,tvätta,klippa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,19,19,19,space,6.45249480009,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
arm,banka,piska,hiva,hacka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,20,20,20,space,4.89552050084,,,,,,,,,2020_Oct_23_1024,59.8988545958,sp13_replication_swe,1,989,
