id,block,condition,list
1,1,control,1
1,2,arm,2
1,3,leg,3
2,1,arm,1
2,2,control,2
2,3,leg,3
3,1,leg,2
3,2,arm,3
3,3,control,1
4,1,leg,1
4,2,control,2
4,3,arm,3
5,1,control,3
5,2,leg,1
5,3,arm,2
6,1,arm,1
6,2,leg,2
6,3,control,3
7,1,arm,3
7,2,control,1
7,3,leg,2
8,1,arm,2
8,2,leg,3
8,3,control,1
9,1,control,2
9,2,arm,3
9,3,leg,1
10,1,leg,1
10,2,arm,2
10,3,control,3
11,1,control,2
11,2,leg,3
11,3,arm,1
12,1,leg,2
12,2,control,3
12,3,arm,1
13,1,control,1
13,2,leg,2
13,3,arm,3
14,1,control,3
14,2,arm,1
14,3,leg,2
15,1,arm,3
15,2,leg,1
15,3,control,2
16,1,leg,3
16,2,arm,1
16,3,control,2
17,1,leg,3
17,2,control,1
17,3,arm,2
18,1,arm,2
18,2,control,3
18,3,leg,1
19,1,control,3
19,2,arm,2
19,3,leg,1
20,1,arm,1
20,2,leg,3
20,3,control,2
21,1,leg,2
21,2,control,1
21,3,arm,3
22,1,leg,1
22,2,arm,3
22,3,control,2
23,1,control,1
23,2,leg,3
23,3,arm,2
24,1,arm,1
24,2,control,3
24,3,leg,2
25,1,control,2
25,2,arm,1
25,3,leg,3
26,1,leg,1
26,2,control,3
26,3,arm,2
27,1,arm,3
27,2,leg,2
27,3,control,1
28,1,leg,2
28,2,arm,1
28,3,control,3
29,1,control,2
29,2,leg,1
29,3,arm,3
30,1,arm,2
30,2,control,1
30,3,leg,3
31,1,leg,3
31,2,control,2
31,3,arm,1
32,1,leg,3
32,2,arm,2
32,3,control,1
33,1,control,3
33,2,leg,2
33,3,arm,1
34,1,arm,3
34,2,control,2
34,3,leg,1
35,1,arm,2
35,2,leg,1
35,3,control,3
36,1,control,1
36,2,arm,3
36,3,leg,2
37,1,control,1
37,2,arm,2
37,3,leg,3
38,1,arm,1
38,2,control,2
38,3,leg,3
39,1,control,3
39,2,leg,1
39,3,arm,2
40,1,leg,2
40,2,arm,3
40,3,control,1
41,1,arm,1
41,2,leg,2
41,3,control,3
42,1,leg,1
42,2,control,2
42,3,arm,3
43,1,control,2
43,2,arm,3
43,3,leg,1
44,1,leg,1
44,2,arm,2
44,3,control,3
45,1,arm,3
45,2,control,1
45,3,leg,2
46,1,control,2
46,2,leg,3
46,3,arm,1
47,1,arm,2
47,2,leg,3
47,3,control,1
48,1,leg,2
48,2,control,3
48,3,arm,1
49,1,arm,3
49,2,leg,1
49,3,control,2
50,1,control,3
50,2,arm,1
50,3,leg,2
51,1,leg,3
51,2,control,1
51,3,arm,2
52,1,arm,2
52,2,control,3
52,3,leg,1
53,1,control,1
53,2,leg,2
53,3,arm,3
54,1,leg,3
54,2,arm,1
54,3,control,2
55,1,leg,2
55,2,control,1
55,3,arm,3
56,1,arm,1
56,2,control,3
56,3,leg,2
57,1,control,3
57,2,arm,2
57,3,leg,1
58,1,arm,1
58,2,leg,3
58,3,control,2
59,1,control,1
59,2,leg,3
59,3,arm,2
60,1,leg,1
60,2,arm,3
60,3,control,2
61,1,leg,2
61,2,arm,1
61,3,control,3
62,1,arm,2
62,2,control,1
62,3,leg,3
63,1,arm,3
63,2,leg,2
63,3,control,1
64,1,leg,1
64,2,control,3
64,3,arm,2
65,1,control,2
65,2,leg,1
65,3,arm,3
66,1,control,2
66,2,arm,1
66,3,leg,3
67,1,arm,2
67,2,leg,1
67,3,control,3
68,1,leg,3
68,2,arm,2
68,3,control,1
69,1,control,3
69,2,leg,2
69,3,arm,1
70,1,arm,3
70,2,control,2
70,3,leg,1
71,1,leg,3
71,2,control,2
71,3,arm,1
72,1,control,1
72,2,arm,3
72,3,leg,2
73,1,control,3
73,2,leg,1
73,3,arm,2
74,1,control,1
74,2,arm,2
74,3,leg,3
75,1,leg,2
75,2,arm,3
75,3,control,1
76,1,arm,1
76,2,control,2
76,3,leg,3
77,1,arm,1
77,2,leg,2
77,3,control,3
78,1,leg,1
78,2,control,2
78,3,arm,3
79,1,control,2
79,2,leg,3
79,3,arm,1
80,1,leg,1
80,2,arm,2
80,3,control,3
81,1,arm,2
81,2,leg,3
81,3,control,1
82,1,leg,2
82,2,control,3
82,3,arm,1
83,1,arm,3
83,2,control,1
83,3,leg,2
84,1,control,2
84,2,arm,3
84,3,leg,1
85,1,leg,3
85,2,arm,1
85,3,control,2
86,1,arm,3
86,2,leg,1
86,3,control,2
87,1,arm,2
87,2,control,3
87,3,leg,1
88,1,leg,3
88,2,control,1
88,3,arm,2
89,1,control,1
89,2,leg,2
89,3,arm,3
90,1,control,3
90,2,arm,1
90,3,leg,2
91,1,leg,1
91,2,arm,3
91,3,control,2
92,1,control,1
92,2,leg,3
92,3,arm,2
93,1,leg,2
93,2,control,1
93,3,arm,3
94,1,arm,1
94,2,leg,3
94,3,control,2
95,1,control,3
95,2,arm,2
95,3,leg,1
96,1,arm,1
96,2,control,3
96,3,leg,2
97,1,leg,2
97,2,arm,1
97,3,control,3
