id,list_seq,task_order,block,list,task
1,AB,arms-legs,1,A,arms
1,AB,arms-legs,2,B,legs
2,AB,legs-arms,1,A,legs
2,AB,legs-arms,2,B,arms
3,BA,arms-legs,1,B,arms
3,BA,arms-legs,2,A,legs
4,BA,legs-arms,1,B,legs
4,BA,legs-arms,2,A,arms
5,AC,arms-legs,1,A,arms
5,AC,arms-legs,2,C,legs
6,AC,legs-arms,1,A,legs
6,AC,legs-arms,2,C,arms
7,CA,arms-legs,1,C,arms
7,CA,arms-legs,2,A,legs
8,CA,legs-arms,1,C,legs
8,CA,legs-arms,2,A,arms
9,BC,arms-legs,1,B,arms
9,BC,arms-legs,2,C,legs
10,BC,legs-arms,1,B,legs
10,BC,legs-arms,2,C,arms
11,CB,arms-legs,1,C,arms
11,CB,arms-legs,2,B,legs
12,CB,legs-arms,1,C,legs
12,CB,legs-arms,2,B,arms
13,AB,arms-legs,1,A,arms
13,AB,arms-legs,2,B,legs
14,AB,legs-arms,1,A,legs
14,AB,legs-arms,2,B,arms
15,BA,arms-legs,1,B,arms
15,BA,arms-legs,2,A,legs
16,BA,legs-arms,1,B,legs
16,BA,legs-arms,2,A,arms
17,AC,arms-legs,1,A,arms
17,AC,arms-legs,2,C,legs
18,AC,legs-arms,1,A,legs
18,AC,legs-arms,2,C,arms
19,CA,arms-legs,1,C,arms
19,CA,arms-legs,2,A,legs
20,CA,legs-arms,1,C,legs
20,CA,legs-arms,2,A,arms
21,BC,arms-legs,1,B,arms
21,BC,arms-legs,2,C,legs
22,BC,legs-arms,1,B,legs
22,BC,legs-arms,2,C,arms
23,CB,arms-legs,1,C,arms
23,CB,arms-legs,2,B,legs
24,CB,legs-arms,1,C,legs
24,CB,legs-arms,2,B,arms
25,AB,arms-legs,1,A,arms
25,AB,arms-legs,2,B,legs
26,AB,legs-arms,1,A,legs
26,AB,legs-arms,2,B,arms
27,BA,arms-legs,1,B,arms
27,BA,arms-legs,2,A,legs
28,BA,legs-arms,1,B,legs
28,BA,legs-arms,2,A,arms
29,AC,arms-legs,1,A,arms
29,AC,arms-legs,2,C,legs
30,AC,legs-arms,1,A,legs
30,AC,legs-arms,2,C,arms
31,CA,arms-legs,1,C,arms
31,CA,arms-legs,2,A,legs
32,CA,legs-arms,1,C,legs
32,CA,legs-arms,2,A,arms
33,BC,arms-legs,1,B,arms
33,BC,arms-legs,2,C,legs
34,BC,legs-arms,1,B,legs
34,BC,legs-arms,2,C,arms
35,CB,arms-legs,1,C,arms
35,CB,arms-legs,2,B,legs
36,CB,legs-arms,1,C,legs
36,CB,legs-arms,2,B,arms
37,AB,arms-legs,1,A,arms
37,AB,arms-legs,2,B,legs
38,AB,legs-arms,1,A,legs
38,AB,legs-arms,2,B,arms
39,BA,arms-legs,1,B,arms
39,BA,arms-legs,2,A,legs
40,BA,legs-arms,1,B,legs
40,BA,legs-arms,2,A,arms
41,AC,arms-legs,1,A,arms
41,AC,arms-legs,2,C,legs
42,AC,legs-arms,1,A,legs
42,AC,legs-arms,2,C,arms
43,CA,arms-legs,1,C,arms
43,CA,arms-legs,2,A,legs
44,CA,legs-arms,1,C,legs
44,CA,legs-arms,2,A,arms
45,BC,arms-legs,1,B,arms
45,BC,arms-legs,2,C,legs
46,BC,legs-arms,1,B,legs
46,BC,legs-arms,2,C,arms
47,CB,arms-legs,1,C,arms
47,CB,arms-legs,2,B,legs
48,CB,legs-arms,1,C,legs
48,CB,legs-arms,2,B,arms
49,AB,arms-legs,1,A,arms
49,AB,arms-legs,2,B,legs
50,AB,legs-arms,1,A,legs
50,AB,legs-arms,2,B,arms
51,BA,arms-legs,1,B,arms
51,BA,arms-legs,2,A,legs
52,BA,legs-arms,1,B,legs
52,BA,legs-arms,2,A,arms
53,AC,arms-legs,1,A,arms
53,AC,arms-legs,2,C,legs
54,AC,legs-arms,1,A,legs
54,AC,legs-arms,2,C,arms
55,CA,arms-legs,1,C,arms
55,CA,arms-legs,2,A,legs
56,CA,legs-arms,1,C,legs
56,CA,legs-arms,2,A,arms
57,BC,arms-legs,1,B,arms
57,BC,arms-legs,2,C,legs
58,BC,legs-arms,1,B,legs
58,BC,legs-arms,2,C,arms
59,CB,arms-legs,1,C,arms
59,CB,arms-legs,2,B,legs
60,CB,legs-arms,1,C,legs
60,CB,legs-arms,2,B,arms
61,AB,arms-legs,1,A,arms
61,AB,arms-legs,2,B,legs
62,AB,legs-arms,1,A,legs
62,AB,legs-arms,2,B,arms
63,BA,arms-legs,1,B,arms
63,BA,arms-legs,2,A,legs
64,BA,legs-arms,1,B,legs
64,BA,legs-arms,2,A,arms
65,AC,arms-legs,1,A,arms
65,AC,arms-legs,2,C,legs
66,AC,legs-arms,1,A,legs
66,AC,legs-arms,2,C,arms
67,CA,arms-legs,1,C,arms
67,CA,arms-legs,2,A,legs
68,CA,legs-arms,1,C,legs
68,CA,legs-arms,2,A,arms
69,BC,arms-legs,1,B,arms
69,BC,arms-legs,2,C,legs
70,BC,legs-arms,1,B,legs
70,BC,legs-arms,2,C,arms
71,CB,arms-legs,1,C,arms
71,CB,arms-legs,2,B,legs
72,CB,legs-arms,1,C,legs
72,CB,legs-arms,2,B,arms
73,AB,arms-legs,1,A,arms
73,AB,arms-legs,2,B,legs
