"type","word1","word2","word3","word4"
"arm","snärta","hissa","slå","fila"
"leg","svassa","traska","skejta","svaja"
"arm","kasta","skura","rista","svabba"
"arm","torka","fånga","rota","sno"
"leg","ränna","knäa","vingla","promenera"
"arm","repa","borsta","norpa","plocka"
"arm","slunga","knacka","fläta","gripa"
"leg","stövla","stampa","sparka","trampa"
"arm","hacka","karva","gnugga","banka"
"leg","pinna","halka","vada","stiga"
"leg","stå","fly","vandra","knalla"
"leg","hoppa","kliva","rusa","stappla"
"arm","skrubba","knycka","nypa","slipa"
"leg","stega","trippa","strutta","löpa"
"arm","greppa","piska","ösa","grabba"
"leg","ila","snubbla","skrida","linka"
"leg","lunka","tassa","kila","gå"
"arm","klösa","tvätta","peta","putta"
"leg","smyga","skutta","ragla","vanka"
"arm","klippa","linda","rycka","vira"
"arm","signera","klappa","dunka","daska"
"leg","halta","glida","vackla","cykla"
"arm","hiva","skyffla","skala","bulta"
"leg","tåga","snava","skynda","jogga"
"arm","klicka","vika","pilla","polera"
"leg","flanera","marschera","springa","ströva"
