type,word1,word2,word3,word4
leg,trampa,traska,skrida,vanka
arm,klappa,pilla,banka,putta
leg,springa,stappla,stövla,svassa
leg,vandra,stampa,skejta,ströva
arm,repa,rycka,daska,dunka
leg,jogga,halta,marschera,rusa
leg,svaja,vackla,flanera,kila
arm,svabba,nypa,fila,borsta
arm,linda,grabba,klicka,vira
arm,knacka,gnugga,skrubba,skura
leg,glida,ragla,stå,stiga
arm,skala,signera,hissa,plocka
arm,tvätta,hiva,peta,rista
leg,löpa,ränna,skutta,sparka
leg,promenera,knalla,hoppa,cykla
leg,gå,knäa,pinna,linka
arm,greppa,slunga,fånga,norpa
leg,fly,tåga,stega,strutta
leg,tassa,lunka,kliva,halka
arm,fläta,kasta,piska,karva
leg,ila,snubbla,skynda,smyga
arm,bulta,skyffla,klippa,klösa
arm,hacka,sno,knycka,slipa
arm,vika,gripa,slå,torka
leg,vada,trippa,vingla,snava
arm,ösa,snärta,rota,polera
