"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming","2018_Jun_12_1416",904,0,"PACE","Arm",1
"verb_norming","2018_Jun_12_1416",904,0,"PACE","Leg",7
"verb_norming","2018_Jun_12_1416",904,1,"SNEAK","Arm",1
"verb_norming","2018_Jun_12_1416",904,1,"SNEAK","Leg",7
"verb_norming","2018_Jun_12_1416",904,2,"SKATE","Arm",1
"verb_norming","2018_Jun_12_1416",904,2,"SKATE","Leg",7
"verb_norming","2018_Jun_12_1416",904,3,"KNEEL","Arm",1
"verb_norming","2018_Jun_12_1416",904,3,"KNEEL","Leg",7
"verb_norming","2018_Jun_12_1416",904,4,"DELVE","Arm",4
"verb_norming","2018_Jun_12_1416",904,4,"DELVE","Leg",4
"verb_norming","2018_Jun_12_1416",904,5,"BRUSH","Arm",6
"verb_norming","2018_Jun_12_1416",904,5,"BRUSH","Leg",1
"verb_norming","2018_Jun_12_1416",904,6,"CARVE","Arm",7
"verb_norming","2018_Jun_12_1416",904,6,"CARVE","Leg",1
"verb_norming","2018_Jun_12_1416",904,7,"STAGGER","Arm",1
"verb_norming","2018_Jun_12_1416",904,7,"STAGGER","Leg",7
"verb_norming","2018_Jun_12_1416",904,8,"PINCH","Arm",5
"verb_norming","2018_Jun_12_1416",904,8,"PINCH","Leg",1
"verb_norming","2018_Jun_12_1416",904,9,"WOBBLE","Arm",3
"verb_norming","2018_Jun_12_1416",904,9,"WOBBLE","Leg",7
"verb_norming","2018_Jun_12_1416",904,10,"STAMP","Arm",7
"verb_norming","2018_Jun_12_1416",904,10,"STAMP","Leg",1
"verb_norming","2018_Jun_12_1416",904,11,"HIKE","Arm",3
"verb_norming","2018_Jun_12_1416",904,11,"HIKE","Leg",6
"verb_norming","2018_Jun_12_1416",904,12,"KNOCK","Arm",6
"verb_norming","2018_Jun_12_1416",904,12,"KNOCK","Leg",1
"verb_norming","2018_Jun_12_1416",904,13,"FLIT","Arm",4
"verb_norming","2018_Jun_12_1416",904,13,"FLIT","Leg",4
"verb_norming","2018_Jun_12_1416",904,14,"STEP","Arm",1
"verb_norming","2018_Jun_12_1416",904,14,"STEP","Leg",7
"verb_norming","2018_Jun_12_1416",904,15,"JOG","Arm",2
"verb_norming","2018_Jun_12_1416",904,15,"JOG","Leg",7
"verb_norming","2018_Jun_12_1416",904,16,"KICK","Arm",1
"verb_norming","2018_Jun_12_1416",904,16,"KICK","Leg",7
"verb_norming","2018_Jun_12_1416",904,17,"WANDER","Arm",1
"verb_norming","2018_Jun_12_1416",904,17,"WANDER","Leg",7
"verb_norming","2018_Jun_12_1416",904,18,"FLEE","Arm",1
"verb_norming","2018_Jun_12_1416",904,18,"FLEE","Leg",7
"verb_norming","2018_Jun_12_1416",904,19,"LIMP","Arm",1
"verb_norming","2018_Jun_12_1416",904,19,"LIMP","Leg",7
"verb_norming","2018_Jun_12_1416",904,20,"DANCE","Arm",4
"verb_norming","2018_Jun_12_1416",904,20,"DANCE","Leg",7
"verb_norming","2018_Jun_12_1416",904,21,"ROAM","Arm",1
"verb_norming","2018_Jun_12_1416",904,21,"ROAM","Leg",6
"verb_norming","2018_Jun_12_1416",904,22,"CATCH","Arm",6
"verb_norming","2018_Jun_12_1416",904,22,"CATCH","Leg",1
"verb_norming","2018_Jun_12_1416",904,23,"SKIP","Arm",1
"verb_norming","2018_Jun_12_1416",904,23,"SKIP","Leg",7
"verb_norming","2018_Jun_12_1416",904,24,"WALK","Arm",1
"verb_norming","2018_Jun_12_1416",904,24,"WALK","Leg",7
"verb_norming","2018_Jun_12_1416",904,25,"THROW","Arm",7
"verb_norming","2018_Jun_12_1416",904,25,"THROW","Leg",1
"verb_norming","2018_Jun_12_1416",904,26,"DUNK","Arm",6
"verb_norming","2018_Jun_12_1416",904,26,"DUNK","Leg",3
"verb_norming","2018_Jun_12_1416",904,27,"CLAP","Arm",7
"verb_norming","2018_Jun_12_1416",904,27,"CLAP","Leg",1
"verb_norming","2018_Jun_12_1416",904,28,"BOUNCE","Arm",1
"verb_norming","2018_Jun_12_1416",904,28,"BOUNCE","Leg",7
"verb_norming","2018_Jun_12_1416",904,29,"SWITCH","Arm",6
"verb_norming","2018_Jun_12_1416",904,29,"SWITCH","Leg",1
"verb_norming","2018_Jun_12_1416",904,30,"INCH","Arm",4
"verb_norming","2018_Jun_12_1416",904,30,"INCH","Leg",4
"verb_norming","2018_Jun_12_1416",904,31,"SCRUB","Arm",6
"verb_norming","2018_Jun_12_1416",904,31,"SCRUB","Leg",1
"verb_norming","2018_Jun_12_1416",904,32,"SCRATCH","Arm",7
"verb_norming","2018_Jun_12_1416",904,32,"SCRATCH","Leg",1
"verb_norming","2018_Jun_12_1416",904,33,"PAT","Arm",7
"verb_norming","2018_Jun_12_1416",904,33,"PAT","Leg",1
"verb_norming","2018_Jun_12_1416",904,34,"STAB","Arm",7
"verb_norming","2018_Jun_12_1416",904,34,"STAB","Leg",1
"verb_norming","2018_Jun_12_1416",904,35,"TUG","Arm",7
"verb_norming","2018_Jun_12_1416",904,35,"TUG","Leg",1
"verb_norming","2018_Jun_12_1416",904,36,"RUSH","Arm",1
"verb_norming","2018_Jun_12_1416",904,36,"RUSH","Leg",7
"verb_norming","2018_Jun_12_1416",904,37,"WASH","Arm",7
"verb_norming","2018_Jun_12_1416",904,37,"WASH","Leg",1
"verb_norming","2018_Jun_12_1416",904,38,"CLICK","Arm",7
"verb_norming","2018_Jun_12_1416",904,38,"CLICK","Leg",1
"verb_norming","2018_Jun_12_1416",904,39,"STRUT","Arm",1
"verb_norming","2018_Jun_12_1416",904,39,"STRUT","Leg",7
"verb_norming","2018_Jun_12_1416",904,40,"LIFT","Arm",7
"verb_norming","2018_Jun_12_1416",904,40,"LIFT","Leg",1
"verb_norming","2018_Jun_12_1416",904,41,"SCOOP","Arm",7
"verb_norming","2018_Jun_12_1416",904,41,"SCOOP","Leg",1
"verb_norming","2018_Jun_12_1416",904,42,"PLUCK","Arm",7
"verb_norming","2018_Jun_12_1416",904,42,"PLUCK","Leg",1
"verb_norming","2018_Jun_12_1416",904,43,"BASH","Arm",7
"verb_norming","2018_Jun_12_1416",904,43,"BASH","Leg",1
"verb_norming","2018_Jun_12_1416",904,44,"STOMP","Arm",1
"verb_norming","2018_Jun_12_1416",904,44,"STOMP","Leg",7
"verb_norming","2018_Jun_12_1416",904,45,"WRAP","Arm",7
"verb_norming","2018_Jun_12_1416",904,45,"WRAP","Leg",1
"verb_norming","2018_Jun_12_1416",904,46,"STIR","Arm",7
"verb_norming","2018_Jun_12_1416",904,46,"STIR","Leg",1
"verb_norming","2018_Jun_12_1416",904,47,"PUSH","Arm",7
"verb_norming","2018_Jun_12_1416",904,47,"PUSH","Leg",1
