expName;date;participant;trial;resp_time;our_transl;verb;ppt_translation;score;comments
verb_norming_oral_input;2018_Jun_14_1448;906;0;18.0293112788;ströva omkring;ROAM;skrika;0;
verb_norming_oral_input;2018_Jun_14_1448;906;1;4.93106979747;hoppa;JUMP;hoppa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;2;6.82614185971;kliva;STRIDE;stega;1;
verb_norming_oral_input;2018_Jun_14_1448;906;3;4.07571741217;skrapa;SCRAPE;skrapa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;4;3.15337244665;repa;SCRATCH;klia;1;
verb_norming_oral_input;2018_Jun_14_1448;906;5;4.66278022725;hoppa;LEAP;hoppa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;6;11.3712277311;spurta;SPRINT;springa;0;
verb_norming_oral_input;2018_Jun_14_1448;906;7;12.159397488;gå;STEP;stega;1;
verb_norming_oral_input;2018_Jun_14_1448;906;8;4.71308491677;slå;BASH;slå;1;
verb_norming_oral_input;2018_Jun_14_1448;906;9;3.89118614963;tvätta;WASH;tvätta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;10;4.8639183828;sparka;KICK;sparka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;11;2.66701067628;gräva;DIG;gräva;1;
verb_norming_oral_input;2018_Jun_14_1448;906;12;3.10311991172;gripa om;GRIP;greppa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;13;5.61877083468;knäböja;KNEEL;knäböja;1;
verb_norming_oral_input;2018_Jun_14_1448;906;14;3.0695414386;studsa;BOUNCE;studsa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;15;3.23723071732;vika ihop;FOLD;vika;1;
verb_norming_oral_input;2018_Jun_14_1448;906;16;2.59992722063;halka;SLIP;halka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;17;5.09878357304;lyfta;LIFT;lyfta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;18;6.35643795164;strosa;STROLL;promenera;-99;unsure of correctness
verb_norming_oral_input;2018_Jun_14_1448;906;19;2.66705808955;slänga;TOSS;kasta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;20;2.21419893107;klappa;PAT;klappa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;21;19.1697628191;skyffla;SCOOP;sleva;-99;unsure of correctness
verb_norming_oral_input;2018_Jun_14_1448;906;22;3.40505947007;skaka;SHAKE;skaka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;23;2.1136302484;sticka;STAB;hugga;1;
verb_norming_oral_input;2018_Jun_14_1448;906;24;2.18070382629;rengöra;CLEAN;städa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;25;2.95218450716;skutta;HOP;hoppa;-99;unsure of correctness
verb_norming_oral_input;2018_Jun_14_1448;906;26;2.85151783707;klösa;CLAW;klösa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;27;3.85784671843;slå på/av;SWITCH;byta;-99;correct, but not at all hand-related. All ppts answered this in the oral input.
verb_norming_oral_input;2018_Jun_14_1448;906;28;3.92481203602;peta;POKE;peta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;29;2.23086192979;kravla;CRAWL;krypa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;30;3.69005036474;piska;WHIP;snärta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;31;2.11363815061;smyga;SNEAK;smyga;1;
verb_norming_oral_input;2018_Jun_14_1448;906;32;3.47201925611;vingla;ROLL;rulla;-99;I think all participants answered this as well. Correct but not the foot-related word we're looking for. 
verb_norming_oral_input;2018_Jun_14_1448;906;33;23.0439078491;ragla;STAGGER;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;34;4.29379000742;snubbla;TRIP;snubbla;1;
verb_norming_oral_input;2018_Jun_14_1448;906;35;6.5747725052;rusa;RUSH;skynda sig;1;
verb_norming_oral_input;2018_Jun_14_1448;906;36;3.38816256588;borsta;BRUSH;borsta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;37;1.59241735373;hacka;CHOP;hacka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;38;35.3370486899;ströva;STRAY;gå;0;
verb_norming_oral_input;2018_Jun_14_1448;906;39;17.4759146514;riva;GRATE;karva;0;
verb_norming_oral_input;2018_Jun_14_1448;906;40;2.68452355788;snubbla;STUMBLE;snubbla;1;
verb_norming_oral_input;2018_Jun_14_1448;906;41;9.69408839493;glida;GLIDE;glida;1;
verb_norming_oral_input;2018_Jun_14_1448;906;42;19.7064332301;hoppa;SKIP;småhoppa;-99;unsure of correctness
verb_norming_oral_input;2018_Jun_14_1448;906;43;3.17000186097;vada;WADE;vada;1;
verb_norming_oral_input;2018_Jun_14_1448;906;44;4.19286533011;hasa;SLITHER;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;45;2.66691861552;svassa;STRUT;strosa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;46;2.83471615453;klappa;CLAP;klappa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;47;7.94979961967;gå på tå;TIPTOE;smyga;1;
verb_norming_oral_input;2018_Jun_14_1448;906;48;4.84729410491;fläta;BRAID;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;49;3.45521994424;marschera;MARCH;marschera;1;
verb_norming_oral_input;2018_Jun_14_1448;906;50;2.4152541134;gå uppför;MOUNT;bestiga;-99;correct but not what we chose as target
verb_norming_oral_input;2018_Jun_14_1448;906;51;2.465837751;traska;TRAIPSE;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;52;2.01296081254;stampa;STOMP;stampa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;53;3.18694657354;skära;CUT;klippa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;54;4.32730644817;lunka;PLOD;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;55;1.96266560566;plocka;PLUCK;plocka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;56;11.5387147132;slå in;WRAP;vira in;1;
verb_norming_oral_input;2018_Jun_14_1448;906;57;10.4151893153;glida;SLIDE;glida;1;
verb_norming_oral_input;2018_Jun_14_1448;906;58;2.66690004532;gå;WALK;gå;1;
verb_norming_oral_input;2018_Jun_14_1448;906;59;11.1866616988;dunka;DUNK;dunka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;60;2.02973760311;knuffa;PUSH;knuffa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;61;3.38816296099;fila;FILE;arkivera;-99;correct but not what we chose as target, and not particularly hand-related
verb_norming_oral_input;2018_Jun_14_1448;906;62;1.8955371074;klicka;CLICK;klicka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;63;1.79478588365;kasta;THROW;kasta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;64;2.24781770546;röra;STIR;röra;1;
verb_norming_oral_input;2018_Jun_14_1448;906;65;3.37144978322;tälja;CARVE;skära;1;
