BlockType,BlockLabel,BlockInstructions,item,type,word1,word2,word3,word4,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,3,training,lick,chew,soothe,ruin,0,0,0,3,0,0,0,0,0,0,0,2,,,,,space,20.7291844878,return,153.673740595,space,4.09268069494,space,10.4488507616,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,4,training,stay,save,print,look,0,0,0,3,0,0,0,0,0,1,1,3,,,,,,,,,,,space,5.13222731344,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,2,training,like,yell,thank,stare,0,0,0,3,0,0,0,0,0,2,2,1,,,,,,,,,,,space,8.48653601413,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,1,training,wait,sigh,bless,blush,0,0,0,3,0,0,0,0,0,3,3,0,,,,,,,,,,,space,6.08911916812,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,p,13.8196213497,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,3,training,lick,chew,soothe,ruin,0,0,0,3,1,0,1,0,0,0,0,2,,,,,,,,,,,space,4.32790227493,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,4,training,stay,save,print,look,0,0,0,3,1,0,1,0,0,1,1,3,,,,,,,,,,,space,4.39377155575,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,1,training,wait,sigh,bless,blush,0,0,0,3,1,0,1,0,0,2,2,0,,,,,,,,,,,space,5.7359776241,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,2,training,like,yell,thank,stare,0,0,0,3,1,0,1,0,0,3,3,1,,,,,,,,,,,space,5.21622940437,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,6,arm,wash,stir,carve,bash,0,0,0,3,1,0,1,0,,,,,0,0,0,0,,,,,,,space,6.17208804486,s,4.51176619568,space,3.03592542999,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,12,leg,step,walk,stroll,jump,0,0,0,3,1,0,1,0,,,,,0,1,1,1,,,,,,,space,5.4167733136,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,4,arm,grip,catch,seize,grasp,0,0,0,3,1,0,1,0,,,,,0,2,2,2,,,,,,,space,7.5975893513,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,10,leg,mount,hop,stride,limp,0,0,0,3,1,0,1,0,,,,,0,3,3,3,,,,,,,space,4.3773689349,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,2,arm,chop,switch,dunk,rub,0,0,0,3,1,0,1,0,,,,,0,4,4,4,,,,,,,space,4.84707205276,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,18,leg,stray,leap,skate,slip,0,0,0,3,1,0,1,0,,,,,0,5,5,5,,,,,,,space,7.79916133827,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,16,leg,stomp,stumble,creep,glide,0,0,0,3,1,0,1,0,,,,,0,6,6,6,,,,,,,space,9.61006338759,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,9,arm,whip,throw,toss,scrape,0,0,0,3,1,0,1,0,,,,,0,7,7,7,,,,,,,space,6.75904338986,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
