BlockType,BlockLabel,BlockInstructions,item,type,word1,word2,word3,word4,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,4,training,save,look,print,stay,0,0,0,3,0,0,0,0,0,0,0,3,,,,,space,15.5470612383,return,7.37953659243,space,5.1827474064,space,25.2573349027,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,1,training,wait,blush,sigh,bless,0,0,0,3,0,0,0,0,0,1,1,0,,,,,,,,,,,space,13.920184026,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,3,training,chew,lick,ruin,soothe,0,0,0,3,0,0,0,0,0,2,2,2,,,,,,,,,,,space,14.0722622797,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,2,training,yell,stare,like,thank,0,0,0,3,0,0,0,0,0,3,3,1,,,,,,,,,,,space,8.31881426201,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,15,leg,sprint,trot,crawl,slide,0,0,0,3,0,0,0,0,,,,,0,0,0,0,,,,,,,space,8.99025266037,s,28.644695444,space,1.94574718475,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,5,arm,scratch,hack,clean,stab,0,0,0,3,0,0,0,0,,,,,0,1,1,1,,,,,,,space,2.85139475461,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,11,leg,pace,skip,strut,dance,0,0,0,3,0,0,0,0,,,,,0,2,2,2,,,,,,,space,7.04354496558,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,9,arm,toss,scrape,whip,throw,0,0,0,3,0,0,0,0,,,,,0,3,3,3,,,,,,,space,5.90466137774,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,8,arm,clap,click,wipe,grab,0,0,0,3,0,0,0,0,,,,,0,4,4,4,,,,,,,space,4.31038500609,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,10,leg,limp,stride,hop,mount,0,0,0,3,0,0,0,0,,,,,0,5,5,5,,,,,,,space,4.54495293659,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,13,leg,hike,tiptoe,wade,tread,0,0,0,3,0,0,0,0,,,,,0,6,6,6,,,,,,,space,6.5910475407,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,2,arm,dunk,chop,switch,rub,0,0,0,3,0,0,0,0,,,,,0,7,7,7,,,,,,,space,83.486408052,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,1,arm,pull,braid,pat,peel,0,0,0,3,0,0,0,0,,,,,0,8,8,8,,,,,,,space,17.3254299675,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,4,arm,grasp,seize,catch,grip,0,0,0,3,0,0,0,0,,,,,0,9,9,9,,,,,,,space,11.4045525252,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,14,leg,climb,kneel,stamp,wander,0,0,0,3,0,0,0,0,,,,,0,10,10,10,,,,,,,space,10.1803558115,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,17,leg,kick,run,flee,jog,0,0,0,3,0,0,0,0,,,,,0,11,11,11,,,,,,,space,10.4323563472,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,3,arm,bind,fold,lift,brush,0,0,0,3,0,0,0,0,,,,,0,12,12,12,,,,,,,space,9.15699301487,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,7,arm,scrub,knock,nip,dig,0,0,0,3,0,0,0,0,,,,,0,13,13,13,,,,,,,space,3.77473491148,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,18,leg,stray,slip,skate,leap,0,0,0,3,0,0,0,0,,,,,0,14,14,14,,,,,,,space,10.6171571353,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,6,arm,carve,bash,stir,wash,0,0,0,3,0,0,0,0,,,,,0,15,15,15,,,,,,,space,19.6558987604,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,12,leg,stroll,step,jump,walk,0,0,0,3,0,0,0,0,,,,,0,16,16,16,,,,,,,space,7.51346867398,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,16,leg,glide,stumble,creep,stomp,0,0,0,3,0,0,0,0,,,,,0,17,17,17,,,,,,,space,21.869831727,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
ARTICULATION,while repeating a syllable,repeat the syllable "bla" continuously,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,2,training,stare,like,thank,yell,0,1,1,1,0,0,0,0,0,0,0,1,,,,,space,5.6018964443,return,272.528218489,space,5.09863027554,space,7.17824237331,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,3,training,chew,lick,soothe,ruin,0,1,1,1,0,0,0,0,0,1,1,2,,,,,,,,,,,space,16.3688046411,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,4,training,stay,save,print,look,0,1,1,1,0,0,0,0,0,2,2,3,,,,,,,,,,,space,17.5427426967,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,1,training,blush,sigh,bless,wait,0,1,1,1,0,0,0,0,0,3,3,0,,,,,,,,,,,space,13.0817393648,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,1,arm,braid,peel,pat,pull,0,1,1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,space,10.2986858279,s,2.88469533341,space,1.25802989948,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,10,leg,limp,hop,stride,mount,0,1,1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,space,8.60387712584,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,9,arm,whip,toss,throw,scrape,0,1,1,1,0,0,0,0,,,,,0,2,2,2,,,,,,,space,16.9724822369,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,16,leg,stumble,creep,glide,stomp,0,1,1,1,0,0,0,0,,,,,0,3,3,3,,,,,,,space,22.1883682274,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,4,arm,grip,seize,catch,grasp,0,1,1,1,0,0,0,0,,,,,0,4,4,4,,,,,,,space,16.535843698,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
