word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,space,2.26360251716,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,space,4.66267369487,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,,,space,7.94876779324,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,,,,,space,6.79259344427,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,,,,,,,space,1.07354006228,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
POLERA,Arm,arm,0,0,0,54,0,0,0,0,,,,,,,,,,,7,10.003,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
POLERA,Ben,ben,0,0,0,54,0,1,1,1,,,,,,,,,,,1,2.222,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
POLERA,,,0,0,0,54,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKJUTA,Arm,arm,0,1,1,72,0,0,0,0,,,,,,,,,,,7,4.098,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKJUTA,Ben,ben,0,1,1,72,0,1,1,1,,,,,,,,,,,1,1.638,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKJUTA,,,0,1,1,72,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
