word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,space,5.61789677935,,,,,,,,,,,,,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,space,22.4230329596,,,,,,,,,,,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,,,space,13.6518556098,,,,,,,,,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,,,,,space,4.81376378091,,,,,,,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,,,,,,,space,25.2071434131,,,,,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
,,,,,,,,,,,,,,,,,,,,,space,6.10495557592,,,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SKATE,Arm,arm,0,0,0,92,0,0,0,0,,,,,,,,,,,,,1,10.862,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SKATE,Leg,leg,0,0,0,92,0,1,1,1,,,,,,,,,,,,,7,66.979,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SKATE,,,0,0,0,92,,,,,,,,,,,,,,,,,,,return,5.85355323521,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STUMBLE,Arm,arm,0,1,1,110,0,0,0,0,,,,,,,,,,,,,1,3.495,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STUMBLE,Leg,leg,0,1,1,110,0,1,1,1,,,,,,,,,,,,,7,3.399,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STUMBLE,,,0,1,1,110,,,,,,,,,,,,,,,,,,,return,2.09673967886,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
RAMBLE,Arm,arm,0,2,2,86,0,0,0,0,,,,,,,,,,,,,1,9.032,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
RAMBLE,Leg,leg,0,2,2,86,0,1,1,1,,,,,,,,,,,,,6,4.893,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
RAMBLE,,,0,2,2,86,,,,,,,,,,,,,,,,,,,return,10.8341213783,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
LEAP,Arm,arm,0,3,3,77,0,0,0,0,,,,,,,,,,,,,1,3.063,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
LEAP,Leg,leg,0,3,3,77,0,1,1,1,,,,,,,,,,,,,7,2.378,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
LEAP,,,0,3,3,77,,,,,,,,,,,,,,,,,,,return,3.74039361551,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SWITCH,Arm,arm,0,4,4,51,0,0,0,0,,,,,,,,,,,,,7,8.545,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SWITCH,Leg,leg,0,4,4,51,0,1,1,1,,,,,,,,,,,,,1,2.108,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SWITCH,,,0,4,4,51,,,,,,,,,,,,,,,,,,,return,5.72063144744,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
GRIP,Arm,arm,0,5,5,21,0,0,0,0,,,,,,,,,,,,,7,6.532,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
GRIP,Leg,leg,0,5,5,21,0,1,1,1,,,,,,,,,,,,,1,1.79,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
GRIP,,,0,5,5,21,,,,,,,,,,,,,,,,,,,return,3.03600510007,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
JUMP,Arm,arm,0,6,6,74,0,0,0,0,,,,,,,,,,,,,1,2.876,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
JUMP,Leg,leg,0,6,6,74,0,1,1,1,,,,,,,,,,,,,7,1.907,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
JUMP,,,0,6,6,74,,,,,,,,,,,,,,,,,,,return,1.57690184741,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
KNOCK,Arm,arm,0,7,7,24,0,0,0,0,,,,,,,,,,,,,7,3.644,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
KNOCK,Leg,leg,0,7,7,24,0,1,1,1,,,,,,,,,,,,,1,2.074,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
KNOCK,,,0,7,7,24,,,,,,,,,,,,,,,,,,,return,7.66461249485,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TWINE,Arm,arm,0,8,8,55,0,0,0,0,,,,,,,,,,,,,7,4.184,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TWINE,Leg,leg,0,8,8,55,0,1,1,1,,,,,,,,,,,,,1,2.342,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TWINE,,,0,8,8,55,,,,,,,,,,,,,,,,,,,return,1.86179995077,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STAND,Arm,arm,0,9,9,102,0,0,0,0,,,,,,,,,,,,,1,5.439,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STAND,Leg,leg,0,9,9,102,0,1,1,1,,,,,,,,,,,,,7,2.09,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STAND,,,0,9,9,102,,,,,,,,,,,,,,,,,,,return,2.51608864192,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SLITHER,Arm,arm,0,10,10,96,0,0,0,0,,,,,,,,,,,,,4,23.421,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SLITHER,Leg,leg,0,10,10,96,0,1,1,1,,,,,,,,,,,,,4,5.361,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SLITHER,,,0,10,10,96,,,,,,,,,,,,,,,,,,,return,2.43204737199,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STEP,Arm,arm,0,11,11,103,0,0,0,0,,,,,,,,,,,,,1,2.978,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STEP,Leg,leg,0,11,11,103,0,1,1,1,,,,,,,,,,,,,7,2.713,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
STEP,,,0,11,11,103,,,,,,,,,,,,,,,,,,,return,6.00447381948,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SLIP,Arm,arm,0,12,12,95,0,0,0,0,,,,,,,,,,,,,1,4.454,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SLIP,Leg,leg,0,12,12,95,0,1,1,1,,,,,,,,,,,,,7,1.874,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SLIP,,,0,12,12,95,,,,,,,,,,,,,,,,,,,return,3.77374239761,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SCRATCH,Arm,arm,0,13,13,40,0,0,0,0,,,,,,,,,,,,,7,2.893,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SCRATCH,Leg,leg,0,13,13,40,0,1,1,1,,,,,,,,,,,,,1,1.856,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SCRATCH,,,0,13,13,40,,,,,,,,,,,,,,,,,,,return,2.78444827173,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SNEAK,Arm,arm,0,14,14,97,0,0,0,0,,,,,,,,,,,,,1,4.015,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SNEAK,Leg,leg,0,14,14,97,0,1,1,1,,,,,,,,,,,,,7,6.837,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SNEAK,,,0,14,14,97,,,,,,,,,,,,,,,,,,,return,2.95213175148,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TREAD,Arm,arm,0,15,15,118,0,0,0,0,,,,,,,,,,,,,1,9.786,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TREAD,Leg,leg,0,15,15,118,0,1,1,1,,,,,,,,,,,,,7,1.721,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TREAD,,,0,15,15,118,,,,,,,,,,,,,,,,,,,return,4.39430971885,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SKIM,Arm,arm,0,16,16,45,0,0,0,0,,,,,,,,,,,,,7,2.895,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SKIM,Leg,leg,0,16,16,45,0,1,1,1,,,,,,,,,,,,,1,3.384,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SKIM,,,0,16,16,45,,,,,,,,,,,,,,,,,,,return,1.84525515548,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
PAT,Arm,arm,0,17,17,27,0,0,0,0,,,,,,,,,,,,,7,2.71,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
PAT,Leg,leg,0,17,17,27,0,1,1,1,,,,,,,,,,,,,1,1.539,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
PAT,,,0,17,17,27,,,,,,,,,,,,,,,,,,,return,1.15762242354,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
WADE,Arm,arm,0,18,18,124,0,0,0,0,,,,,,,,,,,,,1,6.13,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
WADE,Leg,leg,0,18,18,124,0,1,1,1,,,,,,,,,,,,,7,1.973,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
WADE,,,0,18,18,124,,,,,,,,,,,,,,,,,,,return,1.86208284883,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
BIND,Arm,arm,0,19,19,1,0,0,0,0,,,,,,,,,,,,,7,5.14,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
BIND,Leg,leg,0,19,19,1,0,1,1,1,,,,,,,,,,,,,1,1.773,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
BIND,,,0,19,19,1,,,,,,,,,,,,,,,,,,,return,3.03599245658,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
ROAM,Arm,arm,0,20,20,87,0,0,0,0,,,,,,,,,,,,,1,5.259,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
ROAM,Leg,leg,0,20,20,87,0,1,1,1,,,,,,,,,,,,,7,1.74,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
ROAM,,,0,20,20,87,,,,,,,,,,,,,,,,,,,return,4.51182067424,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
RUSH,Arm,arm,0,21,21,89,0,0,0,0,,,,,,,,,,,,,1,4.823,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
RUSH,Leg,leg,0,21,21,89,0,1,1,1,,,,,,,,,,,,,7,1.976,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
RUSH,,,0,21,21,89,,,,,,,,,,,,,,,,,,,return,3.15310790783,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TODDLE,Arm,arm,0,22,22,113,0,0,0,0,,,,,,,,,,,,,3,11.813,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TODDLE,Leg,leg,0,22,22,113,0,1,1,1,,,,,,,,,,,,,5,7.054,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
TODDLE,,,0,22,22,113,,,,,,,,,,,,,,,,,,,return,19.8740811246,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SQUEEZE,Arm,arm,0,23,23,48,0,0,0,0,,,,,,,,,,,,,7,3.875,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SQUEEZE,Leg,leg,0,23,23,48,0,1,1,1,,,,,,,,,,,,,1,2.96,,,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
SQUEEZE,,,0,23,23,48,,,,,,,,,,,,,,,,,,,return,1.5767789685,,,2018_Sep_07_1244,59.6076551867,verb_norming_oral_input,001,800,
