item_number_,item,correct_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
0,platery,n,0,0,0,0,n,1,10.5658524617,2018_Sep_12_1549,59.6392392685,lextale,001,805,
0,denial,y,0,1,1,1,y,1,1.15749971552,2018_Sep_12_1549,59.6392392685,lextale,001,805,
0,generic,y,0,2,2,2,y,1,1.15739580304,2018_Sep_12_1549,59.6392392685,lextale,001,805,
1,mensible,n,0,3,3,3,n,1,2.66676136004,2018_Sep_12_1549,59.6392392685,lextale,001,805,
2,scornful,y,0,4,4,4,y,1,1.84484325414,2018_Sep_12_1549,59.6392392685,lextale,001,805,
3,stoutly,y,0,5,5,5,n,0,7.44656290696,2018_Sep_12_1549,59.6392392685,lextale,001,805,
4,ablaze,y,0,6,6,6,y,1,3.77377462291,2018_Sep_12_1549,59.6392392685,lextale,001,805,
5,kermshaw,n,0,7,7,7,n,1,7.89929971679,2018_Sep_12_1549,59.6392392685,lextale,001,805,
6,moonlit,y,0,8,8,8,y,1,3.43857270871,2018_Sep_12_1549,59.6392392685,lextale,001,805,
7,lofty,y,0,9,9,9,y,1,1.84511429583,2018_Sep_12_1549,59.6392392685,lextale,001,805,
8,hurricane,y,0,10,10,10,y,1,0.956315271263,2018_Sep_12_1549,59.6392392685,lextale,001,805,
9,flaw,y,0,11,11,11,y,1,0.872449995575,2018_Sep_12_1549,59.6392392685,lextale,001,805,
10,alberation,n,0,12,12,12,n,1,4.94772016803,2018_Sep_12_1549,59.6392392685,lextale,001,805,
11,unkempt,y,0,13,13,13,n,0,7.56397413488,2018_Sep_12_1549,59.6392392685,lextale,001,805,
12,breeding,y,0,14,14,14,y,1,1.69418714362,2018_Sep_12_1549,59.6392392685,lextale,001,805,
13,festivity,y,0,15,15,15,y,1,1.47552604213,2018_Sep_12_1549,59.6392392685,lextale,001,805,
14,screech,y,0,16,16,16,n,0,2.28101372751,2018_Sep_12_1549,59.6392392685,lextale,001,805,
15,savoury,y,0,17,17,17,y,1,1.37569340839,2018_Sep_12_1549,59.6392392685,lextale,001,805,
16,plaudate,n,0,18,18,18,n,1,2.16370996801,2018_Sep_12_1549,59.6392392685,lextale,001,805,
17,shin,y,0,19,19,19,y,1,4.46128410542,2018_Sep_12_1549,59.6392392685,lextale,001,805,
18,fluid,y,0,20,20,20,y,1,0.956127991731,2018_Sep_12_1549,59.6392392685,lextale,001,805,
19,spaunch,n,0,21,21,21,n,1,1.30847546559,2018_Sep_12_1549,59.6392392685,lextale,001,805,
20,allied,y,0,22,22,22,y,1,6.64152129455,2018_Sep_12_1549,59.6392392685,lextale,001,805,
21,slain,y,0,23,23,23,n,0,1.24116862428,2018_Sep_12_1549,59.6392392685,lextale,001,805,
22,recipient,y,0,24,24,24,y,1,1.27489632458,2018_Sep_12_1549,59.6392392685,lextale,001,805,
23,exprate,n,0,25,25,25,n,1,2.83455354772,2018_Sep_12_1549,59.6392392685,lextale,001,805,
24,eloquence,y,0,26,26,26,y,1,4.15935552135,2018_Sep_12_1549,59.6392392685,lextale,001,805,
25,cleanliness,y,0,27,27,27,n,0,2.58301896185,2018_Sep_12_1549,59.6392392685,lextale,001,805,
26,dispatch,y,0,28,28,28,y,1,1.15750998824,2018_Sep_12_1549,59.6392392685,lextale,001,805,
27,rebondicate,n,0,29,29,29,n,1,3.13651571568,2018_Sep_12_1549,59.6392392685,lextale,001,805,
28,ingenious,y,0,30,30,30,y,1,2.68359241652,2018_Sep_12_1549,59.6392392685,lextale,001,805,
29,bewitch,y,0,31,31,31,y,1,1.40900308814,2018_Sep_12_1549,59.6392392685,lextale,001,805,
30,skave,n,0,32,32,32,n,1,0.922722696699,2018_Sep_12_1549,59.6392392685,lextale,001,805,
31,plaintively,y,0,33,33,33,n,0,5.56823217605,2018_Sep_12_1549,59.6392392685,lextale,001,805,
32,kilp,n,0,34,34,34,n,1,0.88914197527,2018_Sep_12_1549,59.6392392685,lextale,001,805,
33,interfate,n,0,35,35,35,n,1,2.88488116837,2018_Sep_12_1549,59.6392392685,lextale,001,805,
34,hasty,y,0,36,36,36,y,1,1.07351985953,2018_Sep_12_1549,59.6392392685,lextale,001,805,
35,lengthy,y,0,37,37,37,y,1,2.39866201813,2018_Sep_12_1549,59.6392392685,lextale,001,805,
36,fray,y,0,38,38,38,y,1,1.15752144627,2018_Sep_12_1549,59.6392392685,lextale,001,805,
37,crumper,n,0,39,39,39,n,1,1.05699816988,2018_Sep_12_1549,59.6392392685,lextale,001,805,
38,upkeep,y,0,40,40,40,n,0,3.25382224091,2018_Sep_12_1549,59.6392392685,lextale,001,805,
39,majestic,y,0,41,41,41,y,1,1.55987690124,2018_Sep_12_1549,59.6392392685,lextale,001,805,
