word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
SKRAPA,Arm,arm,0,0,0,74,0,0,0,0,7,10.374,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRAPA,Ben,ben,0,0,0,74,0,1,1,1,3,7.222,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRAPA,,,0,0,0,74,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
JOGGA,Arm,arm,0,1,1,114,0,0,0,0,1,4.82,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
JOGGA,Ben,ben,0,1,1,114,0,1,1,1,7,5.077,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
JOGGA,,,0,1,1,114,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RAFSA,Arm,arm,0,2,2,58,0,0,0,0,6,5.946,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RAFSA,Ben,ben,0,2,2,58,0,1,1,1,2,3.584,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RAFSA,,,0,2,2,58,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLÅ,Arm,arm,0,3,3,79,0,0,0,0,7,3.864,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLÅ,Ben,ben,0,3,3,79,0,1,1,1,1,2.596,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLÅ,,,0,3,3,79,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FILA,Arm,arm,0,4,4,10,0,0,0,0,7,5.36,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FILA,Ben,ben,0,4,4,10,0,1,1,1,1,1.556,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FILA,,,0,4,4,10,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TRYCKA,Arm,arm,0,5,5,95,0,0,0,0,6,5.037,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TRYCKA,Ben,ben,0,5,5,95,0,1,1,1,2,1.756,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TRYCKA,,,0,5,5,95,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BINDA,Arm,arm,0,6,6,2,0,0,0,0,7,3.565,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BINDA,Ben,ben,0,6,6,2,0,1,1,1,1,2.528,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BINDA,,,0,6,6,2,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FLANERA,Arm,arm,0,7,7,104,0,0,0,0,6,7.567,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FLANERA,Ben,ben,0,7,7,104,0,1,1,1,2,1.518,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FLANERA,,,0,7,7,104,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLIVA,Arm,arm,0,8,8,117,0,0,0,0,1,3.33,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLIVA,Ben,ben,0,8,8,117,0,1,1,1,7,2.394,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLIVA,,,0,8,8,117,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLEVA,Arm,arm,0,9,9,80,0,0,0,0,6,11.243,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLEVA,Ben,ben,0,9,9,80,0,1,1,1,2,1.956,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLEVA,,,0,9,9,80,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
DANSA,Arm,arm,0,10,10,102,0,0,0,0,4,9.401,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
DANSA,Ben,ben,0,10,10,102,0,1,1,1,6,5.647,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
DANSA,,,0,10,10,102,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
ÅLA,Arm,arm,0,11,11,100,0,0,0,0,5,7.121,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
ÅLA,Ben,ben,0,11,11,100,0,1,1,1,5,4.24,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
ÅLA,,,0,11,11,100,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TÅGA,Arm,arm,0,12,12,158,0,0,0,0,1,5.427,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TÅGA,Ben,ben,0,12,12,158,0,1,1,1,6,1.639,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TÅGA,,,0,12,12,158,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RAGLA,Arm,arm,0,13,13,130,0,0,0,0,4,15.12,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RAGLA,Ben,ben,0,13,13,130,0,1,1,1,4,0.75,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RAGLA,,,0,13,13,130,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PILLA,Arm,arm,0,14,14,51,0,0,0,0,7,4.538,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PILLA,Ben,ben,0,14,14,51,0,1,1,1,1,4.624,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PILLA,,,0,14,14,51,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RUSA,Arm,arm,0,15,15,134,0,0,0,0,1,4.266,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RUSA,Ben,ben,0,15,15,134,0,1,1,1,7,4.522,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RUSA,,,0,15,15,134,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STAPPLA,Arm,arm,0,16,16,149,0,0,0,0,7,3.899,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STAPPLA,Ben,ben,0,16,16,149,0,1,1,1,1,1.772,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STAPPLA,,,0,16,16,149,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STUDSA,Arm,arm,0,17,17,155,0,0,0,0,6,6.532,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STUDSA,Ben,ben,0,17,17,155,0,1,1,1,2,0.715,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STUDSA,,,0,17,17,155,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
ILA,Arm,arm,0,18,18,112,0,0,0,0,1,7.507,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
ILA,Ben,ben,0,18,18,112,0,1,1,1,1,0.852,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
ILA,,,0,18,18,112,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KRYPA,Arm,arm,0,19,19,123,0,0,0,0,3,7.691,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KRYPA,Ben,ben,0,19,19,123,0,1,1,1,5,1.957,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KRYPA,,,0,19,19,123,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
DRA,Arm,arm,0,20,20,6,0,0,0,0,7,2.776,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
DRA,Ben,ben,0,20,20,6,0,1,1,1,3,2.797,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
DRA,,,0,20,20,6,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SIGNERA,Arm,arm,0,21,21,68,0,0,0,0,7,2.908,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SIGNERA,Ben,ben,0,21,21,68,0,1,1,1,1,2.156,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SIGNERA,,,0,21,21,68,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLICKA,Arm,arm,0,22,22,33,0,0,0,0,7,4.989,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLICKA,Ben,ben,0,22,22,33,0,1,1,1,1,0.867,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLICKA,,,0,22,22,33,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLÄTTRA,Arm,arm,0,23,23,116,0,0,0,0,7,3.631,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLÄTTRA,Ben,ben,0,23,23,116,0,1,1,1,3,2.56,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLÄTTRA,,,0,23,23,116,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
