word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
PUSH,Arm,arm,0,0,0,35,0,0,0,0,7,5.58,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PUSH,Leg,leg,0,0,0,35,0,1,1,1,1,14.956,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PUSH,,,0,0,0,35,,,,,,,return,12.880643809,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STOMP,Arm,arm,0,1,1,104,0,0,0,0,1,3.931,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STOMP,Leg,leg,0,1,1,104,0,1,1,1,7,2.461,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STOMP,,,0,1,1,104,,,,,,,return,5.80314721386,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BIND,Arm,arm,0,2,2,1,0,0,0,0,6,6.079,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BIND,Leg,leg,0,2,2,1,0,1,1,1,2,2.043,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BIND,,,0,2,2,1,,,,,,,return,3.60732369079,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
KNEEL,Arm,arm,0,3,3,76,0,0,0,0,1,5.209,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
KNEEL,Leg,leg,0,3,3,76,0,1,1,1,7,2.208,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
KNEEL,,,0,3,3,76,,,,,,,return,7.1113310999,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HOBBLE,Arm,arm,0,4,4,70,0,0,0,0,4,5.477,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HOBBLE,Leg,leg,0,4,4,70,0,1,1,1,4,0.498,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HOBBLE,,,0,4,4,70,,,,,,,return,1.99600306132,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STRUT,Arm,arm,0,5,5,109,0,0,0,0,1,4.068,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STRUT,Leg,leg,0,5,5,109,0,1,1,1,7,1.303,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STRUT,,,0,5,5,109,,,,,,,return,6.35666672067,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
RAMBLE,Arm,arm,0,6,6,86,0,0,0,0,4,3.145,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
RAMBLE,Leg,leg,0,6,6,86,0,1,1,1,4,0.43,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
