item_number_,item,correct_ans
0,platery,n
0,denial,y
0,generic,y
1,mensible,n
2,scornful,y
3,stoutly,y
4,ablaze,y
5,kermshaw,n
6,moonlit,y
7,lofty,y
8,hurricane,y
9,flaw,y
10,alberation,n
11,unkempt,y
12,breeding,y
13,festivity,y
14,screech,y
15,savoury,y
16,plaudate,n
17,shin,y
18,fluid,y
19,spaunch,n
20,allied,y
21,slain,y
22,recipient,y
23,exprate,n
24,eloquence,y
25,cleanliness,y
26,dispatch,y
27,rebondicate,n
28,ingenious,y
29,bewitch,y
30,skave,n
31,plaintively,y
32,kilp,n
33,interfate,n
34,hasty,y
35,lengthy,y
36,fray,y
37,crumper,n
38,upkeep,y
39,majestic,y
40,magrity,n
41,nourishment,y
42,abergy,n
43,proom,n
44,turmoil,y
45,carbohydrate,y
46,scholar,y
47,turtle,y
48,fellick,n
49,destription,n
50,cylinder,y
51,censorship,y
52,celestial,y
53,rascal,y
54,purrage,n
55,pulsh,n
56,muddy,y
57,quirty,n
58,pudour,n
59,listless,y
60,wrought,y
