original_order_appendix,word_category,word,cognate_Swe_bin,cognate_Swe_which,in_original_study_S&P,L2_norms_collected,Arm_rating_June2018,Leg_rating_June2018,arm_minus_leg_bias_June2018,bias_absol_June2018,frequency (Zipf; subtlex),DomPoS (dominant part of speech; subtlex),comment
2,arm,bash,0,,yes,yes,6.588235294,1.294117647,5.294117647,5.294117647,3.71,noun,
20,arm,bind,1,binda,yes,yes,6.529411765,1.941176471,4.588235294,4.588235294,3.48,noun,
14,arm,braid,0,,yes,yes,6.235294118,1.294117647,4.941176471,4.941176471,2.59,noun,
-99,arm,brush,0,,no,yes,6.823529412,1.176470588,5.647058824,5.647058824,4.29,noun,
13,arm,carve,1,karva,yes,yes,6.764705882,1.294117647,5.470588235,5.470588235,3.57,verb,
-99,arm,catch,0,,no,yes,6.117647059,1.411764706,4.705882353,4.705882353,5.04,verb,
3,arm,chop,0,,yes,yes,6.882352941,1.235294118,5.647058824,5.647058824,4.3,verb,
4,arm,clap,1,klappa,yes,yes,7,1,6,6,3.95,verb,
-99,arm,claw,1,klösa,no,yes,6.176470588,1.823529412,4.352941176,4.352941176,4.22,name,
28,arm,clean,0,,yes,yes,6.294117647,1.823529412,4.470588235,4.470588235,4.97,adjective,
10,arm,click,1,klicka,yes,yes,6.705882353,1,5.705882353,5.705882353,4.06,noun,
-99,arm,clutch,0,,no,yes,6.411764706,1.764705882,4.647058824,4.647058824,3.54,noun,
-99,arm,cut,0,,no,yes,6.470588235,1.058823529,5.411764706,5.411764706,5.35,verb,
29,arm,dig,0,,yes,yes,6.764705882,1.941176471,4.823529412,4.823529412,4.44,verb,
22,arm,dunk,1,dunka,yes,yes,6.705882353,2.470588235,4.235294118,4.235294118,3.49,name,
23,arm,file,1,fila,yes,yes,5.764705882,1.588235294,4.176470588,4.176470588,4.08,noun,
32,arm,fold,0,,yes,yes,6.529411765,2.529411765,4,4,4.04,verb,
-99,arm,gesture,1,gestikulera,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180828): synonym of sign; can be a noun as well, but keeps its arm association"
7,arm,grab,1,grabba,yes,yes,7,1.411764706,5.588235294,5.588235294,4.55,verb,
30,arm,grasp,0,,yes,yes,6.235294118,1.235294118,5,5,3.77,noun,
12,arm,grate,0,,yes,yes,5.823529412,1.529411765,4.294117647,4.294117647,3.43,verb,
9,arm,grip,1,"gripa, greppa",yes,yes,7,1.941176471,5.058823529,5.058823529,4.14,noun,
17,arm,hack,1,hacka,yes,yes,6.470588235,1.352941176,5.117647059,5.117647059,3.5,verb,
-99,arm,hug,0,,no,no,NA,NA,NA,NA,,,GMM added this after the pilot (180831)
-99,arm,knock,1,knacka,no,yes,6.941176471,1.176470588,5.764705882,5.764705882,4.72,verb,
31,arm,lift,1,lyfta,yes,yes,6.647058824,2.941176471,3.705882353,3.705882353,4.75,verb,
34,arm,nip,1,nypa,yes,yes,6.529411765,1.117647059,5.411764706,5.411764706,3.74,verb,
35,arm,pat,0,,yes,yes,6.647058824,1.176470588,5.470588235,5.470588235,4.8,name,
1,arm,peel,0,,yes,yes,6.470588235,1.058823529,5.411764706,5.411764706,4.03,verb,
-99,arm,pinch,0,,no,yes,6.823529412,1.176470588,5.647058824,5.647058824,4.01,noun,
-99,arm,pluck,1,plocka,no,yes,6.588235294,1,5.588235294,5.588235294,3.38,verb,"I will remove this verb from piloting to have 56 arm-words. I hesitated between pluck and clutch, but pluck is less frequent according to https://books.google.com/ngrams"
-99,arm,poke,0,,no,yes,6.882352941,1.705882353,5.176470588,5.176470588,3.57,verb,
-99,arm,polish,1,polera,no,yes,6.764705882,1.117647059,5.647058824,5.647058824,4.18,adjective,
-99,arm,pull,0,,no,yes,6.941176471,1.882352941,5.058823529,5.058823529,4.94,verb,
-99,arm,punch,0,,no,yes,7,1.235294118,5.764705882,5.764705882,4.32,noun,
-99,arm,push,0,,no,yes,6.764705882,2.411764706,4.352941176,4.352941176,4.92,verb,
-99,arm,row,1,ro,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180723): seems like a natural arm verb to include, but we seem to never have thought about it"
19,arm,rub,0,,yes,yes,6.823529412,1.352941176,5.470588235,5.470588235,4.08,verb,
33,arm,scoop,1,skopa,yes,yes,6.647058824,1.235294118,5.411764706,5.411764706,4.02,verb,
27,arm,scrape,1,skrapa,yes,yes,6.411764706,1.705882353,4.705882353,4.705882353,3.61,verb,
5,arm,scratch,0,,yes,yes,6.882352941,1.235294118,5.647058824,5.647058824,4.39,noun,
8,arm,scrub,1,skrubba,yes,yes,6.647058824,1.588235294,5.058823529,5.058823529,3.69,noun,
21,arm,seize,0,,yes,yes,5.764705882,1.470588235,4.294117647,4.294117647,3.77,verb,
-99,arm,shake,1,skaka,no,yes,6.882352941,2.176470588,4.705882353,4.705882353,4.58,verb,
-99,arm,sign,1,signera,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180828): from Appendix in Sato et al (2008). It is homonymous with the noun ""sign"", though, which has no arm association"
6,arm,skim,1,skumma,yes,yes,5.176470588,1.882352941,3.294117647,3.294117647,2.98,verb,
-99,arm,slap,0,,no,yes,6.588235294,1.352941176,5.235294118,5.235294118,4,noun,
-99,arm,snatch,0,,no,yes,6.647058824,1.176470588,5.470588235,5.470588235,3.46,verb,
-99,arm,squeeze,0,,no,yes,6.823529412,2.352941176,4.470588235,4.470588235,4.36,verb,
24,arm,stab,0,,yes,yes,6.764705882,1,5.764705882,5.764705882,3.87,noun,
16,arm,stir,-99,störa,yes,yes,6.705882353,1,5.705882353,5.705882353,4.18,verb,
