item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,4.04215860663,,,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,space,9.94558441322,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,space,8.03361562344,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
4,training,save,look,stay,print,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,space,8.60372403264,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,space,11.2365065354,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,p,5.03120903244,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
4,training,save,look,stay,print,,,,1,0,1,0,0,0,0,3,,,,,,,,,,,space,4.8811094262,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
3,training,lick,ruin,chew,soothe,,,,1,0,1,0,0,1,1,2,,,,,,,,,,,space,4.07541389335,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
2,training,like,thank,stare,yell,,,,1,0,1,0,0,2,2,1,,,,,,,,,,,space,3.72327482866,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
1,training,wait,bless,blush,sigh,,,,1,0,1,0,0,3,3,0,,,,,,,,,,,space,16.7705947057,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,p,21.5507513732,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
1,training,wait,bless,blush,sigh,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,space,12.8802899762,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
4,training,save,look,stay,print,,,,2,0,2,0,0,1,1,3,,,,,,,,,,,space,4.83028851435,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
2,training,like,thank,stare,yell,,,,2,0,2,0,0,2,2,1,,,,,,,,,,,space,11.6886967269,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
3,training,lick,ruin,chew,soothe,,,,2,0,2,0,0,3,3,2,,,,,,,,,,,space,4.05936666079,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,s,26.7163146403,space,3.3546835477,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,delve,clean,braid,polish,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,0,0,0,,,space,4.22692402822,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stumble,wander,kneel,dance,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,1,1,1,,,space,5.65220315089,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,slide,roam,stroll,strut,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,2,2,2,,,space,10.2807872567,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,inch,scuff,traipse,stamp,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,3,3,3,,,space,5.43393866216,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,snatch,wrap,scratch,squeeze,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,4,4,4,,,space,6.45711637375,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,plod,hop,step,slip,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,5,5,5,,,space,7.27871769119,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,walk,skate,jog,wobble,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,6,6,6,,,space,5.50121771687,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,carve,throw,scrub,knock,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,7,7,7,,,space,9.0733368208,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,shake,brush,skim,pat,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,8,8,8,,,space,4.84713188561,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,tug,pinch,rub,chop,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,9,9,9,,,space,7.26208688698,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,crawl,sprint,slither,mount,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,10,10,10,,,space,4.49502838047,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,bounce,glide,run,trip,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,11,11,11,,,space,4.69642460626,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grip,bash,nip,claw,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,12,12,12,,,space,5.73617583168,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,stir,bind,push,hack,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,13,13,13,,,space,3.67250251485,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,roll,stomp,tread,prance,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,14,14,14,,,space,4.81355893362,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,whip,grate,switch,slap,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,15,15,15,,,space,5.09932689732,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,dig,punch,dunk,catch,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,16,16,16,,,space,6.96028512434,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,sneak,creep,stagger,climb,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,17,17,17,,,space,5.18246748475,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
