word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,57.3747219366,,,,,,,,,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
,,,,,,,,,,,,,,,,,,,,space,16.4194139788,,,,,,,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
,,,,,,,,,,,,,,,,,,,,,,space,11.2035605544,,,,,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
,,,,,,,,,,,,,,,,,,,,,,,,space,63.0437168942,,,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GRAB,gripa tag i,fästa ihop,smälla till,3,fästa ihop,smälla till,gripa tag i,Arm,arm,0,0,0,26,0,0,0,0,,,,,,,,,7,4.859,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GRAB,gripa tag i,fästa ihop,smälla till,3,fästa ihop,smälla till,gripa tag i,Leg,leg,0,0,0,26,0,1,1,1,,,,,,,,,1,3.718,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GRAB,gripa tag i,fästa ihop,smälla till,3,fästa ihop,smälla till,gripa tag i,,,0,0,0,26,,,,,,,,,,,,,,,3,1,3.16999815876,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CARVE,tälja,hacka,riva,1,tälja,riva,hacka,Arm,arm,0,1,1,5,0,0,0,0,,,,,,,,,7,5.089,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CARVE,tälja,hacka,riva,1,tälja,riva,hacka,Leg,leg,0,1,1,5,0,1,1,1,,,,,,,,,1,2.964,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CARVE,tälja,hacka,riva,1,tälja,riva,hacka,,,0,1,1,5,,,,,,,,,,,,,,,1,1,2.83460653096,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
