word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,70.0371073824,,,,,,,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,space,10.8345725509,,,,,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,,,space,8.40276929375,,,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,,,,,space,3.99185941117,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.73401614762,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,rusa fram,luffa runt,gå fram och tillbaka,Arm,arm,0,0,0,45,0,0,0,0,,,,,,,,,,,1,6.831,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,rusa fram,luffa runt,gå fram och tillbaka,Leg,leg,0,0,0,45,0,1,1,1,,,,,,,,,,,7,4.642,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,rusa fram,luffa runt,gå fram och tillbaka,,,0,0,0,45,,,,,,,,,,,,,,,,,3,1,9.49288987546,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SNEAK,smyga,hasa,glida,1,smyga,glida,hasa,Arm,arm,0,1,1,78,0,0,0,0,,,,,,,,,,,1,6.382,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SNEAK,smyga,hasa,glida,1,smyga,glida,hasa,Leg,leg,0,1,1,78,0,1,1,1,,,,,,,,,,,7,1.991,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SNEAK,smyga,hasa,glida,1,smyga,glida,hasa,,,0,1,1,78,,,,,,,,,,,,,,,,,1,1,2.09668346966,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,Arm,arm,0,2,2,70,0,0,0,0,,,,,,,,,,,1,4.051,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,Leg,leg,0,2,2,70,0,1,1,1,,,,,,,,,,,7,2.092,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,,,0,2,2,70,,,,,,,,,,,,,,,,,3,1,6.02108065991,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,Arm,arm,0,3,3,37,0,0,0,0,,,,,,,,,,,1,5.024,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,Leg,leg,0,3,3,37,0,1,1,1,,,,,,,,,,,7,1.941,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,,,0,3,3,37,,,,,,,,,,,,,,,,,2,1,2.96875654413,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DELVE,gräva,plöja,rensa,3,rensa,plöja,gräva,Arm,arm,0,4,4,18,0,0,0,0,,,,,,,,,,,4,9.245,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
