word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,250.155713432,,,,,,,,,,,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
,,,,,,,,,,,,,,,,,,,,space,28.4275746289,,,,,,,,,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
,,,,,,,,,,,,,,,,,,,,,,space,13.4509136267,,,,,,,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
,,,,,,,,,,,,,,,,,,,,,,,,space,18.6498810529,,,,,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.02988829917,,,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
HIKE,vandra,flanera,lunka,1,vandra,lunka,flanera,Leg,leg,0,0,0,31,0,0,0,0,,,,,,,,,,,7,26.351,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
HIKE,vandra,flanera,lunka,1,vandra,lunka,flanera,Arm,arm,0,0,0,31,0,1,1,1,,,,,,,,,,,2,4.969,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
HIKE,vandra,flanera,lunka,1,vandra,lunka,flanera,,,0,0,0,31,,,,,,,,,,,,,,,,,return,74.5141454398,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PAT,klappa,slå,borsta,3,borsta,slå,klappa,Leg,leg,0,1,1,46,0,0,0,0,,,,,,,,,,,1,7.887,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PAT,klappa,slå,borsta,3,borsta,slå,klappa,Arm,arm,0,1,1,46,0,1,1,1,,,,,,,,,,,7,7.727,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PAT,klappa,slå,borsta,3,borsta,slå,klappa,,,0,1,1,46,,,,,,,,,,,,,,,,,return,5.98802745365,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
LEAP,hoppa,stega,kliva,3,stega,kliva,hoppa,Leg,leg,0,2,2,39,0,0,0,0,,,,,,,,,,,7,11.623,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
LEAP,hoppa,stega,kliva,3,stega,kliva,hoppa,Arm,arm,0,2,2,39,0,1,1,1,,,,,,,,,,,2,14.905,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
LEAP,hoppa,stega,kliva,3,stega,kliva,hoppa,,,0,2,2,39,,,,,,,,,,,,,,,,,return,62.8246679023,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WALK,gå,promenera,marschera,1,gå,promenera,marschera,Leg,leg,0,3,3,105,0,0,0,0,,,,,,,,,,,7,5.267,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WALK,gå,promenera,marschera,1,gå,promenera,marschera,Arm,arm,0,3,3,105,0,1,1,1,,,,,,,,,,,2,2.93,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WALK,gå,promenera,marschera,1,gå,promenera,marschera,,,0,3,3,105,,,,,,,,,,,,,,,,,return,2.46561320481,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WOBBLE,vingla,ramla,glida,3,glida,ramla,vingla,Leg,leg,0,4,4,110,0,0,0,0,,,,,,,,,,,5,13.613,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WOBBLE,vingla,ramla,glida,3,glida,ramla,vingla,Arm,arm,0,4,4,110,0,1,1,1,,,,,,,,,,,5,4.673,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WOBBLE,vingla,ramla,glida,3,glida,ramla,vingla,,,0,4,4,110,,,,,,,,,,,,,,,,,return,22.0881690207,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SCRATCH,repa,riva,klösa,2,klösa,repa,riva,Leg,leg,0,5,5,65,0,0,0,0,,,,,,,,,,,1,7.817,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SCRATCH,repa,riva,klösa,2,klösa,repa,riva,Arm,arm,0,5,5,65,0,1,1,1,,,,,,,,,,,7,2.609,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SCRATCH,repa,riva,klösa,2,klösa,repa,riva,,,0,5,5,65,,,,,,,,,,,,,,,,,return,6.08859336607,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,Leg,leg,0,6,6,72,0,0,0,0,,,,,,,,,,,7,8.705,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,Arm,arm,0,6,6,72,0,1,1,1,,,,,,,,,,,2,7.676,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,,,0,6,6,72,,,,,,,,,,,,,,,,,return,25.5093911117,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STAMP,stampa,kliva,skutta,3,skutta,kliva,stampa,Leg,leg,0,7,7,83,0,0,0,0,,,,,,,,,,,1,17.764,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STAMP,stampa,kliva,skutta,3,skutta,kliva,stampa,Arm,arm,0,7,7,83,0,1,1,1,,,,,,,,,,,7,6.417,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STAMP,stampa,kliva,skutta,3,skutta,kliva,stampa,,,0,7,7,83,,,,,,,,,,,,,,,,,return,4.86437383172,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
RUN,springa,rusa,jogga,1,springa,jogga,rusa,Leg,leg,0,8,8,61,0,0,0,0,,,,,,,,,,,7,4.952,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
RUN,springa,rusa,jogga,1,springa,jogga,rusa,Arm,arm,0,8,8,61,0,1,1,1,,,,,,,,,,,1,7.257,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
RUN,springa,rusa,jogga,1,springa,jogga,rusa,,,0,8,8,61,,,,,,,,,,,,,,,,,return,4.31103807769,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
KICK,sparka,knäa,tåa,2,knäa,sparka,tåa,Leg,leg,0,9,9,36,0,0,0,0,,,,,,,,,,,7,3.307,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
KICK,sparka,knäa,tåa,2,knäa,sparka,tåa,Arm,arm,0,9,9,36,0,1,1,1,,,,,,,,,,,1,3.366,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
KICK,sparka,knäa,tåa,2,knäa,sparka,tåa,,,0,9,9,36,,,,,,,,,,,,,,,,,return,2.93565516917,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRASP,gripa,klämma,omfamna,1,gripa,omfamna,klämma,Leg,leg,0,10,10,27,0,0,0,0,,,,,,,,,,,1,5.936,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRASP,gripa,klämma,omfamna,1,gripa,omfamna,klämma,Arm,arm,0,10,10,27,0,1,1,1,,,,,,,,,,,7,5.562,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRASP,gripa,klämma,omfamna,1,gripa,omfamna,klämma,,,0,10,10,27,,,,,,,,,,,,,,,,,return,14.3231983001,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,Leg,leg,0,11,11,94,0,0,0,0,,,,,,,,,,,2,3.686,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,Arm,arm,0,11,11,94,0,1,1,1,,,,,,,,,,,7,1.889,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,,,0,11,11,94,,,,,,,,,,,,,,,,,return,10.1132235751,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
ROLL,vingla,snubbla,svassa,2,svassa,vingla,snubbla,Leg,leg,0,12,12,59,0,0,0,0,,,,,,,,,,,4,12.291,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
ROLL,vingla,snubbla,svassa,2,svassa,vingla,snubbla,Arm,arm,0,12,12,59,0,1,1,1,,,,,,,,,,,4,1.957,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
ROLL,vingla,snubbla,svassa,2,svassa,vingla,snubbla,,,0,12,12,59,,,,,,,,,,,,,,,,,return,5.33394719863,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRATE,riva,hugga,rispa,1,riva,hugga,rispa,Leg,leg,0,13,13,28,0,0,0,0,,,,,,,,,,,1,5.269,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRATE,riva,hugga,rispa,1,riva,hugga,rispa,Arm,arm,0,13,13,28,0,1,1,1,,,,,,,,,,,7,4.925,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRATE,riva,hugga,rispa,1,riva,hugga,rispa,,,0,13,13,28,,,,,,,,,,,,,,,,,return,4.00913093348,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
ROAM,ströva omkring,ta sig fram,luffa runt,3,ta sig fram,luffa runt,ströva omkring,Leg,leg,0,14,14,58,0,0,0,0,,,,,,,,,,,7,24.953,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
ROAM,ströva omkring,ta sig fram,luffa runt,3,ta sig fram,luffa runt,ströva omkring,Arm,arm,0,14,14,58,0,1,1,1,,,,,,,,,,,1,1.152,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
ROAM,ströva omkring,ta sig fram,luffa runt,3,ta sig fram,luffa runt,ströva omkring,,,0,14,14,58,,,,,,,,,,,,,,,,,return,64.4514896934,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
DANCE,dansa,snurra,svänga,1,dansa,svänga,snurra,Leg,leg,0,15,15,17,0,0,0,0,,,,,,,,,,,7,3.805,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
DANCE,dansa,snurra,svänga,1,dansa,svänga,snurra,Arm,arm,0,15,15,17,0,1,1,1,,,,,,,,,,,5,4.018,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
DANCE,dansa,snurra,svänga,1,dansa,svänga,snurra,,,0,15,15,17,,,,,,,,,,,,,,,,,return,1.25855950931,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TIPTOE,gå på tå,snava,sparka,3,snava,sparka,gå på tå,Leg,leg,0,16,16,95,0,0,0,0,,,,,,,,,,,7,4.945,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TIPTOE,gå på tå,snava,sparka,3,snava,sparka,gå på tå,Arm,arm,0,16,16,95,0,1,1,1,,,,,,,,,,,2,2.173,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TIPTOE,gå på tå,snava,sparka,3,snava,sparka,gå på tå,,,0,16,16,95,,,,,,,,,,,,,,,,,return,5.90544051124,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PEEL,skala,rensa,plocka,3,rensa,plocka,skala,Leg,leg,0,17,17,47,0,0,0,0,,,,,,,,,,,1,5.701,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PEEL,skala,rensa,plocka,3,rensa,plocka,skala,Arm,arm,0,17,17,47,0,1,1,1,,,,,,,,,,,7,0.8,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PEEL,skala,rensa,plocka,3,rensa,plocka,skala,,,0,17,17,47,,,,,,,,,,,,,,,,,return,1.51021174994,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PUSH,knuffa,kasta,klämma,3,kasta,klämma,knuffa,Leg,leg,0,18,18,56,0,0,0,0,,,,,,,,,,,2,3.411,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PUSH,knuffa,kasta,klämma,3,kasta,klämma,knuffa,Arm,arm,0,18,18,56,0,1,1,1,,,,,,,,,,,7,1.772,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PUSH,knuffa,kasta,klämma,3,kasta,klämma,knuffa,,,0,18,18,56,,,,,,,,,,,,,,,,,return,3.45564582883,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CREEP,krypa,knäböja,klättra,3,klättra,knäböja,krypa,Leg,leg,0,19,19,15,0,0,0,0,,,,,,,,,,,7,14.34,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CREEP,krypa,knäböja,klättra,3,klättra,knäböja,krypa,Arm,arm,0,19,19,15,0,1,1,1,,,,,,,,,,,6,3.248,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CREEP,krypa,knäböja,klättra,3,klättra,knäböja,krypa,,,0,19,19,15,,,,,,,,,,,,,,,,,return,5.23337140852,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PRANCE,kråma sig,promenera,traska,2,promenera,kråma sig,traska,Leg,leg,0,20,20,53,0,0,0,0,,,,,,,,,,,4,10.851,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PRANCE,kråma sig,promenera,traska,2,promenera,kråma sig,traska,Arm,arm,0,20,20,53,0,1,1,1,,,,,,,,,,,4,0.732,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
PRANCE,kråma sig,promenera,traska,2,promenera,kråma sig,traska,,,0,20,20,53,,,,,,,,,,,,,,,,,return,3.85816471793,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CLUTCH,gripa tag i,sätta ihop,dra ut,3,dra ut,sätta ihop,gripa tag i,Leg,leg,0,21,21,13,0,0,0,0,,,,,,,,,,,2,11.086,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CLUTCH,gripa tag i,sätta ihop,dra ut,3,dra ut,sätta ihop,gripa tag i,Arm,arm,0,21,21,13,0,1,1,1,,,,,,,,,,,7,1.637,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CLUTCH,gripa tag i,sätta ihop,dra ut,3,dra ut,sätta ihop,gripa tag i,,,0,21,21,13,,,,,,,,,,,,,,,,,return,7.49710840603,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WADE,vada,pulsa,plöja,3,plöja,pulsa,vada,Leg,leg,0,22,22,104,0,0,0,0,,,,,,,,,,,7,3.174,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WADE,vada,pulsa,plöja,3,plöja,pulsa,vada,Arm,arm,0,22,22,104,0,1,1,1,,,,,,,,,,,1,0.831,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
WADE,vada,pulsa,plöja,3,plöja,pulsa,vada,,,0,22,22,104,,,,,,,,,,,,,,,,,return,2.01326059668,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TREAD,trampa,stampa,klampa,3,stampa,klampa,trampa,Leg,leg,0,23,23,98,0,0,0,0,,,,,,,,,,,4,19.171,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TREAD,trampa,stampa,klampa,3,stampa,klampa,trampa,Arm,arm,0,23,23,98,0,1,1,1,,,,,,,,,,,4,1.134,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TREAD,trampa,stampa,klampa,3,stampa,klampa,trampa,,,0,23,23,98,,,,,,,,,,,,,,,,,return,1.67782739889,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SEIZE,fånga,klämma,fästa,3,fästa,klämma,fånga,Leg,leg,0,24,24,68,0,0,0,0,,,,,,,,,,,4,7.271,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SEIZE,fånga,klämma,fästa,3,fästa,klämma,fånga,Arm,arm,0,24,24,68,0,1,1,1,,,,,,,,,,,4,1.032,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SEIZE,fånga,klämma,fästa,3,fästa,klämma,fånga,,,0,24,24,68,,,,,,,,,,,,,,,,,return,6.92720421564,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STAB,sticka,hacka,skära,1,sticka,hacka,skära,Leg,leg,0,25,25,81,0,0,0,0,,,,,,,,,,,1,5.629,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STAB,sticka,hacka,skära,1,sticka,hacka,skära,Arm,arm,0,25,25,81,0,1,1,1,,,,,,,,,,,7,6.72,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STAB,sticka,hacka,skära,1,sticka,hacka,skära,,,0,25,25,81,,,,,,,,,,,,,,,,,return,3.27077267611,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRIP,gripa om,hålla om,kasta om,2,hålla om,gripa om,kasta om,Leg,leg,0,26,26,29,0,0,0,0,,,,,,,,,,,1,11.475,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRIP,gripa om,hålla om,kasta om,2,hålla om,gripa om,kasta om,Arm,arm,0,26,26,29,0,1,1,1,,,,,,,,,,,7,39.474,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GRIP,gripa om,hålla om,kasta om,2,hålla om,gripa om,kasta om,,,0,26,26,29,,,,,,,,,,,,,,,,,return,16.2518821932,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
RUB,gnugga,riva,klappa,2,klappa,gnugga,riva,Leg,leg,0,27,27,60,0,0,0,0,,,,,,,,,,,1,9.935,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
RUB,gnugga,riva,klappa,2,klappa,gnugga,riva,Arm,arm,0,27,27,60,0,1,1,1,,,,,,,,,,,7,9.806,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
RUB,gnugga,riva,klappa,2,klappa,gnugga,riva,,,0,27,27,60,,,,,,,,,,,,,,,,,return,4.84758690092,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
DIG,gräva,dränera,dika,1,gräva,dika,dränera,Leg,leg,0,28,28,19,0,0,0,0,,,,,,,,,,,2,3.342,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
DIG,gräva,dränera,dika,1,gräva,dika,dränera,Arm,arm,0,28,28,19,0,1,1,1,,,,,,,,,,,7,1.504,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
DIG,gräva,dränera,dika,1,gräva,dika,dränera,,,0,28,28,19,,,,,,,,,,,,,,,,,return,1.17302467012,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
POKE,peta,trycka,knuffa,1,peta,knuffa,trycka,Leg,leg,0,29,29,51,0,0,0,0,,,,,,,,,,,1,3.295,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
POKE,peta,trycka,knuffa,1,peta,knuffa,trycka,Arm,arm,0,29,29,51,0,1,1,1,,,,,,,,,,,7,1.536,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
POKE,peta,trycka,knuffa,1,peta,knuffa,trycka,,,0,29,29,51,,,,,,,,,,,,,,,,,return,1.00696455926,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GLIDE,glida,hasa,snava,2,hasa,glida,snava,Leg,leg,0,30,30,25,0,0,0,0,,,,,,,,,,,4,3.926,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GLIDE,glida,hasa,snava,2,hasa,glida,snava,Arm,arm,0,30,30,25,0,1,1,1,,,,,,,,,,,2,5.326,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
GLIDE,glida,hasa,snava,2,hasa,glida,snava,,,0,30,30,25,,,,,,,,,,,,,,,,,return,1.82824322973,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SLIP,halka,snava,ramla,1,halka,ramla,snava,Leg,leg,0,31,31,75,0,0,0,0,,,,,,,,,,,7,3.875,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SLIP,halka,snava,ramla,1,halka,ramla,snava,Arm,arm,0,31,31,75,0,1,1,1,,,,,,,,,,,4,2.309,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SLIP,halka,snava,ramla,1,halka,ramla,snava,,,0,31,31,75,,,,,,,,,,,,,,,,,return,1.47667700399,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,Leg,leg,0,32,32,100,0,0,0,0,,,,,,,,,,,7,16.015,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,Arm,arm,0,32,32,100,0,1,1,1,,,,,,,,,,,2,4.741,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,,,0,32,32,100,,,,,,,,,,,,,,,,,return,27.6728470693,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
HACK,hacka,skära,kåpa,2,skära,hacka,kåpa,Leg,leg,0,33,33,30,0,0,0,0,,,,,,,,,,,1,15.352,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
HACK,hacka,skära,kåpa,2,skära,hacka,kåpa,Arm,arm,0,33,33,30,0,1,1,1,,,,,,,,,,,6,10.912,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
HACK,hacka,skära,kåpa,2,skära,hacka,kåpa,,,0,33,33,30,,,,,,,,,,,,,,,,,return,52.7621551848,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SPRINT,spurta,springa,löpa,2,springa,spurta,löpa,Leg,leg,0,34,34,79,0,0,0,0,,,,,,,,,,,7,5.067,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
