item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,930.59224469,,,,,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.08626093814,,,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
4,training,save,look,stay,print,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,space,7.11127380887,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,space,4.76330307708,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,space,4.52846831035,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,space,6.35700216955,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,7.06091933541,space,1.27501000617,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,wander,hike,traipse,stamp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,space,9.56019055393,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,pinch,poke,pull,stab,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,space,4.12720308724,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,scoop,knock,claw,peel,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,space,5.55095405378,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,trek,kneel,kick,flit,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,space,8.48646054801,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,hack,push,click,switch,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,space,9.52640109177,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,scrub,fold,punch,throw,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,space,4.29334353245,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,wipe,bind,clutch,bash,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,space,7.73187756155,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,inch,leap,slither,pace,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,space,4.36091771546,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,shake,twine,delve,rub,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,space,4.44447925808,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,stroll,stumble,sway,march,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,space,5.16588955,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,skate,crawl,tread,mount,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,space,8.43630481517,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,dunk,carve,file,stir,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,space,7.02731280944,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,stride,prance,creep,stray,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,space,5.29998099518,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,dance,tiptoe,slip,step,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,space,4.47808341338,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,catch,tug,grab,slap,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,space,12.2769586916,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,scuff,trudge,roam,wade,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,space,9.5610815283,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,skim,nip,pat,polish,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,space,6.29007241192,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,brush,clean,toss,dig,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,space,5.31676489774,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,wobble,walk,plod,trip,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,space,11.2369363599,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,clap,scratch,seize,braid,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,space,8.28530421737,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,bounce,jog,trot,sprint,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,space,4.47818732746,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,grate,cut,chop,grasp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,space,6.87666465028,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,lift,whip,squeeze,wash,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,22,22,22,,,,,space,5.1315090024,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,skip,roll,flee,stomp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,23,23,23,,,,,space,5.04975627603,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,glide,jump,slide,climb,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,24,24,24,,,,,space,4.51172510418,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,run,strut,sneak,hop,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,25,25,25,,,,,space,4.93101803798,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,grip,scrape,snatch,wrap,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,26,26,26,,,,,space,8.75486983674,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,ramble,rush,stagger,limp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,27,27,27,,,,,space,8.78855419949,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,,,,,,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,march,kneel,trot,sneak,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,0,0,0,,,,,space,7.24526371063,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,braid,tug,scrape,peel,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,1,1,1,,,,,space,10.4486856054,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,lift,cut,clap,pinch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,2,2,2,,,,,space,5.06626952785,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,wander,roam,scuff,stamp,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,3,3,3,,,,,space,6.44073360973,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,skim,wash,dunk,grab,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,4,4,4,,,,,space,5.03154325848,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,pat,nip,brush,whip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,5,5,5,,,,,space,6.00432448536,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,glide,sway,plod,bounce,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,6,6,6,,,,,space,5.95339196511,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,crawl,climb,kick,strut,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,7,7,7,,,,,space,6.32260542242,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,clutch,slap,rub,grip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,8,8,8,,,,,space,7.61410378844,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,leap,hike,slip,inch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,9,9,9,,,,,space,7.01147480162,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,skate,rush,stray,stumble,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,10,10,10,,,,,space,5.65250063514,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,wipe,carve,stab,seize,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,11,11,11,,,,,space,7.56364698134,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,trip,slither,trek,skip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,12,12,12,,,,,space,13.4004568269,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,wrap,delve,toss,grate,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,13,13,13,,,,,space,4.19312768354,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,walk,stomp,step,slide,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,14,14,14,,,,,space,4.61208635379,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
