word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,36.9633337377,,,,,,,,,,,,,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
,,,,,,,,,,,,,,,,,,,,space,5.51803502023,,,,,,,,,,,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
,,,,,,,,,,,,,,,,,,,,,,space,48.8380931647,,,,,,,,,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
,,,,,,,,,,,,,,,,,,,,,,,,space,15.8992602345,,,,,,,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,22.3058689331,,,,,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.12177545312,,,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
ROAM,ströva omkring,ta sig fram,luffa runt,1,ströva omkring,luffa runt,ta sig fram,Arm,arm,0,0,0,58,0,0,0,0,,,,,,,,,,,,,2,22.784,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
ROAM,ströva omkring,ta sig fram,luffa runt,1,ströva omkring,luffa runt,ta sig fram,Leg,leg,0,0,0,58,0,1,1,1,,,,,,,,,,,,,5,5.329,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
ROAM,ströva omkring,ta sig fram,luffa runt,1,ströva omkring,luffa runt,ta sig fram,,,0,0,0,58,,,,,,,,,,,,,,,,,,,return,18.0293112788,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
JUMP,hoppa,kliva,lyfta,2,kliva,hoppa,lyfta,Arm,arm,0,1,1,35,0,0,0,0,,,,,,,,,,,,,1,7.907,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
JUMP,hoppa,kliva,lyfta,2,kliva,hoppa,lyfta,Leg,leg,0,1,1,35,0,1,1,1,,,,,,,,,,,,,7,5.413,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
JUMP,hoppa,kliva,lyfta,2,kliva,hoppa,lyfta,,,0,1,1,35,,,,,,,,,,,,,,,,,,,return,4.93106979747,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,Arm,arm,0,2,2,88,0,0,0,0,,,,,,,,,,,,,1,12.869,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,Leg,leg,0,2,2,88,0,1,1,1,,,,,,,,,,,,,7,1.806,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,,,0,2,2,88,,,,,,,,,,,,,,,,,,,return,6.82614185971,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCRAPE,skrapa,rispa,klösa,2,klösa,skrapa,rispa,Arm,arm,0,3,3,64,0,0,0,0,,,,,,,,,,,,,5,29.307,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCRAPE,skrapa,rispa,klösa,2,klösa,skrapa,rispa,Leg,leg,0,3,3,64,0,1,1,1,,,,,,,,,,,,,5,1.589,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCRAPE,skrapa,rispa,klösa,2,klösa,skrapa,rispa,,,0,3,3,64,,,,,,,,,,,,,,,,,,,return,4.07571741217,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCRATCH,repa,riva,klösa,2,klösa,repa,riva,Arm,arm,0,4,4,65,0,0,0,0,,,,,,,,,,,,,6,14.112,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCRATCH,repa,riva,klösa,2,klösa,repa,riva,Leg,leg,0,4,4,65,0,1,1,1,,,,,,,,,,,,,1,5.294,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCRATCH,repa,riva,klösa,2,klösa,repa,riva,,,0,4,4,65,,,,,,,,,,,,,,,,,,,return,3.15337244665,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
LEAP,hoppa,stega,kliva,2,kliva,hoppa,stega,Arm,arm,0,5,5,39,0,0,0,0,,,,,,,,,,,,,1,15.003,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
LEAP,hoppa,stega,kliva,2,kliva,hoppa,stega,Leg,leg,0,5,5,39,0,1,1,1,,,,,,,,,,,,,7,1.17,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
LEAP,hoppa,stega,kliva,2,kliva,hoppa,stega,,,0,5,5,39,,,,,,,,,,,,,,,,,,,return,4.66278022725,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SPRINT,spurta,springa,löpa,1,spurta,löpa,springa,Arm,arm,0,6,6,79,0,0,0,0,,,,,,,,,,,,,3,10.219,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SPRINT,spurta,springa,löpa,1,spurta,löpa,springa,Leg,leg,0,6,6,79,0,1,1,1,,,,,,,,,,,,,7,7.02,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SPRINT,spurta,springa,löpa,1,spurta,löpa,springa,,,0,6,6,79,,,,,,,,,,,,,,,,,,,return,11.3712277311,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STEP,gå,klampa,traska,1,gå,klampa,traska,Arm,arm,0,7,7,84,0,0,0,0,,,,,,,,,,,,,1,7.64,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STEP,gå,klampa,traska,1,gå,klampa,traska,Leg,leg,0,7,7,84,0,1,1,1,,,,,,,,,,,,,7,0.6,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STEP,gå,klampa,traska,1,gå,klampa,traska,,,0,7,7,84,,,,,,,,,,,,,,,,,,,return,12.159397488,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BASH,slå,knuffa,trycka,1,slå,trycka,knuffa,Arm,arm,0,8,8,0,0,0,0,0,,,,,,,,,,,,,7,5.125,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BASH,slå,knuffa,trycka,1,slå,trycka,knuffa,Leg,leg,0,8,8,0,0,1,1,1,,,,,,,,,,,,,1,7.057,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BASH,slå,knuffa,trycka,1,slå,trycka,knuffa,,,0,8,8,0,,,,,,,,,,,,,,,,,,,return,4.71308491677,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
WASH,tvätta,skura,sopa,2,sopa,tvätta,skura,Arm,arm,0,9,9,107,0,0,0,0,,,,,,,,,,,,,6,12.588,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
WASH,tvätta,skura,sopa,2,sopa,tvätta,skura,Leg,leg,0,9,9,107,0,1,1,1,,,,,,,,,,,,,1,1.874,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
WASH,tvätta,skura,sopa,2,sopa,tvätta,skura,,,0,9,9,107,,,,,,,,,,,,,,,,,,,return,3.89118614963,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
KICK,sparka,knäa,tåa,1,sparka,knäa,tåa,Arm,arm,0,10,10,36,0,0,0,0,,,,,,,,,,,,,1,3.599,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
KICK,sparka,knäa,tåa,1,sparka,knäa,tåa,Leg,leg,0,10,10,36,0,1,1,1,,,,,,,,,,,,,7,0.6,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
KICK,sparka,knäa,tåa,1,sparka,knäa,tåa,,,0,10,10,36,,,,,,,,,,,,,,,,,,,return,4.8639183828,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
DIG,gräva,dränera,dika,1,gräva,dränera,dika,Arm,arm,0,11,11,19,0,0,0,0,,,,,,,,,,,,,7,6.531,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
DIG,gräva,dränera,dika,1,gräva,dränera,dika,Leg,leg,0,11,11,19,0,1,1,1,,,,,,,,,,,,,3,2.377,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
DIG,gräva,dränera,dika,1,gräva,dränera,dika,,,0,11,11,19,,,,,,,,,,,,,,,,,,,return,2.66701067628,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
GRIP,gripa om,hålla om,kasta om,3,hålla om,kasta om,gripa om,Arm,arm,0,12,12,29,0,0,0,0,,,,,,,,,,,,,7,5.543,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
GRIP,gripa om,hålla om,kasta om,3,hålla om,kasta om,gripa om,Leg,leg,0,12,12,29,0,1,1,1,,,,,,,,,,,,,3,3.299,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
GRIP,gripa om,hålla om,kasta om,3,hålla om,kasta om,gripa om,,,0,12,12,29,,,,,,,,,,,,,,,,,,,return,3.10311991172,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,Arm,arm,0,13,13,37,0,0,0,0,,,,,,,,,,,,,1,6.063,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,Leg,leg,0,13,13,37,0,1,1,1,,,,,,,,,,,,,7,1.369,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,,,0,13,13,37,,,,,,,,,,,,,,,,,,,return,5.61877083468,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BOUNCE,studsa,dunka,kasta,2,kasta,studsa,dunka,Arm,arm,0,14,14,2,0,0,0,0,,,,,,,,,,,,,2,7.789,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BOUNCE,studsa,dunka,kasta,2,kasta,studsa,dunka,Leg,leg,0,14,14,2,0,1,1,1,,,,,,,,,,,,,7,2.492,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BOUNCE,studsa,dunka,kasta,2,kasta,studsa,dunka,,,0,14,14,2,,,,,,,,,,,,,,,,,,,return,3.0695414386,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
FOLD,vika ihop,knyta ihop,bunta ihop,1,vika ihop,bunta ihop,knyta ihop,Arm,arm,0,15,15,24,0,0,0,0,,,,,,,,,,,,,5,9.871,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
FOLD,vika ihop,knyta ihop,bunta ihop,1,vika ihop,bunta ihop,knyta ihop,Leg,leg,0,15,15,24,0,1,1,1,,,,,,,,,,,,,1,1.891,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
FOLD,vika ihop,knyta ihop,bunta ihop,1,vika ihop,bunta ihop,knyta ihop,,,0,15,15,24,,,,,,,,,,,,,,,,,,,return,3.23723071732,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SLIP,halka,snava,ramla,3,ramla,snava,halka,Arm,arm,0,16,16,75,0,0,0,0,,,,,,,,,,,,,2,14.114,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SLIP,halka,snava,ramla,3,ramla,snava,halka,Leg,leg,0,16,16,75,0,1,1,1,,,,,,,,,,,,,7,1.387,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SLIP,halka,snava,ramla,3,ramla,snava,halka,,,0,16,16,75,,,,,,,,,,,,,,,,,,,return,2.59992722063,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
LIFT,lyfta,pressa,öka,1,lyfta,öka,pressa,Arm,arm,0,17,17,40,0,0,0,0,,,,,,,,,,,,,6,15.959,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
LIFT,lyfta,pressa,öka,1,lyfta,öka,pressa,Leg,leg,0,17,17,40,0,1,1,1,,,,,,,,,,,,,4,2.797,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
LIFT,lyfta,pressa,öka,1,lyfta,öka,pressa,,,0,17,17,40,,,,,,,,,,,,,,,,,,,return,5.09878357304,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STROLL,strosa,trava,marschera,2,marschera,strosa,trava,Arm,arm,0,18,18,89,0,0,0,0,,,,,,,,,,,,,1,9.552,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STROLL,strosa,trava,marschera,2,marschera,strosa,trava,Leg,leg,0,18,18,89,0,1,1,1,,,,,,,,,,,,,7,6.686,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STROLL,strosa,trava,marschera,2,marschera,strosa,trava,,,0,18,18,89,,,,,,,,,,,,,,,,,,,return,6.35643795164,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
TOSS,slänga,fånga,gripa,1,slänga,gripa,fånga,Arm,arm,0,19,19,96,0,0,0,0,,,,,,,,,,,,,7,4.404,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
TOSS,slänga,fånga,gripa,1,slänga,gripa,fånga,Leg,leg,0,19,19,96,0,1,1,1,,,,,,,,,,,,,1,2.276,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
TOSS,slänga,fånga,gripa,1,slänga,gripa,fånga,,,0,19,19,96,,,,,,,,,,,,,,,,,,,return,2.66705808955,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
PAT,klappa,slå,borsta,1,klappa,slå,borsta,Arm,arm,0,20,20,46,0,0,0,0,,,,,,,,,,,,,7,4.354,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
PAT,klappa,slå,borsta,1,klappa,slå,borsta,Leg,leg,0,20,20,46,0,1,1,1,,,,,,,,,,,,,1,1.858,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
PAT,klappa,slå,borsta,1,klappa,slå,borsta,,,0,20,20,46,,,,,,,,,,,,,,,,,,,return,2.21419893107,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCOOP,skyffla,dika,skrapa,2,dika,skyffla,skrapa,Arm,arm,0,21,21,63,0,0,0,0,,,,,,,,,,,,,6,10.726,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCOOP,skyffla,dika,skrapa,2,dika,skyffla,skrapa,Leg,leg,0,21,21,63,0,1,1,1,,,,,,,,,,,,,1,15.123,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SCOOP,skyffla,dika,skrapa,2,dika,skyffla,skrapa,,,0,21,21,63,,,,,,,,,,,,,,,,,,,return,19.1697628191,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SHAKE,skaka,röra,vispa,2,vispa,skaka,röra,Arm,arm,0,22,22,69,0,0,0,0,,,,,,,,,,,,,7,6.097,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
