item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,609.508596189,,,,,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.75080394809,,,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,space,30.8587137542,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,space,9.0897972182,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,space,8.31874472283,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
4,training,save,look,stay,print,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,space,6.89320795734,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,11.2032828028,space,2.19694841496,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,grasp,scratch,grate,stir,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,space,7.44688450608,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,tread,step,jog,sprint,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,space,8.33563642384,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,stomp,jump,inch,roam,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,space,6.02106918873,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,bind,cut,dunk,nip,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,space,13.3836682475,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skate,kick,slip,stroll,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,space,7.94975714624,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,clap,wipe,switch,hack,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,space,12.8135780797,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,stumble,plod,glide,mount,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,space,10.4491461101,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,wander,wade,scuff,stride,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,space,6.22238395352,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,brush,rub,polish,click,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,space,10.7505226305,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,leap,stray,kneel,slide,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,space,5.97092076602,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,dance,flee,bounce,run,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,space,5.14892646903,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,grip,poke,wrap,fold,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,space,5.93722744886,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,bash,seize,stab,lift,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,space,7.79881443586,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skip,slither,hike,roll,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,space,12.6121684887,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,carve,braid,squeeze,shake,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,space,6.72553870152,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,file,slap,grab,throw,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,space,7.88264787844,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,rush,strut,ramble,trudge,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,space,10.9684189357,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,crawl,sway,wobble,sneak,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,space,11.2204273736,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,skim,pat,catch,dig,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,space,10.7505293473,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,pinch,knock,scrub,pull,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,space,12.4443585741,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,flit,traipse,march,pace,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,space,11.7735160001,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,peel,punch,snatch,push,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,space,6.54103029419,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,prance,walk,tiptoe,climb,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,22,22,22,,,,,space,7.4299592208,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,delve,chop,scoop,tug,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,23,23,23,,,,,space,9.47615062662,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,toss,whip,clean,wash,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,24,24,24,,,,,space,8.43598028722,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,creep,limp,trek,stamp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,25,25,25,,,,,space,12.3772540476,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scrape,clutch,claw,twine,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,26,26,26,,,,,space,11.6395764115,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,trip,stagger,trot,hop,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,27,27,27,,,,,space,6.17207353611,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,,,,,,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,sneak,sprint,leap,hop,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,0,0,0,,,,,space,10.2473975156,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,walk,step,jog,traipse,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,1,1,1,,,,,space,6.17210316929,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,pull,twine,scratch,snatch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,2,2,2,,,,,space,5.28251085463,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,dig,toss,chop,squeeze,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,3,3,3,,,,,space,8.3677358712,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,slide,stamp,stray,trot,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,4,4,4,,,,,space,8.72119171203,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skip,stumble,slip,stride,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,5,5,5,,,,,space,6.00408147622,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,slither,rush,hike,limp,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,6,6,6,,,,,space,12.8976948154,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scrub,clap,slap,whip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,7,7,7,,,,,space,11.053403726,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skate,tread,run,scuff,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,8,8,8,,,,,space,15.2949520476,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,flee,kick,climb,flit,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,9,9,9,,,,,space,6.08718120134,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,glide,trudge,inch,march,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,10,10,10,,,,,space,9.37460207582,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
