word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,22.6908358808,,,,,,,,,,,,,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
,,,,,,,,,,,,,,,,,,,,space,4.84714338151,,,,,,,,,,,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
,,,,,,,,,,,,,,,,,,,,,,space,32.5360396721,,,,,,,,,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
,,,,,,,,,,,,,,,,,,,,,,,,space,19.2701368302,,,,,,,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.56821102931,,,,,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.56634137341,,,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PUSH,knuffa,kasta,klämma,3,kasta,klämma,knuffa,Leg,leg,0,0,0,56,0,0,0,0,,,,,,,,,,,,,1,13.286,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PUSH,knuffa,kasta,klämma,3,kasta,klämma,knuffa,Arm,arm,0,0,0,56,0,1,1,1,,,,,,,,,,,,,7,4.792,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PUSH,knuffa,kasta,klämma,3,kasta,klämma,knuffa,,,0,0,0,56,,,,,,,,,,,,,,,,,,,3,1,4.86401335152,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
RAMBLE,ströva,strutta,spurta,2,strutta,ströva,spurta,Leg,leg,0,1,1,57,0,0,0,0,,,,,,,,,,,,,2,9.112,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
RAMBLE,ströva,strutta,spurta,2,strutta,ströva,spurta,Arm,arm,0,1,1,57,0,1,1,1,,,,,,,,,,,,,2,4.49,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
RAMBLE,ströva,strutta,spurta,2,strutta,ströva,spurta,,,0,1,1,57,,,,,,,,,,,,,,,,,,,1,0,9.67727257821,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,Leg,leg,0,2,2,37,0,0,0,0,,,,,,,,,,,,,7,6.295,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,Arm,arm,0,2,2,37,0,1,1,1,,,,,,,,,,,,,1,4.187,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,,,0,2,2,37,,,,,,,,,,,,,,,,,,,2,1,2.41523745855,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
FOLD,vika ihop,knyta ihop,bunta ihop,3,bunta ihop,knyta ihop,vika ihop,Leg,leg,0,3,3,24,0,0,0,0,,,,,,,,,,,,,1,10.604,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
FOLD,vika ihop,knyta ihop,bunta ihop,3,bunta ihop,knyta ihop,vika ihop,Arm,arm,0,3,3,24,0,1,1,1,,,,,,,,,,,,,7,2.827,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
FOLD,vika ihop,knyta ihop,bunta ihop,3,bunta ihop,knyta ihop,vika ihop,,,0,3,3,24,,,,,,,,,,,,,,,,,,,3,1,3.50556293751,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
TREAD,trampa,stampa,klampa,1,trampa,klampa,stampa,Leg,leg,0,4,4,98,0,0,0,0,,,,,,,,,,,,,1,6.566,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
TREAD,trampa,stampa,klampa,1,trampa,klampa,stampa,Arm,arm,0,4,4,98,0,1,1,1,,,,,,,,,,,,,7,1.838,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
TREAD,trampa,stampa,klampa,1,trampa,klampa,stampa,,,0,4,4,98,,,,,,,,,,,,,,,,,,,2,0,17.6099483711,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STOMP,stampa,stiga,kliva,2,kliva,stampa,stiga,Leg,leg,0,5,5,86,0,0,0,0,,,,,,,,,,,,,7,4.016,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STOMP,stampa,stiga,kliva,2,kliva,stampa,stiga,Arm,arm,0,5,5,86,0,1,1,1,,,,,,,,,,,,,1,3.164,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STOMP,stampa,stiga,kliva,2,kliva,stampa,stiga,,,0,5,5,86,,,,,,,,,,,,,,,,,,,2,1,3.25398674883,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STAB,sticka,hacka,skära,1,sticka,skära,hacka,Leg,leg,0,6,6,81,0,0,0,0,,,,,,,,,,,,,1,5.092,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STAB,sticka,hacka,skära,1,sticka,skära,hacka,Arm,arm,0,6,6,81,0,1,1,1,,,,,,,,,,,,,7,1.372,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
