word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,528.129181421,,,,,,,,,,,,,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
,,,,,,,,,,,,,,,,,,,,space,15.1285172299,,,,,,,,,,,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
,,,,,,,,,,,,,,,,,,,,,,space,24.8053793555,,,,,,,,,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
,,,,,,,,,,,,,,,,,,,,,,,,space,39.1113845758,,,,,,,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.2541892245,,,,,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.66512637017,,,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SLIP,halka,snava,ramla,2,snava,halka,ramla,Arm,arm,0,0,0,75,0,0,0,0,,,,,,,,,,,,,6,18.08,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SLIP,halka,snava,ramla,2,snava,halka,ramla,Leg,leg,0,0,0,75,0,1,1,1,,,,,,,,,,,,,6,37.721,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SLIP,halka,snava,ramla,2,snava,halka,ramla,,,0,0,0,75,,,,,,,,,,,,,,,,,,,2,1,12.1762801188,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SKIM,skumma,vispa,sleva,2,sleva,skumma,vispa,Arm,arm,0,1,1,71,0,0,0,0,,,,,,,,,,,,,2,54.488,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SKIM,skumma,vispa,sleva,2,sleva,skumma,vispa,Leg,leg,0,1,1,71,0,1,1,1,,,,,,,,,,,,,2,8.508,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SKIM,skumma,vispa,sleva,2,sleva,skumma,vispa,,,0,1,1,71,,,,,,,,,,,,,,,,,,,2,1,20.4449752617,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BIND,binda,linda,vinda,1,binda,vinda,linda,Arm,arm,0,2,2,1,0,0,0,0,,,,,,,,,,,,,7,11.122,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BIND,binda,linda,vinda,1,binda,vinda,linda,Leg,leg,0,2,2,1,0,1,1,1,,,,,,,,,,,,,7,7.723,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BIND,binda,linda,vinda,1,binda,vinda,linda,,,0,2,2,1,,,,,,,,,,,,,,,,,,,1,1,6.70940235442,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BASH,slå,knuffa,trycka,2,trycka,slå,knuffa,Arm,arm,0,3,3,0,0,0,0,0,,,,,,,,,,,,,7,14.138,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BASH,slå,knuffa,trycka,2,trycka,slå,knuffa,Leg,leg,0,3,3,0,0,1,1,1,,,,,,,,,,,,,2,10.12,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BASH,slå,knuffa,trycka,2,trycka,slå,knuffa,,,0,3,3,0,,,,,,,,,,,,,,,,,,,2,1,5.03205660599,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TOSS,slänga,fånga,gripa,3,fånga,gripa,slänga,Arm,arm,0,4,4,96,0,0,0,0,,,,,,,,,,,,,7,4.576,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TOSS,slänga,fånga,gripa,3,fånga,gripa,slänga,Leg,leg,0,4,4,96,0,1,1,1,,,,,,,,,,,,,1,2.262,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TOSS,slänga,fånga,gripa,3,fånga,gripa,slänga,,,0,4,4,96,,,,,,,,,,,,,,,,,,,3,1,2.41546676318,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WRAP,slå in,slå ihop,slå till,3,slå ihop,slå till,slå in,Arm,arm,0,5,5,111,0,0,0,0,,,,,,,,,,,,,7,13.573,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WRAP,slå in,slå ihop,slå till,3,slå ihop,slå till,slå in,Leg,leg,0,5,5,111,0,1,1,1,,,,,,,,,,,,,4,7.956,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WRAP,slå in,slå ihop,slå till,3,slå ihop,slå till,slå in,,,0,5,5,111,,,,,,,,,,,,,,,,,,,3,1,6.49095182816,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STAMP,stampa,kliva,skutta,1,stampa,kliva,skutta,Arm,arm,0,6,6,83,0,0,0,0,,,,,,,,,,,,,1,10.849,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STAMP,stampa,kliva,skutta,1,stampa,kliva,skutta,Leg,leg,0,6,6,83,0,1,1,1,,,,,,,,,,,,,7,2.809,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STAMP,stampa,kliva,skutta,1,stampa,kliva,skutta,,,0,6,6,83,,,,,,,,,,,,,,,,,,,1,1,2.44947406019,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Arm,arm,0,7,7,36,0,0,0,0,,,,,,,,,,,,,1,9.576,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Leg,leg,0,7,7,36,0,1,1,1,,,,,,,,,,,,,7,4.715,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
