item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,967.505722189,,,,,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.01958642195,,,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,space,7.09480164856,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,space,8.93896726785,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
4,training,save,look,stay,print,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,space,7.22951420758,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,space,8.45347513589,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,7.14478511318,space,1.44206789817,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,lift,whip,shake,toss,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,0,0,0,,,,,space,11.0859333915,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,run,roam,wobble,mount,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,1,1,1,,,,,space,11.0528480164,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,pinch,claw,pat,clutch,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,2,2,2,,,,,space,14.8594749692,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
