word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,234.423942801,,,,,,,,,,,,,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
,,,,,,,,,,,,,,,,,,,,space,24.9724068801,,,,,,,,,,,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
,,,,,,,,,,,,,,,,,,,,,,space,30.3221990733,,,,,,,,,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
,,,,,,,,,,,,,,,,,,,,,,,,space,14.2052986281,,,,,,,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.3394644792,,,,,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.07747504205,,,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STRUT,svassa,lunka,strosa,2,lunka,svassa,strosa,Arm,arm,0,0,0,90,0,0,0,0,,,,,,,,,,,,,1,9.91,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STRUT,svassa,lunka,strosa,2,lunka,svassa,strosa,Leg,leg,0,0,0,90,0,1,1,1,,,,,,,,,,,,,7,2.829,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STRUT,svassa,lunka,strosa,2,lunka,svassa,strosa,,,0,0,0,90,,,,,,,,,,,,,,,,,,,return,68.7780543091,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRIP,gripa om,hålla om,kasta om,2,kasta om,gripa om,hålla om,Arm,arm,0,1,1,29,0,0,0,0,,,,,,,,,,,,,7,6.078,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRIP,gripa om,hålla om,kasta om,2,kasta om,gripa om,hålla om,Leg,leg,0,1,1,29,0,1,1,1,,,,,,,,,,,,,4,10.746,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRIP,gripa om,hålla om,kasta om,2,kasta om,gripa om,hålla om,,,0,1,1,29,,,,,,,,,,,,,,,,,,,return,7.84922975776,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CATCH,fånga,krama,omfamna,3,krama,omfamna,fånga,Arm,arm,0,2,2,6,0,0,0,0,,,,,,,,,,,,,7,5.929,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CATCH,fånga,krama,omfamna,3,krama,omfamna,fånga,Leg,leg,0,2,2,6,0,1,1,1,,,,,,,,,,,,,3,1.169,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CATCH,fånga,krama,omfamna,3,krama,omfamna,fånga,,,0,2,2,6,,,,,,,,,,,,,,,,,,,return,1.8618743819,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TRAIPSE,traska,stappla,vandra,3,stappla,vandra,traska,Arm,arm,0,3,3,97,0,0,0,0,,,,,,,,,,,,,1,15.135,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TRAIPSE,traska,stappla,vandra,3,stappla,vandra,traska,Leg,leg,0,3,3,97,0,1,1,1,,,,,,,,,,,,,7,4.59,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TRAIPSE,traska,stappla,vandra,3,stappla,vandra,traska,,,0,3,3,97,,,,,,,,,,,,,,,,,,,return,20.2766874348,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PLOD,lunka,pulsa,vingla,3,vingla,pulsa,lunka,Arm,arm,0,4,4,49,0,0,0,0,,,,,,,,,,,,,1,20.468,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PLOD,lunka,pulsa,vingla,3,vingla,pulsa,lunka,Leg,leg,0,4,4,49,0,1,1,1,,,,,,,,,,,,,7,0.851,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PLOD,lunka,pulsa,vingla,3,vingla,pulsa,lunka,,,0,4,4,49,,,,,,,,,,,,,,,,,,,return,19.7230427068,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FOLD,vika ihop,knyta ihop,bunta ihop,1,vika ihop,knyta ihop,bunta ihop,Arm,arm,0,5,5,24,0,0,0,0,,,,,,,,,,,,,7,9.049,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FOLD,vika ihop,knyta ihop,bunta ihop,1,vika ihop,knyta ihop,bunta ihop,Leg,leg,0,5,5,24,0,1,1,1,,,,,,,,,,,,,7,3.266,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FOLD,vika ihop,knyta ihop,bunta ihop,1,vika ihop,knyta ihop,bunta ihop,,,0,5,5,24,,,,,,,,,,,,,,,,,,,return,2.01305553591,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STRAY,ströva,vandra,promenera,1,ströva,vandra,promenera,Arm,arm,0,6,6,87,0,0,0,0,,,,,,,,,,,,,1,13.979,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STRAY,ströva,vandra,promenera,1,ströva,vandra,promenera,Leg,leg,0,6,6,87,0,1,1,1,,,,,,,,,,,,,7,2.594,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STRAY,ströva,vandra,promenera,1,ströva,vandra,promenera,,,0,6,6,87,,,,,,,,,,,,,,,,,,,return,5.83671670439,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
ROLL,vingla,snubbla,svassa,1,vingla,svassa,snubbla,Arm,arm,0,7,7,59,0,0,0,0,,,,,,,,,,,,,7,12.068,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
ROLL,vingla,snubbla,svassa,1,vingla,svassa,snubbla,Leg,leg,0,7,7,59,0,1,1,1,,,,,,,,,,,,,1,1.169,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
ROLL,vingla,snubbla,svassa,1,vingla,svassa,snubbla,,,0,7,7,59,,,,,,,,,,,,,,,,,,,return,2.31616222638,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FILE,fila,putsa,riva,3,putsa,riva,fila,Arm,arm,0,8,8,21,0,0,0,0,,,,,,,,,,,,,7,8.965,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FILE,fila,putsa,riva,3,putsa,riva,fila,Leg,leg,0,8,8,21,0,1,1,1,,,,,,,,,,,,,1,1.287,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FILE,fila,putsa,riva,3,putsa,riva,fila,,,0,8,8,21,,,,,,,,,,,,,,,,,,,return,1.57689877781,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PAT,klappa,slå,borsta,3,borsta,slå,klappa,Arm,arm,0,9,9,46,0,0,0,0,,,,,,,,,,,,,7,5.209,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PAT,klappa,slå,borsta,3,borsta,slå,klappa,Leg,leg,0,9,9,46,0,1,1,1,,,,,,,,,,,,,1,2.294,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PAT,klappa,slå,borsta,3,borsta,slå,klappa,,,0,9,9,46,,,,,,,,,,,,,,,,,,,return,1.91230273766,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRAB,gripa tag i,fästa ihop,smälla till,1,gripa tag i,fästa ihop,smälla till,Arm,arm,0,10,10,26,0,0,0,0,,,,,,,,,,,,,7,8.378,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRAB,gripa tag i,fästa ihop,smälla till,1,gripa tag i,fästa ihop,smälla till,Leg,leg,0,10,10,26,0,1,1,1,,,,,,,,,,,,,5,5.379,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRAB,gripa tag i,fästa ihop,smälla till,1,gripa tag i,fästa ihop,smälla till,,,0,10,10,26,,,,,,,,,,,,,,,,,,,return,3.06950335387,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PEEL,skala,rensa,plocka,2,plocka,skala,rensa,Arm,arm,0,11,11,47,0,0,0,0,,,,,,,,,,,,,7,4.772,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PEEL,skala,rensa,plocka,2,plocka,skala,rensa,Leg,leg,0,11,11,47,0,1,1,1,,,,,,,,,,,,,1,3.082,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PEEL,skala,rensa,plocka,2,plocka,skala,rensa,,,0,11,11,47,,,,,,,,,,,,,,,,,,,return,2.39862431484,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
RUSH,rusa,springa,löpa,3,löpa,springa,rusa,Arm,arm,0,12,12,62,0,0,0,0,,,,,,,,,,,,,2,6.802,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
RUSH,rusa,springa,löpa,3,löpa,springa,rusa,Leg,leg,0,12,12,62,0,1,1,1,,,,,,,,,,,,,7,2.167,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
RUSH,rusa,springa,löpa,3,löpa,springa,rusa,,,0,12,12,62,,,,,,,,,,,,,,,,,,,return,3.20358228133,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SWITCH,slå på/av,knäppa,nypa,2,knäppa,slå på/av,nypa,Arm,arm,0,13,13,93,0,0,0,0,,,,,,,,,,,,,7,10.214,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SWITCH,slå på/av,knäppa,nypa,2,knäppa,slå på/av,nypa,Leg,leg,0,13,13,93,0,1,1,1,,,,,,,,,,,,,3,2.41,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SWITCH,slå på/av,knäppa,nypa,2,knäppa,slå på/av,nypa,,,0,13,13,93,,,,,,,,,,,,,,,,,,,return,2.23083284307,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CARVE,tälja,hacka,riva,3,hacka,riva,tälja,Arm,arm,0,14,14,5,0,0,0,0,,,,,,,,,,,,,7,5.108,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CARVE,tälja,hacka,riva,3,hacka,riva,tälja,Leg,leg,0,14,14,5,0,1,1,1,,,,,,,,,,,,,1,1.471,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CARVE,tälja,hacka,riva,3,hacka,riva,tälja,,,0,14,14,5,,,,,,,,,,,,,,,,,,,return,2.06318835128,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
THROW,kasta,greppa,träffa,3,greppa,träffa,kasta,Arm,arm,0,15,15,94,0,0,0,0,,,,,,,,,,,,,7,4.52,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
THROW,kasta,greppa,träffa,3,greppa,träffa,kasta,Leg,leg,0,15,15,94,0,1,1,1,,,,,,,,,,,,,1,1.119,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
THROW,kasta,greppa,träffa,3,greppa,träffa,kasta,,,0,15,15,94,,,,,,,,,,,,,,,,,,,return,1.76119941983,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STAB,sticka,hacka,skära,2,skära,sticka,hacka,Arm,arm,0,16,16,81,0,0,0,0,,,,,,,,,,,,,7,7.305,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STAB,sticka,hacka,skära,2,skära,sticka,hacka,Leg,leg,0,16,16,81,0,1,1,1,,,,,,,,,,,,,1,1.321,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STAB,sticka,hacka,skära,2,skära,sticka,hacka,,,0,16,16,81,,,,,,,,,,,,,,,,,,,return,3.94147984339,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,Arm,arm,0,17,17,11,0,0,0,0,,,,,,,,,,,,,7,3.229,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,Leg,leg,0,17,17,11,0,1,1,1,,,,,,,,,,,,,1,1.186,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,,,0,17,17,11,,,,,,,,,,,,,,,,,,,return,2.33155521805,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRASP,gripa,klämma,omfamna,3,klämma,omfamna,gripa,Arm,arm,0,18,18,27,0,0,0,0,,,,,,,,,,,,,7,6.5,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRASP,gripa,klämma,omfamna,3,klämma,omfamna,gripa,Leg,leg,0,18,18,27,0,1,1,1,,,,,,,,,,,,,3,0.582,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRASP,gripa,klämma,omfamna,3,klämma,omfamna,gripa,,,0,18,18,27,,,,,,,,,,,,,,,,,,,return,3.38806427766,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WANDER,vandra,marschera,spatsera,1,vandra,marschera,spatsera,Arm,arm,0,19,19,106,0,0,0,0,,,,,,,,,,,,,1,10.171,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WANDER,vandra,marschera,spatsera,1,vandra,marschera,spatsera,Leg,leg,0,19,19,106,0,1,1,1,,,,,,,,,,,,,7,1.555,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
