original_order_appendix,word_category,in_original_list,word,leg_minus_arm_bias,difficult,synonyms (Thesaurus/wordnet),frequency (Zipf; subtlex),DomPoS (dominant part of speech; subtlex),current selection,comment
−99,arm,no,brush,-5.038461538,,,"4,29",noun,1,
−99,arm,no,catch,-4.961538462,,,"5,04",verb,1,
−99,arm,no,claw,-4.444444444,,,"4,22",name,0,
−99,arm,no,clutch,no score,,,"3,54",noun,0,
−99,arm,no,cut,no score,,,"5,35",verb,0,
−99,arm,no,knock,-5.444444444,,,"4,72",verb,1,
−99,arm,no,pinch,no score,,,"4,01",noun,0,
−99,arm,no,pluck,no score,,,"3,38",verb,0,
−99,arm,no,poke,no score,,,"3,57",verb,0,
−99,arm,no,polish,-4.851851852,,,"4,18",adjective,0,
−99,arm,no,pull,-5.153846154,,,"4,94",verb,1,
−99,arm,no,punch,no score,,,"4,32",noun,0,
−99,arm,no,push,-3.703703704,,,"4,92",verb,0,
−99,arm,no,shake,-2.384615385,,,"4,58",verb,0,
−99,arm,no,slap,no score,,,4,noun,0,
−99,arm,no,snatch,no score,,,"3,46",verb,0,
−99,arm,no,squeeze,-4.423076923,,,"4,36",verb,0,
−99,arm,no,throw,-5.62962963,,,"4,88",verb,1,
−99,arm,no,toss,-4.888888889,,,"3,88",verb,1,
−99,arm,no,twine,-4.296296296,,,"2,7",noun,0,
−99,arm,no,wrap,-4.37037037,,,"4,1",verb,0,
2,arm,yes,bash,no score,,"punch, slam, strike, hit, pound, slap","3,71",noun,1,
20,arm,yes,bind,no score,,"tie, attach, fasten, connect","3,48",noun,1,
14,arm,yes,braid,no score,,"plait, interweave, cue, twist, twine","2,59",noun,1,
13,arm,yes,carve,no score,,"slice, chip, shape, grave, sculpt, cut","3,57",verb,1,
3,arm,yes,chop,no score,,"cut up, cleave, divide, hack, clip, slash","4,3",verb,1,
4,arm,yes,clap,no score,,"applaud, pat, slap","3,95",verb,1,
28,arm,yes,clean,no score,,"brush, cleanse, bathe, dust, wash, sweep, wipe","4,97",adjective,1,
10,arm,yes,click,no score,,"get on, fall into place","4,06",noun,1,
18,arm,yes,delve,-1.576923077,1,"dig, examine, rummage in","3,25",verb,0,
29,arm,yes,dig,no score,,"hollow out, bore, drill, uncover, spade, excavate","4,44",verb,1,
22,arm,yes,dunk,no score,,"dip, soak, duck, immerse","3,49",name,1,
23,arm,yes,file,no score,,"order, enter, arrange, categorize","4,08",noun,0,
32,arm,yes,fold,no score,,"encase, enclose, wrap, enfold","4,04",verb,1,
