type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,like,thank,print,stare,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,22.439708791,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,ruin,sigh,bless,lick,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,space,10.0124746836,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,wait,look,blush,yell,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,12.5281801494,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,soothe,chew,stay,save,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,9.86119687108,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,look,print,save,lick,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,space,8.2347818975,s,4.99793873169,return,240.9140913,space,2.31520336504,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,sigh,thank,blush,soothe,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,space,5.29972113414,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,bless,chew,stay,yell,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,space,14.9430596855,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,ruin,wait,like,stare,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,6.57442612821,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,p,8.26942084564,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,sigh,thank,blush,soothe,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,space,7.54720371589,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,look,print,save,lick,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,1,1,3,,,,,space,72.7527240587,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,ruin,wait,like,stare,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,2,2,2,,,,,space,7.99934649458,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,bless,chew,stay,yell,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,3,3,1,,,,,space,25.6260601683,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,wander,hop,pedal,step,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,0,0,0,space,6.75834128155,s,8.62054883392,,,,,space,1.96303624782,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,stray,flee,squat,jump,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,1,1,1,space,6.4067719598,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,grip,dunk,clap,knock,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,2,2,2,space,7.12838260174,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,slide,run,tiptoe,dance,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,3,3,3,space,8.95598083894,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,pluck,snatch,dig,bind,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,4,4,4,space,6.27250741416,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,tramp,skate,sprint,trample,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,5,5,5,space,9.86210838075,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,march,bounce,wade,strut,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,6,6,6,space,8.08457324199,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,fold,wipe,click,slap,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,7,7,7,space,11.1696368106,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,pat,whip,scrape,peel,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,8,8,8,space,8.41935016116,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,slip,skip,stride,trip,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,9,9,9,space,6.55770168386,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,rub,catch,stab,shake,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,10,10,10,space,7.88271513722,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,cycle,walk,trek,rush,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,11,11,11,space,10.9008651242,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,stand,jog,stroll,limp,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,12,12,12,space,6.40702443257,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,scrub,clean,sign,push,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,13,13,13,space,6.45712071992,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,poke,carve,brush,pull,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,14,14,14,space,5.95365840553,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,kneel,kick,glide,stomp,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,15,15,15,space,7.29551285952,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,gesture,wrap,grab,punch,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,16,16,16,space,5.58559775201,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,leap,stumble,hike,sneak,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,17,17,17,space,8.97268157692,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,throw,chop,squeeze,scoop,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,18,18,18,space,6.32399328952,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,pinch,polish,scratch,hug,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,19,19,19,space,5.56835887957,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,blush,save,sigh,chew,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,0,0,1,,,,,space,6.99379643978,,,return,333.203953747,space,5.24975088563,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,stay,stare,bless,lick,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,1,1,3,,,,,space,8.90535906053,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
