type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
arm,BRUSH,Arm,arm,0,0,0,0,0,0,0,0,7,6.116,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,BRUSH,Leg,leg,0,0,0,0,0,1,1,1,2,6.606,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,BRUSH,,,0,0,0,0,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,STAB,Arm,arm,0,1,1,34,0,0,0,0,7,4.586,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,STAB,Leg,leg,0,1,1,34,0,1,1,1,1,2.908,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,STAB,,,0,1,1,34,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,PACE,Arm,arm,0,2,2,52,0,0,0,0,1,4.336,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,PACE,Leg,leg,0,2,2,52,0,1,1,1,7,2.275,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
leg,PACE,,,0,2,2,52,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,GRAB,Arm,arm,0,3,3,11,0,0,0,0,7,3.701,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,GRAB,Leg,leg,0,3,3,11,0,1,1,1,1,9.755,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,GRAB,,,0,3,3,11,,,,,,,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,PUSH,Arm,arm,0,4,4,26,0,0,0,0,7,4.853,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
arm,PUSH,Leg,leg,0,4,4,26,0,1,1,1,3,3.391,2018_Nov_01_1331,60.0702012431,verb_norming_L1-eng_no-translation,704,
