type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,print,wait,save,bless,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,space,7.83262799308,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,lick,chew,look,yell,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,space,8.18216591142,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,soothe,like,stay,thank,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,3.55177305103,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,stare,sigh,blush,ruin,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,space,2.93295257725,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,like,lick,chew,stare,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,6.4324983086,s,10.7144713784,return,301.217505293,space,11.3450466949,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,yell,thank,stay,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,5.71588704945,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,sigh,print,wait,bless,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,space,1.66732756258,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,soothe,ruin,blush,look,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,0.951050338335,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,p,3.69973080722,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,like,lick,chew,stare,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,0,0,1,,,,,space,3.29949632799,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,soothe,ruin,blush,look,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,1,1,0,,,,,space,5.96537453542,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,yell,thank,stay,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,2,2,3,,,,,space,4.21644892031,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,sigh,print,wait,bless,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,3,3,2,,,,,space,4.41640475648,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,p,1.71678248723,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,soothe,ruin,blush,look,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,2,0,2,0,0,0,0,0,,,,,space,4.08298471756,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,yell,thank,stay,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,2,0,2,0,0,1,1,3,,,,,space,4.33255267143,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,sigh,print,wait,bless,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,2,0,2,0,0,2,2,2,,,,,space,3.23230574746,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,like,lick,chew,stare,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,2,0,2,0,0,3,3,1,,,,,space,2.94984800019,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,p,2.91677013622,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,yell,thank,stay,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,0,0,0,3,,,,,space,4.76638244069,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,soothe,ruin,blush,look,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,0,1,1,0,,,,,space,2.70061688847,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,like,lick,chew,stare,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,0,2,2,1,,,,,space,3.11662398442,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,sigh,print,wait,bless,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,0,3,3,2,,,,,space,2.66657247581,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,push,dunk,scratch,gesture,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,0,0,0,space,5.81544625456,s,94.0430128253,,,,,space,3.18330555945,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,stomp,jog,trip,skip,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,1,1,1,space,8.664790957,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,hug,punch,squeeze,scrub,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,2,2,2,space,7.19890039857,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,bounce,march,hop,sprint,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,3,3,3,space,6.36498772865,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,rush,stray,leap,step,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,4,4,4,space,7.848490434,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,wrap,pinch,poke,knock,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,5,5,5,space,8.38173531531,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,trample,stroll,walk,run,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,6,6,6,space,7.06564672221,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,sign,stab,grip,dig,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,7,7,7,space,10.2811814912,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,brush,pull,polish,scrape,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,8,8,8,space,9.76505004428,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,pedal,stumble,tramp,slip,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,9,9,9,space,8.43208567752,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,pat,clean,wipe,grab,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,10,10,10,space,4.882707946,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,flee,kick,squat,stand,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,11,11,11,space,5.21575278044,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,peel,rub,whip,pluck,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,12,12,12,space,8.53206874197,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,wander,tiptoe,kneel,cycle,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,13,13,13,space,6.9815822395,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
leg,trek,skate,hike,slide,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,14,14,14,space,6.8988903868,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
arm,carve,scoop,slap,clap,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,0,15,15,15,space,7.3652581377,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
