type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,stay,chew,save,like,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,29.5660275226,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,sigh,stare,blush,bless,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,6.75934248857,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,look,soothe,yell,wait,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,space,7.6299469327,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,print,lick,thank,ruin,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,5.03253577628,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,chew,ruin,blush,stare,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,7.49639520857,s,42.5993689294,return,968.31177228,space,7.02843294796,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,stay,save,yell,wait,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,space,14.1386834204,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,print,soothe,sigh,thank,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,16.7703123389,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,lick,bless,like,look,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,9.02342215551,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
,,,,,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,p,3.23788264978,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,stay,save,yell,wait,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,space,5.60231447879,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,print,soothe,sigh,thank,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,1,1,3,,,,,space,6.10529697104,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,lick,bless,like,look,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,2,2,2,,,,,space,4.17680131904,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,chew,ruin,blush,stare,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,3,3,1,,,,,space,4.99825519165,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,rub,pat,poke,clean,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,0,0,0,space,5.60084703807,s,29.4845331986,,,,,space,3.67349325566,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,trudge,glide,wander,skate,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,1,1,1,space,10.7339352975,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,wipe,pull,snatch,scoop,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,2,2,2,space,15.0435530398,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,slap,grip,hug,punch,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,3,3,3,space,8.58595611033,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,sneak,stroll,hop,step,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,4,4,4,space,23.5975913268,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,grab,scrub,dig,click,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,5,5,5,space,7.91657516564,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,walk,slip,roam,hike,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,6,6,6,space,8.65428258388,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,stir,polish,chop,peel,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,7,7,7,space,15.8661353483,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,pace,trot,stride,jog,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,8,8,8,space,12.2267397411,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,trip,limp,wobble,march,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,9,9,9,space,5.65296884118,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,squat,wade,skip,strut,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,10,10,10,space,14.004509002,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,fold,hack,sign,knock,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,11,11,11,space,5.0320513707,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
