type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
leg,SLIP,Arm,arm,0,0,0,59,0,0,0,0,2,13.186,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SLIP,Leg,leg,0,0,0,59,0,1,1,1,7,5.577,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SLIP,,,0,0,0,59,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,WANDER,Arm,arm,0,1,1,78,0,0,0,0,2,7.226,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,WANDER,Leg,leg,0,1,1,78,0,1,1,1,7,3.362,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,WANDER,,,0,1,1,78,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STEP,Arm,arm,0,2,2,64,0,0,0,0,1,5.166,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STEP,Leg,leg,0,2,2,64,0,1,1,1,7,3.378,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STEP,,,0,2,2,64,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PLUCK,Arm,arm,0,3,3,21,0,0,0,0,1,4.997,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PLUCK,Leg,leg,0,3,3,21,0,1,1,1,1,8.763,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PLUCK,,,0,3,3,21,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCOOP,Arm,arm,0,4,4,28,0,0,0,0,5,6.39,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCOOP,Leg,leg,0,4,4,28,0,1,1,1,1,3.156,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
