type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
leg,PEDAL,Leg,leg,0,0,0,53,0,0,0,0,7,6.404,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,PEDAL,Arm,arm,0,0,0,53,0,1,1,1,2,12.38,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,PEDAL,,,0,0,0,53,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STUMBLE,Leg,leg,0,1,1,70,0,0,0,0,7,5.494,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STUMBLE,Arm,arm,0,1,1,70,0,1,1,1,2,1.684,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STUMBLE,,,0,1,1,70,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,FOLD,Leg,leg,0,2,2,9,0,0,0,0,1,5.354,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,FOLD,Arm,arm,0,2,2,9,0,1,1,1,6,3.615,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,FOLD,,,0,2,2,9,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STOMP,Leg,leg,0,3,3,65,0,0,0,0,5,5.135,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STOMP,Arm,arm,0,3,3,65,0,1,1,1,2,2.321,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STOMP,,,0,3,3,65,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CATCH,Leg,leg,0,4,4,2,0,0,0,0,1,4.414,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CATCH,Arm,arm,0,4,4,2,0,1,1,1,7,1.833,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CATCH,,,0,4,4,2,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SKIP,Leg,leg,0,5,5,58,0,0,0,0,6,3.606,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SKIP,Arm,arm,0,5,5,58,0,1,1,1,1,4.903,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SKIP,,,0,5,5,58,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STRUT,Leg,leg,0,6,6,69,0,0,0,0,6,54.327,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STRUT,Arm,arm,0,6,6,69,0,1,1,1,3,2.788,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STRUT,,,0,6,6,69,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,BOUNCE,Leg,leg,0,7,7,40,0,0,0,0,5,7.747,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,BOUNCE,Arm,arm,0,7,7,40,0,1,1,1,3,1.209,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,BOUNCE,,,0,7,7,40,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SNATCH,Leg,leg,0,8,8,33,0,0,0,0,1,4.945,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SNATCH,Arm,arm,0,8,8,33,0,1,1,1,7,1.194,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SNATCH,,,0,8,8,33,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SLAP,Leg,leg,0,9,9,32,0,0,0,0,1,2.944,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SLAP,Arm,arm,0,9,9,32,0,1,1,1,7,1.716,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SLAP,,,0,9,9,32,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,KICK,Leg,leg,0,10,10,47,0,0,0,0,7,4.078,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,KICK,Arm,arm,0,10,10,47,0,1,1,1,1,2.342,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,KICK,,,0,10,10,47,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GESTURE,Leg,leg,0,11,11,10,0,0,0,0,1,9.066,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GESTURE,Arm,arm,0,11,11,10,0,1,1,1,6,1.348,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GESTURE,,,0,11,11,10,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,STAB,Leg,leg,0,12,12,34,0,0,0,0,1,2.784,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,STAB,Arm,arm,0,12,12,34,0,1,1,1,6,1.243,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,STAB,,,0,12,12,34,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SKATE,Leg,leg,0,13,13,57,0,0,0,0,7,3.519,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SKATE,Arm,arm,0,13,13,57,0,1,1,1,2,1.184,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SKATE,,,0,13,13,57,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WALK,Leg,leg,0,14,14,77,0,0,0,0,7,2.62,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WALK,Arm,arm,0,14,14,77,0,1,1,1,2,1.549,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WALK,,,0,14,14,77,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STRAY,Leg,leg,0,15,15,66,0,0,0,0,6,12.719,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STRAY,Arm,arm,0,15,15,66,0,1,1,1,2,0.774,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STRAY,,,0,15,15,66,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,BRUSH,Leg,leg,0,16,16,0,0,0,0,0,1,3.083,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,BRUSH,Arm,arm,0,16,16,0,0,1,1,1,7,1.058,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,BRUSH,,,0,16,16,0,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PUNCH,Leg,leg,0,17,17,25,0,0,0,0,1,2.7,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PUNCH,Arm,arm,0,17,17,25,0,1,1,1,7,2.705,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PUNCH,,,0,17,17,25,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CUT,Leg,leg,0,18,18,7,0,0,0,0,1,3.453,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CUT,Arm,arm,0,18,18,7,0,1,1,1,7,1.769,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CUT,,,0,18,18,7,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PAT,Leg,leg,0,19,19,18,0,0,0,0,5,4.376,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PAT,Arm,arm,0,19,19,18,0,1,1,1,5,1.452,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PAT,,,0,19,19,18,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PUSH,Leg,leg,0,20,20,26,0,0,0,0,3,4.517,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PUSH,Arm,arm,0,20,20,26,0,1,1,1,7,1.143,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PUSH,,,0,20,20,26,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CLEAN,Leg,leg,0,21,21,5,0,0,0,0,2,7.669,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CLEAN,Arm,arm,0,21,21,5,0,1,1,1,6,2.919,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CLEAN,,,0,21,21,5,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PEEL,Leg,leg,0,22,22,19,0,0,0,0,1,3.074,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PEEL,Arm,arm,0,22,22,19,0,1,1,1,7,0.947,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PEEL,,,0,22,22,19,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STROLL,Leg,leg,0,23,23,68,0,0,0,0,5,5.099,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STROLL,Arm,arm,0,23,23,68,0,1,1,1,3,1.882,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,STROLL,,,0,23,23,68,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CHOP,Leg,leg,0,24,24,3,0,0,0,0,1,3.824,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CHOP,Arm,arm,0,24,24,3,0,1,1,1,7,3.075,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,CHOP,,,0,24,24,3,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,HUG,Leg,leg,0,25,25,15,0,0,0,0,1,3.409,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,HUG,Arm,arm,0,25,25,15,0,1,1,1,7,2.417,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,HUG,,,0,25,25,15,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PLUCK,Leg,leg,0,26,26,21,0,0,0,0,2,2.635,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PLUCK,Arm,arm,0,26,26,21,0,1,1,1,6,1.296,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,PLUCK,,,0,26,26,21,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,WIPE,Leg,leg,0,27,27,39,0,0,0,0,3,4.265,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,WIPE,Arm,arm,0,27,27,39,0,1,1,1,6,1.309,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,WIPE,,,0,27,27,39,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,LIMP,Leg,leg,0,28,28,50,0,0,0,0,7,7.582,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,LIMP,Arm,arm,0,28,28,50,0,1,1,1,3,1.213,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,LIMP,,,0,28,28,50,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WADE,Leg,leg,0,29,29,76,0,0,0,0,7,3.138,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WADE,Arm,arm,0,29,29,76,0,1,1,1,2,0.711,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WADE,,,0,29,29,76,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SCRATCH,Leg,leg,0,30,30,29,0,0,0,0,None,2.967,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SCRATCH,Arm,arm,0,30,30,29,0,1,1,1,7,14.153,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,SCRATCH,,,0,30,30,29,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,TROT,Leg,leg,0,31,31,74,0,0,0,0,1,7.516,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,TROT,Arm,arm,0,31,31,74,0,1,1,1,None,13.588,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,TROT,,,0,31,31,74,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,WASH,Leg,leg,0,32,32,37,0,0,0,0,None,12.306,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,WASH,Arm,arm,0,32,32,37,0,1,1,1,6,33.358,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,WASH,,,0,32,32,37,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,HACK,Leg,leg,0,33,33,14,0,0,0,0,1,9.948,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,HACK,Arm,arm,0,33,33,14,0,1,1,1,7,4.519,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,HACK,,,0,33,33,14,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,DIG,Leg,leg,0,34,34,8,0,0,0,0,None,12.69,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,DIG,Arm,arm,0,34,34,8,0,1,1,1,None,1.572,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,DIG,,,0,34,34,8,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SQUAT,Leg,leg,0,35,35,62,0,0,0,0,None,2.241,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SQUAT,Arm,arm,0,35,35,62,0,1,1,1,None,1.434,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,SQUAT,,,0,35,35,62,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WOBBLE,Leg,leg,0,36,36,79,0,0,0,0,6,8.45,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WOBBLE,Arm,arm,0,36,36,79,0,1,1,1,2,3.362,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
leg,WOBBLE,,,0,36,36,79,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GRAB,Leg,leg,0,37,37,11,0,0,0,0,2,5.249,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GRAB,Arm,arm,0,37,37,11,0,1,1,1,7,2.484,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
arm,GRAB,,,0,37,37,11,,,,,,,2018_Oct_05_1341,59.6227752977,verb_norming_L1-eng_no-translation,991,
