ParticipantID,Session,Order
701,2,feet-hands
702,2,feet-hands
703,1,hands-feet
704,1,hands-feet
705,2,feet-hands
706,2,feet-hands
707,1,hands-feet
708,1,hands-feet
709,2,feet-hands
710,1,hands-feet
711,1,hands-feet
712,2,feet-hands
713,1,hands-feet
714,1,hands-feet
715,1,hands-feet
716,1,hands-feet
717,1,hands-feet
718,1,hands-feet
719,2,feet-hands
720,1,hands-feet
721,2,feet-hands
722,1,hands-feet
723,2,feet-hands
724,2,feet-hands
725,2,feet-hands
726,2,feet-hands
727,1,hands-feet
728,1,hands-feet
729,1,hands-feet
730,1,hands-feet
731,1,hands-feet
732,2,feet-hands
733,1,hands-feet
734,2,feet-hands
735,1,hands-feet
736,2,feet-hands
737,1,hands-feet
738,2,feet-hands
739,1,hands-feet
740,2,feet-hands
741,2,feet-hands
742,2,feet-hands
743,1,hands-feet
744,2,feet-hands
745,2,feet-hands
746,2,feet-hands
747,2,feet-hands
748,1,hands-feet
749,2,feet-hands
750,2,feet-hands
