"type","verb"
"arm","BRUSH"
"arm","CARVE"
"arm","CATCH"
"arm","CHOP"
"arm","CLAP"
"arm","CLEAN"
"arm","CLICK"
"arm","CUT"
"arm","DIG"
"arm","FOLD"
"arm","GESTURE"
"arm","GRAB"
"arm","GRASP"
"arm","GRIP"
"arm","HACK"
"arm","HUG"
"arm","KNOCK"
"arm","NIP"
"arm","PAT"
"arm","PEEL"
"arm","PINCH"
"arm","PLUCK"
"arm","POKE"
"arm","POLISH"
"arm","PULL"
"arm","PUNCH"
"arm","PUSH"
"arm","RUB"
"arm","SCOOP"
"arm","SCRATCH"
"arm","SCRUB"
"arm","SIGN"
"arm","SLAP"
"arm","SNATCH"
"arm","STAB"
"arm","STIR"
"arm","THROW"
"arm","WASH"
"arm","WHIP"
"arm","WIPE"
"leg","BOUNCE"
"leg","FLEE"
"leg","GLIDE"
"leg","HIKE"
"leg","HOP"
"leg","JOG"
"leg","JUMP"
"leg","KICK"
"leg","KNEEL"
"leg","LEAP"
"leg","LIMP"
"leg","MARCH"
"leg","PACE"
"leg","PEDAL"
"leg","ROAM"
"leg","RUN"
"leg","RUSH"
"leg","SKATE"
"leg","SKIP"
"leg","SLIP"
"leg","SNEAK"
"leg","SPRINT"
"leg","SQUAT"
"leg","STAND"
"leg","STEP"
"leg","STOMP"
"leg","STRAY"
"leg","STRIDE"
"leg","STROLL"
"leg","STRUT"
"leg","STUMBLE"
"leg","TIPTOE"
"leg","TRAMPLE"
"leg","TRIP"
"leg","TROT"
"leg","TRUDGE"
"leg","WADE"
"leg","WALK"
"leg","WANDER"
"leg","WOBBLE"
