"item","type","word1","word2","word3","word4"
7,"arm","scrub","dig","nip","knock"
14,"leg","stamp","kneel","wander","climb"
8,"arm","grab","wipe","click","clap"
17,"leg","jog","flee","kick","run"
9,"arm","toss","scrape","throw","whip"
1,"arm","peel","braid","pull","pat"
18,"leg","slip","leap","skate","stray"
6,"arm","bash","carve","wash","stir"
5,"arm","scratch","clean","hack","stab"
3,"arm","lift","brush","bind","fold"
10,"leg","stride","hop","mount","limp"
13,"leg","hike","tread","wade","tiptoe"
12,"leg","jump","step","stroll","walk"
4,"arm","grasp","catch","seize","grip"
16,"leg","stumble","creep","stomp","glide"
2,"arm","chop","rub","switch","dunk"
15,"leg","slide","crawl","trot","sprint"
11,"leg","dance","skip","pace","strut"
