"type","word1","word2","word3","word4"
"arm","pat","knock","wash","whip"
"arm","squeeze","hack","switch","grate"
"arm","fold","throw","grasp","wrap"
"leg","stagger","stamp","trudge","leap"
"arm","dunk","grab","polish","click"
"leg","tread","plod","kick","stride"
"leg","kneel","wobble","stomp","crawl"
"leg","skate","creep","roll","climb"
"arm","file","wipe","claw","skim"
"arm","twine","pull","brush","pinch"
"leg","jump","prance","wade","trot"
"leg","wander","jog","slide","mount"
"leg","march","bounce","tiptoe","trip"
"arm","slap","shake","dig","seize"
"leg","slip","run","flee","slither"
"arm","stab","clean","peel","scrape"
"leg","inch","skip","strut","hop"
"leg","sprint","flit","dance","sneak"
"arm","clutch","nip","push","scrub"
"arm","carve","rub","toss","lift"
"arm","chop","bash","poke","tug"
"leg","sway","walk","stumble","stroll"
"leg","glide","traipse","pace","rush"
"arm","scoop","punch","catch","stir"
"leg","roam","step","trek","limp"
"leg","hike","scuff","ramble","stray"
"arm","clap","scratch","delve","snatch"
"arm","cut","grip","bind","braid"
