item,target,distractor_1,distractor_2
BASH,slå,knuffa,trycka
BIND,binda,linda,vinda
BOUNCE,studsa,dunka,kasta
BRAID,fläta,knyta,binda
BRUSH,borsta,skrubba,putsa
CARVE,tälja,hacka,riva
CATCH,fånga,krama,omfamna
CHOP,hacka,tälja,riva
CLAP,klappa,knäppa,klämma
CLAW,klösa,nypa,rispa
CLEAN,rengöra,rensa,plocka
CLICK,klicka,klappa,klämma
CLIMB,klättra,kliva,krypa
CLUTCH,gripa tag i,sätta ihop,dra ut
CRAWL,kravla,huka,klättra
CREEP,krypa,knäböja,klättra
CUT,skära,sticka,spetsa
DANCE,dansa,snurra,svänga
DELVE,gräva,plöja,rensa
DIG,gräva,dränera,dika
DUNK,dunka,dumpa,dunsa
FILE,fila,putsa,riva
FLEE,fly,lyfta,flyga
FLIT,rusa,hasa,svassa
FOLD,vika ihop,knyta ihop,bunta ihop
GLIDE,glida,hasa,snava
GRAB,gripa tag i,fästa ihop,smälla till
GRASP,gripa,klämma,omfamna
GRATE,riva,hugga,rispa
GRIP,gripa om,hålla om,kasta om
HACK,hacka,skära,kåpa
HIKE,vandra,flanera,lunka
HOP,skutta,kliva,studsa
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt
JOG,jogga,spurta,rusa
JUMP,hoppa,kliva,lyfta
KICK,sparka,knäa,tåa
KNEEL,knäböja,krypa,kräla
KNOCK,knacka,krocka,klicka
LEAP,hoppa,stega,kliva
LIFT,lyfta,pressa,öka
LIMP,halta,hasa,halka
MARCH,marschera,trava,traska
MOUNT,gå uppför,ströva runt,kliva över
NIP,nypa,peta,nudda
PACE,gå fram och tillbaka,luffa runt,rusa fram
PAT,klappa,slå,borsta
PEEL,skala,rensa,plocka
PINCH,nypa,plocka,pensla
PLOD,lunka,pulsa,vingla
PLUCK,plocka,rensa,picka
POKE,peta,trycka,knuffa
POLISH,polera,sopa,tvätta
PRANCE,kråma sig,promenera,traska
PULL,dra,slänga,släpa
PUNCH,slå,knuffa,kasta
PUSH,knuffa,kasta,klämma
RAMBLE,ströva,strutta,spurta
ROAM,ströva omkring,ta sig fram,luffa runt
ROLL,vingla,snubbla,svassa
RUB,gnugga,riva,klappa
RUN,springa,rusa,jogga
RUSH,rusa,springa,löpa
SCOOP,skyffla,dika,skrapa
SCRAPE,skrapa,rispa,klösa
SCRATCH,repa,riva,klösa
SCRUB,skrubba,sopa,skrapa
SCUFF,hasa sig fram,dra sig fram,kasta sig fram
SEIZE,fånga,klämma,fästa
SHAKE,skaka,röra,vispa
SKATE,åka skridskor,åka skidor,åka kälke
SKIM,skumma,vispa,sleva
SKIP,hoppa,kliva,strutta
SLAP,smälla till,knäppa fast,klämma åt
SLIDE,glida,ramla,hasa
SLIP,halka,snava,ramla
SLITHER,hasa,glida,trilla
SNATCH,rycka till sig,knuffa ifrån sig,plocka åt sig
SNEAK,smyga,hasa,glida
SPRINT,spurta,springa,löpa
SQUEEZE,klämma,knuffa,knäppa
STAB,sticka,hacka,skära
STAGGER,ragla,lunka,halka
STAMP,stampa,kliva,skutta
STEP,gå,klampa,traska
STIR,röra,sleva,vispa
STOMP,stampa,stiga,kliva
STRAY,ströva,vandra,promenera
STRIDE,kliva,tassa,lunka
STROLL,strosa,trava,marschera
STRUT,svassa,lunka,strosa
STUMBLE,snubbla,glida,svaja
SWAY,vingla,tassa,ramla
SWITCH,slå på/av,knäppa,nypa
THROW,kasta,greppa,träffa
TIPTOE,gå på tå,snava,sparka
TOSS,slänga,fånga,gripa
TRAIPSE,traska,stappla,vandra
TREAD,trampa,stampa,klampa
TRIP,snubbla,stampa,stappla
TROT,trava,promenera,flanera
TRUDGE,släpa sig fram,kasta sig fram,ta sig fram
TUG,rycka,pressa,slå
TWINE,tvinna,binda,knyta
WADE,vada,pulsa,plöja
WALK,gå,promenera,marschera
WANDER,vandra,marschera,spatsera
WASH,tvätta,skura,sopa
WHIP,piska,klappa,slå
WIPE,torka,putsa,gnugga
WOBBLE,vingla,ramla,glida
WRAP,slå in,slå ihop,slå till
