"expName","date","participant","itemID","item","correct_resp","resp","correct","RT"
"lextale","2018_Sep_10_1331",802,0,"platery","n","n",1,4.89750042277
"lextale","2018_Sep_10_1331",802,0,"denial","y","y",1,1.77797375487
"lextale","2018_Sep_10_1331",802,0,"generic","y","y",1,1.42581358153
"lextale","2018_Sep_10_1331",802,1,"mensible","n","n",1,2.70042372145
"lextale","2018_Sep_10_1331",802,2,"scornful","y","y",1,1.358697748
"lextale","2018_Sep_10_1331",802,3,"stoutly","y","y",1,1.84517967465
"lextale","2018_Sep_10_1331",802,4,"ablaze","y","y",1,1.49275358883
"lextale","2018_Sep_10_1331",802,5,"kermshaw","n","n",1,2.59950420956
"lextale","2018_Sep_10_1331",802,6,"moonlit","y","y",1,1.9960757167
"lextale","2018_Sep_10_1331",802,7,"lofty","y","y",1,1.45936083018
"lextale","2018_Sep_10_1331",802,8,"hurricane","y","y",1,1.44263205142
"lextale","2018_Sep_10_1331",802,9,"flaw","y","y",1,0.805153723486
"lextale","2018_Sep_10_1331",802,10,"alberation","n","n",1,3.35600661897
"lextale","2018_Sep_10_1331",802,11,"unkempt","y","y",1,2.09673840377
"lextale","2018_Sep_10_1331",802,12,"breeding","y","y",1,0.821972983609
"lextale","2018_Sep_10_1331",802,13,"festivity","y","y",1,0.838311783755
"lextale","2018_Sep_10_1331",802,14,"screech","y","y",1,0.956292761331
"lextale","2018_Sep_10_1331",802,15,"savoury","y","y",1,0.989745577475
"lextale","2018_Sep_10_1331",802,16,"plaudate","n","n",1,1.76122719593
"lextale","2018_Sep_10_1331",802,17,"shin","y","y",1,1.6271895304
"lextale","2018_Sep_10_1331",802,18,"fluid","y","y",1,1.67743276326
"lextale","2018_Sep_10_1331",802,19,"spaunch","n","n",1,1.07366921279
"lextale","2018_Sep_10_1331",802,20,"allied","y","y",1,1.00659407612
"lextale","2018_Sep_10_1331",802,21,"slain","y","y",1,0.973036554471
"lextale","2018_Sep_10_1331",802,22,"recipient","y","y",1,1.25817256099
"lextale","2018_Sep_10_1331",802,23,"exprate","n","n",1,1.34199228103
"lextale","2018_Sep_10_1331",802,24,"eloquence","y","y",1,1.35866337299
"lextale","2018_Sep_10_1331",802,25,"cleanliness","y","y",1,1.25818164864
"lextale","2018_Sep_10_1331",802,26,"dispatch","y","y",1,1.9290495743
"lextale","2018_Sep_10_1331",802,27,"rebondicate","n","n",1,3.33779615853
"lextale","2018_Sep_10_1331",802,28,"ingenious","y","y",1,1.66057636232
"lextale","2018_Sep_10_1331",802,29,"bewitch","y","y",1,0.973275203998
"lextale","2018_Sep_10_1331",802,30,"skave","n","n",1,1.54320662782
"lextale","2018_Sep_10_1331",802,31,"plaintively","y","n",0,4.32730545717
"lextale","2018_Sep_10_1331",802,32,"kilp","n","n",1,2.19733510661
"lextale","2018_Sep_10_1331",802,33,"interfate","n","n",1,1.87856927237
"lextale","2018_Sep_10_1331",802,34,"hasty","y","y",1,0.754974499272
"lextale","2018_Sep_10_1331",802,35,"lengthy","y","y",1,0.721467552357
"lextale","2018_Sep_10_1331",802,36,"fray","y","y",1,0.721507458984
"lextale","2018_Sep_10_1331",802,37,"crumper","n","n",1,1.49297801421
"lextale","2018_Sep_10_1331",802,38,"upkeep","y","y",1,1.04026025442
"lextale","2018_Sep_10_1331",802,39,"majestic","y","y",1,0.622403105921
"lextale","2018_Sep_10_1331",802,40,"magrity","n","n",1,1.22459883962
"lextale","2018_Sep_10_1331",802,41,"nourishment","y","y",1,0.939484169317
"lextale","2018_Sep_10_1331",802,42,"abergy","n","n",1,2.78434261538
"lextale","2018_Sep_10_1331",802,43,"proom","n","y",0,0.755013615668
"lextale","2018_Sep_10_1331",802,44,"turmoil","y","y",1,0.973074880636
"lextale","2018_Sep_10_1331",802,45,"carbohydrate","y","y",1,0.989850678096
"lextale","2018_Sep_10_1331",802,46,"scholar","y","y",1,0.939443077346
"lextale","2018_Sep_10_1331",802,47,"turtle","y","y",1,0.620774836541
"lextale","2018_Sep_10_1331",802,48,"fellick","n","n",1,0.905906496799
"lextale","2018_Sep_10_1331",802,49,"destription","n","n",1,2.78434143003
"lextale","2018_Sep_10_1331",802,50,"cylinder","y","y",1,0.754991489221
"lextale","2018_Sep_10_1331",802,51,"censorship","y","y",1,0.939481008398
"lextale","2018_Sep_10_1331",802,52,"celestial","y","y",1,0.855669190663
"lextale","2018_Sep_10_1331",802,53,"rascal","y","y",1,0.87240547661
"lextale","2018_Sep_10_1331",802,54,"purrage","n","n",1,1.89542804401
"lextale","2018_Sep_10_1331",802,55,"pulsh","n","n",1,1.20789574335
"lextale","2018_Sep_10_1331",802,56,"muddy","y","y",1,0.822044894561
"lextale","2018_Sep_10_1331",802,57,"quirty","n","y",0,2.18053046575
"lextale","2018_Sep_10_1331",802,58,"pudour","n","n",1,1.02326121692
"lextale","2018_Sep_10_1331",802,59,"listless","y","n",0,9.09031541249
"lextale","2018_Sep_10_1331",802,60,"wrought","y","y",1,1.02336947846
