"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,0,"KNIPA","Ben/fötter",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,0,"KNIPA","Armar/händer",4
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,1,"NAPPA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,1,"NAPPA","Armar/händer",2
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,2,"RÖRA","Ben/fötter",5
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,2,"RÖRA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,3,"PRESSA","Ben/fötter",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,3,"PRESSA","Armar/händer",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,4,"KARVA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,4,"KARVA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,5,"NORPA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,5,"NORPA","Armar/händer",5
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,6,"VADA","Ben/fötter",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,6,"VADA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,7,"VANKA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,7,"VANKA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,8,"STÅ","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,8,"STÅ","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,9,"RAFSA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,9,"RAFSA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,10,"SKEJTA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,10,"SKEJTA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,11,"SMÄLLA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,11,"SMÄLLA","Armar/händer",3
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,12,"IRRA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,12,"IRRA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,13,"SKYNDA","Ben/fötter",4
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,13,"SKYNDA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,14,"KLIA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,14,"KLIA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,15,"PADDLA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,15,"PADDLA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,16,"ILA","Ben/fötter",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,16,"ILA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,17,"SMEKA","Ben/fötter",2
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,17,"SMEKA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,18,"PETA","Ben/fötter",4
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,18,"PETA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,19,"GESTIKULERA","Ben/fötter",3
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,19,"GESTIKULERA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,20,"HISSA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,20,"HISSA","Armar/händer",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,21,"STRUTTA","Ben/fötter",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,21,"STRUTTA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,22,"POLERA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,22,"POLERA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,23,"GÅ","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,23,"GÅ","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,24,"SLINTA","Ben/fötter",2
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,24,"SLINTA","Armar/händer",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,25,"STRÖVA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,25,"STRÖVA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,26,"FLACKA","Ben/fötter",3
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,26,"FLACKA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,27,"KASTA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,27,"KASTA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,28,"PUTSA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,28,"PUTSA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,29,"GREPPA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,29,"GREPPA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,30,"DRA","Ben/fötter",2
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,30,"DRA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,31,"KLIPPA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,31,"KLIPPA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,32,"PILLA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,32,"PILLA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,33,"FÖSA","Ben/fötter",3
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,33,"FÖSA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,34,"HOPPA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,34,"HOPPA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,35,"TRYCKA","Ben/fötter",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,35,"TRYCKA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,36,"STAPPLA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,36,"STAPPLA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,37,"KLÄMMA","Ben/fötter",3
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,37,"KLÄMMA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,38,"HAFFA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,38,"HAFFA","Armar/händer",5
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,39,"KELA","Ben/fötter",3
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,39,"KELA","Armar/händer",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,40,"SKUMMA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,40,"SKUMMA","Armar/händer",5
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,41,"KNÄA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,41,"KNÄA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,42,"RASPA","Ben/fötter",3
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,42,"RASPA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,43,"RULLA","Ben/fötter",4
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,43,"RULLA","Armar/händer",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,44,"TRAMPA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,44,"TRAMPA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,45,"LINDA","Ben/fötter",2
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,45,"LINDA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,46,"KRAVLA","Ben/fötter",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,46,"KRAVLA","Armar/händer",6
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,47,"PISKA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,47,"PISKA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,48,"TA","Ben/fötter",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,48,"TA","Armar/händer",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,49,"VACKLA","Ben/fötter",7
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,49,"VACKLA","Armar/händer",1
"verb_norming_L1-swe_no_translation","2018_Sep_12_1529",805,50,"HALKA","Ben/fötter",7
